symbol_family,origin_present_in,origin_xrp_events,origin_multi_events,origin_xrp_field,origin_multi_field,follow_events,follow_labels,follow_field,follow_reifung,follow_status,follow_mcm
dio_02ez,xrp_only,6,0,tragende_rekopplung,-,12,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.449/0.205/0.650
dio_0aw0,xrp_only,16,0,tragende_rekopplung,-,12,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.448/0.195/0.655
dio_17j2,xrp_only,16,0,tragende_rekopplung,-,12,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.488/0.134/0.701
dio_1feg,xrp_only,4,0,tragende_rekopplung,-,12,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.499/0.117/0.710
dio_0a0e,xrp_only,2,0,spannungsnahe_oeffnung,-,10,xrp2024_1h:2;xrp2025_1h:2,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.378/0.315/0.580
dio_0naq,xrp_only,6,0,tragende_rekopplung,-,10,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.432/0.204/0.644
dio_0qzh,xrp_only,16,0,tragende_rekopplung,-,10,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.436/0.187/0.659
dio_11q8,xrp_only,8,0,tragende_rekopplung,-,10,xrp2025_1h:2;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.421/0.228/0.627
dio_1w0r,xrp_only,4,0,offene_rekopplung,-,10,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.396/0.270/0.593
dio_08nu,xrp_only,4,0,tragende_rekopplung,-,8,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.431/0.202/0.635
dio_0m81,xrp_only,6,0,tragende_rekopplung,-,8,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.431/0.204/0.644
dio_0qe7,xrp_only,4,0,tragende_rekopplung,-,8,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.449/0.179/0.665
dio_18d9,xrp_only,8,0,tragende_rekopplung,-,8,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.455/0.184/0.665
dio_1h2q,xrp_only,14,0,tragende_rekopplung,-,8,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.461/0.156/0.673
dio_04yl,xrp_only,2,0,spannungsnahe_oeffnung,-,6,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.351/0.340/0.559
dio_0ifh,xrp_only,2,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.435/0.185/0.650
dio_0ko2,xrp_only,2,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.446/0.167/0.663
dio_0nmu,xrp_only,4,0,tragende_rekopplung,-,6,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.424/0.199/0.641
dio_0s4z,xrp_only,2,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.455/0.169/0.673
dio_0tzb,xrp_only,2,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.434/0.189/0.659
dio_0v6z,multi_only,0,1,-,tragende_rekopplung,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.444/0.175/0.665
dio_119k,xrp_only,2,0,offene_rekopplung,-,6,xrp2025_1h:1;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.363/0.270/0.608
dio_11al,xrp_only,2,0,tragende_rekopplung,-,6,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.450/0.160/0.671
dio_1c6p,xrp_only,4,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.442/0.165/0.660
dio_1h95,multi_only,0,2,-,tragende_rekopplung,6,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.439/0.195/0.652
dio_1l9m,xrp_only,4,0,tragende_rekopplung,-,6,xrp2025_1h:1;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.447/0.161/0.665
dio_1mck,xrp_only,6,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.450/0.163/0.669
dio_066h,xrp_only,2,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.304/0.373/0.529
dio_06l6,xrp_only,2,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.402/0.246/0.611
dio_0ewd,xrp_only,4,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.423/0.190/0.642
dio_0eyq,xrp_only,2,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.435/0.166/0.663
dio_0f90,xrp_only,4,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.336/0.316/0.565
dio_0fb1,xrp_only,10,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.387/0.255/0.610
dio_0krs,xrp_only,4,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.420/0.195/0.642
dio_0ors,xrp_only,2,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.422/0.202/0.638
dio_0otp,xrp_only,2,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.447/0.171/0.669
dio_0p3i,multi_only,0,1,-,offene_rekopplung,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.370/0.279/0.587
dio_0p8q,xrp_only,4,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.347/0.308/0.577
dio_0zzl,xrp_only,2,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.347/0.300/0.577
dio_108l,xrp_only,4,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.390/0.247/0.619
dio_109y,xrp_only,6,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.348/0.301/0.580
dio_10ql,xrp_only,4,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.385/0.262/0.598
dio_17v5,xrp_only,8,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.394/0.243/0.600
dio_1864,xrp_only,8,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.419/0.201/0.634
dio_19mj,xrp_only,2,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.332/0.353/0.549
dio_1exl,xrp_only,4,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.332/0.333/0.555
dio_1kye,xrp_only,4,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.451/0.141/0.677
dio_1lym,xrp_only,4,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.383/0.264/0.588
dio_1n3l,xrp_only,4,0,spannungsnahe_oeffnung,-,4,xrp2024_1h:1;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.348/0.314/0.568
dio_1ozo,multi_only,0,1,-,tragende_rekopplung,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.407/0.227/0.631
dio_1p7l,multi_only,0,2,-,tragende_rekopplung,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.463/0.135/0.689
dio_1q41,xrp_only,4,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.429/0.197/0.652
dio_1q7r,xrp_only,6,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.367/0.260/0.604
dio_1qpu,multi_only,0,1,-,offene_rekopplung,4,sol2024:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.405/0.245/0.619
dio_1rac,xrp_only,4,0,offene_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.387/0.259/0.605
dio_1tft,xrp_only,2,0,tragende_rekopplung,-,4,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,gereift_zu_robuster_feldsyntax,0.427/0.204/0.648
dio_04i1,xrp_only,78,0,tragende_rekopplung,-,82,xrp2025_1h:2;xrp2024_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.452/0.239/0.641
dio_0ucz,xrp_only,38,0,tragende_rekopplung,-,44,xrp2025_1h:2;xrp2024_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.441/0.241/0.637
dio_1k4f,xrp_only,20,0,tragende_rekopplung,-,24,xrp2025_1h:2;xrp2024_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.433/0.241/0.632
dio_12wu,xrp_only,28,0,tragende_rekopplung,-,22,xrp2024_1h:2;xrp2025_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.424/0.232/0.634
dio_0qtf,xrp_only,8,0,offene_rekopplung,-,20,xrp2024_1h:2;xrp2025_1h:2,tragende_rekopplung,weltuebergreifend_feldstabil,wiedergefunden_jung,0.418/0.218/0.640
dio_1qj7,xrp_only,20,0,offene_rekopplung,-,18,xrp2025_1h:3;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.411/0.253/0.619
dio_03v6,xrp_only,10,0,offene_rekopplung,-,16,xrp2024_1h:2;xrp2025_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.410/0.239/0.629
dio_0pmi,xrp_only,18,0,tragende_rekopplung,-,16,xrp2025_1h:2;xrp2024_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.406/0.237/0.626
dio_111k,xrp_only,16,0,tragende_rekopplung,-,16,xrp2025_1h:2;xrp2024_1h:1;sol2024:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.404/0.229/0.627
dio_16lp,xrp_only,4,0,offener_feldkontakt,-,16,xrp2025_1h:2;xrp2024_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.421/0.248/0.627
dio_0zmn,xrp_only,14,0,offene_rekopplung,-,14,xrp2025_1h:3;xrp2024_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.382/0.290/0.587
dio_15hn,xrp_only,30,0,tragende_rekopplung,-,14,xrp2025_1h:2;xrp2024_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.413/0.242/0.635
dio_1sp4,xrp_only,14,0,offener_feldkontakt,-,14,xrp2024_1h:4;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.379/0.296/0.593
dio_0zxj,xrp_only,8,0,tragende_rekopplung,-,12,xrp2024_1h:2;xrp2025_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.417/0.225/0.634
dio_1wfi,xrp_only,6,0,offene_rekopplung,-,12,xrp2024_1h:2;xrp2025_1h:2,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.410/0.247/0.610
dio_0ak2,multi_only,0,1,-,offene_rekopplung,10,xrp2024_1h:2;xrp2025_1h:2;sol2024:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.417/0.219/0.624
dio_0n2q,xrp_only,10,0,tragende_rekopplung,-,10,xrp2025_1h:2;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.416/0.224/0.632
dio_0q3j,xrp_only,10,0,offene_rekopplung,-,10,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.416/0.244/0.612
dio_12il,xrp_only,2,0,offene_rekopplung,-,10,xrp2024_1h:2;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldstabil,wiedergefunden_jung,0.437/0.200/0.642
dio_1ewc,xrp_only,2,0,tragende_rekopplung,-,10,xrp2024_1h:2;xrp2025_1h:1;sol2023:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.417/0.219/0.635
dio_1kd9,multi_only,0,1,-,offene_rekopplung,10,xrp2024_1h:2;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.415/0.233/0.627
dio_02zp,xrp_only,10,0,spannungsnahe_oeffnung,-,8,xrp2025_1h:2;xrp2024_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.358/0.315/0.573
dio_03xn,xrp_only,10,0,offene_rekopplung,-,8,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.405/0.256/0.618
dio_04z8,xrp_only,24,0,tragende_rekopplung,-,8,xrp2024_1h:2;xrp2025_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.403/0.231/0.631
dio_06r6,xrp_only,6,0,offene_rekopplung,-,8,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.407/0.254/0.618
dio_0jpg,xrp_only,4,0,spannungsnahe_oeffnung,-,8,xrp2024_1h:2;xrp2025_1h:2,spannungsnahe_oeffnung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.359/0.287/0.592
dio_0n0d,xrp_only,6,0,tragende_rekopplung,-,8,xrp2024_1h:1,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.457/0.187/0.656
dio_0r5b,xrp_only,4,0,offene_rekopplung,-,8,xrp2024_1h:2;xrp2025_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.398/0.244/0.623
dio_0w7k,xrp_only,12,0,tragende_rekopplung,-,8,xrp2024_1h:2;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.421/0.216/0.639
dio_0wnd,xrp_only,2,0,offene_rekopplung,-,8,xrp2025_1h:3;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.412/0.255/0.603
dio_0xx2,xrp_only,10,0,tragende_rekopplung,-,8,xrp2025_1h:2;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.405/0.239/0.623
dio_12x0,xrp_only,4,0,offener_feldkontakt,-,8,xrp2024_1h:3,spannungsnahe_oeffnung,junge_syntaxinsel,wiedergefunden_jung,0.379/0.302/0.589
dio_166p,xrp_only,10,0,tragende_rekopplung,-,8,xrp2024_1h:2;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.404/0.242/0.615
dio_17aq,xrp_only,4,0,offene_rekopplung,-,8,xrp2025_1h:2;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.404/0.243/0.613
dio_1cky,xrp_only,8,0,tragende_rekopplung,-,8,xrp2025_1h:2;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.417/0.229/0.628
dio_1dp0,xrp_only,10,0,tragende_rekopplung,-,8,xrp2024_1h:2,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.425/0.233/0.626
dio_1klf,xrp_only,4,0,offene_rekopplung,-,8,xrp2025_1h:2;xrp2024_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.391/0.254/0.611
dio_1l77,xrp_only,18,0,offene_rekopplung,-,8,xrp2024_1h:2,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.421/0.243/0.627
dio_1lmb,multi_only,0,1,-,offene_rekopplung,8,xrp2025_1h:2,offene_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.380/0.282/0.600
dio_1mll,multi_only,0,1,-,offene_rekopplung,8,xrp2025_1h:2,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.418/0.234/0.625
dio_1mtl,xrp_only,14,0,tragende_rekopplung,-,8,xrp2025_1h:1,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.462/0.181/0.665
dio_1yil,xrp_only,6,0,offene_rekopplung,-,8,xrp2024_1h:2;xrp2025_1h:2,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.392/0.267/0.603
dio_00c9,xrp_only,2,0,offener_feldkontakt,-,6,xrp2025_1h:2;sol2023:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.369/0.257/0.603
dio_00ok,xrp_only,8,0,tragende_rekopplung,-,6,xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.416/0.228/0.621
dio_03j1,xrp_only,6,0,tragende_rekopplung,-,6,xrp2025_1h:1,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.460/0.188/0.661
dio_05n5,xrp_only,2,0,offener_feldkontakt,-,6,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.406/0.255/0.615
dio_06b8,xrp_only,4,0,offene_rekopplung,-,6,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.408/0.225/0.627
dio_07vp,xrp_only,2,0,offene_rekopplung,-,6,xrp2025_1h:2,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.405/0.237/0.624
dio_09ej,xrp_only,6,0,offener_feldkontakt,-,6,xrp2025_1h:1;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldstabil,wiedergefunden_jung,0.382/0.260/0.611
dio_0bgi,xrp_only,2,0,offene_rekopplung,-,6,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.396/0.257/0.597
dio_0g9q,xrp_only,14,0,tragende_rekopplung,-,6,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.400/0.246/0.609
dio_0gte,xrp_only,2,0,offene_rekopplung,-,6,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.413/0.249/0.612
dio_0hgv,xrp_only,2,0,spannungsnahe_oeffnung,-,6,xrp2024_1h:2;xrp2025_1h:1,spannungsnahe_oeffnung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.342/0.308/0.577
dio_0jc3,xrp_only,2,0,offene_rekopplung,-,6,xrp2025_1h:4,offene_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.385/0.267/0.606
dio_0wml,xrp_only,6,0,offene_rekopplung,-,6,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.403/0.222/0.634
dio_0wx9,xrp_only,4,0,offene_rekopplung,-,6,xrp2024_1h:2;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.397/0.258/0.601
dio_0y3w,xrp_only,2,0,spannungsnahe_oeffnung,-,6,xrp2024_1h:1;xrp2025_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.365/0.281/0.591
dio_100i,xrp_only,10,0,offene_rekopplung,-,6,xrp2025_1h:2;xrp2024_1h:1,offene_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.391/0.252/0.614
dio_16mn,xrp_only,6,0,tragende_rekopplung,-,6,sol2023:1;xrp2024_1h:1;xrp2025_1h:1,tragende_rekopplung,weltuebergreifend_feldoffen,wiedergefunden_jung,0.400/0.262/0.615
dio_16zb,multi_only,0,5,-,tragende_rekopplung,6,xrp2025_1h:1,tragende_rekopplung,junge_syntaxinsel,wiedergefunden_jung,0.503/0.108/0.713
