preview_symbol,old_role,new_role,old_count,new_count,count_delta,old_world_count,new_world_count,world_delta,old_broad,new_broad,broad_delta,old_transition,new_transition,transition_delta,old_milieu,new_milieu,milieu_delta,follow_hits_in_top_worlds,top_worlds
dio_mcm_episode_13nf5kn,neu,nebenrolle,0,58,58,0,5,5,0.0,0.14595,0.14595,0.0,0.11912,0.11912,0.0,0.245679,0.245679,0,BTC_10K_A:36;BTC_STRESS_2025_5M:9;QUIET_NEAR_PAXG2025_1H:9;BTC_LONG_2025_5M_QUIET:2;QUIET_NEAR_BTC_1869:2
dio_mcm_episode_01u58q5,nebenrolle,nebenrolle,118,164,46,5,6,1,0.184246,0.215393,0.031147,0.082025,0.079334,-0.002691,0.181292,0.275289,0.093997,46,FOLLOW_XRP_2024_5M_2000:46;REAL_TIME_2024_XRP:46;BTC_10K_A:36;SOL_10K_A:28;BTC_STRESS_2025_5M:7;BTC_FIELD_QUIET_02:1
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,261,304,43,33,36,3,0.561625,0.577317,0.015692,0.278717,0.265419,-0.013298,0.097499,0.109892,0.012393,40,FOLLOW_XRP_2024_5M_2000:24;REAL_FOLLOW_DOGE_6000:23;REAL_TIME_2024_XRP:21;SOL_10K_A:17;FOLLOW_DOGE_2024_5M_2000:16;REAL_FOLLOW_SOL_6000:16;REAL_TIME_2024_BTC_5M:15;QUIET_NEAR_PAXG2024_1H:14;REAL_FOLLOW_XRP_6000:14;REAL_FOLLOW_BTC_6000:12
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,193,234,41,26,28,2,0.47968,0.513239,0.033559,0.217419,0.212356,-0.005063,0.131503,0.119748,-0.011755,41,BTC_10K_A:22;FOLLOW_XRP_2024_5M_2000:21;FOLLOW_DOGE_2024_5M_2000:20;REAL_TIME_2024_XRP:19;SOL_10K_A:19;REAL_FOLLOW_DOGE_6000:17;REAL_FOLLOW_SOL_6000:17;REAL_FOLLOW_XRP_6000:17;REAL_TIME_2024_BTC_5M:15;REAL_TIME_2023_SOL_ALTSEQ_A:10
dio_mcm_episode_08g1nk4,breite_grundrolle,breite_grundrolle,187,225,38,29,32,3,0.506267,0.527428,0.021161,0.231505,0.220847,-0.010658,0.097908,0.110082,0.012174,36,FOLLOW_XRP_2024_5M_2000:19;REAL_TIME_2024_XRP:18;FOLLOW_DOGE_2024_5M_2000:17;BTC_10K_A:16;REAL_FOLLOW_DOGE_6000:14;REAL_TIME_2024_BTC_5M:14;REAL_FOLLOW_XRP_6000:12;SOL_10K_A:12;REAL_TIME_2023_SOL_ALTSEQ_A:11;BTC_STRESS_2025_5M:9
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,247,284,37,33,37,4,0.563373,0.565019,0.001646,0.310519,0.288839,-0.02168,0.102004,0.090963,-0.011041,33,SOL_10K_A:22;FOLLOW_XRP_2024_5M_2000:20;REAL_FOLLOW_DOGE_6000:19;REAL_TIME_2024_XRP:16;REAL_FOLLOW_SOL_6000:15;FOLLOW_DOGE_2024_5M_2000:13;REAL_TIME_2023_SOL_ALTSEQ_A:13;BTC_STRESS_2024_5M:12;REAL_TIME_2024_BTC_5M:11;BTC_10K_A:10
dio_mcm_episode_0vcr3lw,breite_grundrolle,breite_grundrolle,226,263,37,32,35,3,0.556275,0.572798,0.016523,0.277219,0.264463,-0.012756,0.103591,0.091507,-0.012084,34,REAL_TIME_2023_SOL_ALTSEQ_A:18;FOLLOW_DOGE_2024_5M_2000:17;FOLLOW_XRP_2024_5M_2000:17;SOL_10K_A:17;REAL_FOLLOW_SOL_6000:16;DOGE_1H_B:13;REAL_FOLLOW_DOGE_6000:13;REAL_TIME_2024_XRP:13;QUIET_NEAR_PAXG2024_1H:11;REAL_FOLLOW_XRP_6000:10
dio_mcm_episode_0b8eoy2,breite_grundrolle,breite_grundrolle,162,199,37,21,24,3,0.422247,0.45589,0.033643,0.194798,0.189999,-0.004799,0.140289,0.11988,-0.020409,36,FOLLOW_DOGE_2024_5M_2000:21;REAL_FOLLOW_XRP_6000:20;REAL_FOLLOW_SOL_6000:19;REAL_TIME_2024_BTC_5M:16;SOL_10K_A:16;BTC_10K_A:15;FOLLOW_XRP_2024_5M_2000:15;REAL_TIME_2024_XRP:15;REAL_TIME_2023_SOL_ALTSEQ_A:11;REAL_FOLLOW_DOGE_6000:10
dio_mcm_episode_1aejc9m,breite_grundrolle,breite_grundrolle,220,255,35,17,20,3,0.417983,0.467218,0.049235,0.280838,0.28313,0.002292,0.157184,0.137569,-0.019615,34,SOL_10K_A:35;BTC_SHIFT_2025_30M_10000_11000:32;BTC_LONG_2024_5M_QUIET:26;FOLLOW_KAS_2024_5M_2000:23;REAL_FOLLOW_XRP_6000:22;QUIET_NEAR_PAXG2024_1H:18;REAL_TIME_2023_SOL_ALTSEQ_A:18;BTC_1H_B:14;DOGE_1H_B:14;FOLLOW_DOGE_2024_5M_2000:11
dio_mcm_episode_0hvxln3,breite_grundrolle,breite_grundrolle,166,197,31,31,34,3,0.495822,0.526251,0.030429,0.194366,0.193581,-0.000785,0.130735,0.113559,-0.017176,26,REAL_TIME_2023_SOL_ALTSEQ_A:20;SOL_10K_A:15;BTC_10K_A:14;FOLLOW_DOGE_2024_5M_2000:14;FOLLOW_XRP_2024_5M_2000:12;REAL_FOLLOW_SOL_6000:12;REAL_FOLLOW_DOGE_6000:9;REAL_FOLLOW_PAXG_6000:9;REAL_FOLLOW_XRP_6000:9;BTC_LONG_2024_5M_QUIET:7
dio_mcm_episode_14pd6eb,nebenrolle,breite_grundrolle,94,122,28,15,17,2,0.348596,0.381795,0.033199,0.167055,0.163436,-0.003619,0.126022,0.133244,0.007222,28,FOLLOW_XRP_2024_5M_2000:19;REAL_TIME_2023_SOL_ALTSEQ_A:14;QUIET_NEAR_PAXG2025_1H:12;REAL_FOLLOW_XRP_6000:10;FOLLOW_DOGE_2024_5M_2000:9;REAL_TIME_2024_XRP:9;BTC_STRESS_2025_5M:8;REAL_FOLLOW_PAXG_6000:8;REAL_FOLLOW_SOL_6000:8;REAL_FOLLOW_DOGE_6000:6
dio_mcm_episode_15z3zml,breite_grundrolle,breite_grundrolle,142,168,26,18,21,3,0.38248,0.422122,0.039642,0.212907,0.212394,-0.000513,0.17017,0.146932,-0.023238,23,SOL_10K_A:21;REAL_FOLLOW_SOL_6000:20;REAL_FOLLOW_XRP_6000:17;FOLLOW_DOGE_2024_5M_2000:15;BTC_10K_A:13;REAL_TIME_2024_BTC_5M:12;REAL_TIME_2023_SOL_ALTSEQ_A:11;BTC_STRESS_2024_5M:9;REAL_FOLLOW_DOGE_6000:9;FOLLOW_XRP_2024_5M_2000:8
dio_mcm_episode_0m8cxz1,milieurolle,milieurolle,990,1016,26,18,20,2,0.353234,0.383074,0.02984,0.160001,0.170993,0.010992,0.523791,0.508109,-0.015682,16,BTC_LONG_2025_5M_QUIET:330;QUIET_NEAR_BTC_1869:330;BTC_FIELD_QUIET_05:55;BTC_FIELD_QUIET_04:47;BTC_FIELD_QUIET_02:40;BTC_STRESS_2024_5M:39;BTC_10K_A:35;QUIET_NEAR_SOL_SIDEWAYS:23;FOLLOW_PAXG_2024_5M_2000:16;REAL_TIME_2024_PAXG:15
dio_mcm_episode_05upp98,nebenrolle,nebenrolle,80,103,23,14,16,2,0.318727,0.359167,0.04044,0.136756,0.137825,0.001069,0.118821,0.124796,0.005975,23,REAL_TIME_2023_SOL_ALTSEQ_A:17;FOLLOW_XRP_2024_5M_2000:15;QUIET_NEAR_PAXG2025_1H:12;REAL_FOLLOW_XRP_6000:10;FOLLOW_DOGE_2024_5M_2000:8;REAL_FOLLOW_PAXG_6000:6;REAL_TIME_2024_XRP:6;BTC_STRESS_2025_5M:5;REAL_FOLLOW_DOGE_6000:5;REAL_FOLLOW_SOL_6000:5
dio_mcm_episode_1elnwvw,neu,nebenrolle,0,21,21,0,8,8,0.0,0.175474,0.175474,0.0,0.111391,0.111391,0.0,0.136629,0.136629,3,BTC_FIELD_QUIET_02:3;BTC_SHIFT_2025_15M_16000_17000:3;FOLLOW_XRP_2024_5M_2000:3;QUIET_NEAR_BTC_FIELD_01:3;QUIET_NEAR_PAXG2024_1H:3;REAL_TIME_2024_XRP:3;REAL_FOLLOW_PAXG_6000:2;QUIET_NEAR_SOL_SIDEWAYS:1
dio_mcm_episode_0bygq81,nebenrolle,nebenrolle,53,73,20,12,14,2,0.262601,0.309561,0.04696,0.095346,0.100831,0.005485,0.137009,0.116869,-0.02014,20,REAL_TIME_2023_SOL_ALTSEQ_A:13;FOLLOW_XRP_2024_5M_2000:11;QUIET_NEAR_PAXG2025_1H:11;FOLLOW_DOGE_2024_5M_2000:9;REAL_FOLLOW_XRP_6000:8;REAL_FOLLOW_PAXG_6000:4;REAL_FOLLOW_SOL_6000:4;REAL_TIME_2024_BTC_5M:3;REAL_TIME_2024_XRP:3;BTC_STRESS_2025_5M:2
dio_mcm_episode_17i3weh,neu,nebenrolle,0,19,19,0,7,7,0.0,0.14968,0.14968,0.0,0.041393,0.041393,0.0,0.103231,0.103231,1,BTC_LONG_2024_5M_QUIET:7;SOL_10K_A:5;PAXG_1846_A:2;REAL_FOLLOW_BTC_6000:2;DOGE_1H_A:1;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_PAXG_6000:1
dio_mcm_episode_08621v5,neu,nebenrolle,0,18,18,0,10,10,0.0,0.193887,0.193887,0.0,0.050943,0.050943,0.0,0.089316,0.089316,5,FOLLOW_KAS_2024_5M_2000:3;SOL_10K_A:3;BTC_FIELD_QUIET_05:2;FOLLOW_XRP_2024_5M_2000:2;REAL_FOLLOW_SOL_6000:2;REAL_TIME_2024_XRP:2;BTC_FIELD_QUIET_02:1;BTC_LONG_2025_5M_QUIET:1;QUIET_NEAR_BTC_1869:1;REAL_TIME_2023_SOL_ALTSEQ_A:1
dio_mcm_episode_0ptcfn6,neu,nebenrolle,0,18,18,0,8,8,0.0,0.171995,0.171995,0.0,0.044509,0.044509,0.0,0.090798,0.090798,3,BTC_LONG_2025_5M_QUIET:3;FOLLOW_PAXG_2024_5M_2000:3;QUIET_NEAR_BTC_1869:3;REAL_TIME_2024_PAXG:3;XRP_1H_A:3;BTC_10K_A:1;BTC_1H_A:1;REAL_FOLLOW_XRP_6000:1
dio_mcm_episode_1xlv7yw,neu,nebenrolle,0,18,18,0,8,8,0.0,0.158958,0.158958,0.0,0.063321,0.063321,0.0,0.136197,0.136197,3,BTC_LONG_2024_5M_QUIET:3;FOLLOW_XRP_2024_5M_2000:3;REAL_FOLLOW_XRP_6000:3;REAL_TIME_2024_XRP:3;PAXG_1846_A:2;REAL_FOLLOW_BTC_6000:2;BTC_STRESS_2025_5M:1;REAL_TIME_2024_SOL_ALTSEQ_A:1
dio_mcm_episode_0vidg3n,neu,nebenrolle,0,17,17,0,7,7,0.0,0.143928,0.143928,0.0,0.0344,0.0344,0.0,0.142737,0.142737,3,BTC_LONG_2024_5M_QUIET:3;FOLLOW_XRP_2024_5M_2000:3;REAL_FOLLOW_BTC_6000:3;REAL_FOLLOW_XRP_6000:3;REAL_TIME_2024_XRP:3;PAXG_1846_A:1;REAL_TIME_2024_SOL_ALTSEQ_A:1
dio_mcm_episode_1f9nms9,neu,nebenrolle,0,16,16,0,9,9,0.0,0.17658,0.17658,0.0,0.104118,0.104118,0.0,0.064761,0.064761,4,BTC_10K_A:3;BTC_FIELD_QUIET_03:2;BTC_STRESS_2024_5M:2;FOLLOW_DOGE_2024_5M_2000:2;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_LONG_2024_5M_QUIET:1;DOGE_1H_B:1;QUIET_NEAR_PAXG2025_1H:1
dio_mcm_episode_1u5i0pf,neu,nebenrolle,0,15,15,0,10,10,0.0,0.166666,0.166666,0.0,0.072758,0.072758,0.0,0.117155,0.117155,5,FOLLOW_XRP_2024_5M_2000:3;REAL_TIME_2024_XRP:3;FOLLOW_DOGE_2024_5M_2000:2;BTC_10K_A:1;BTC_1H_B:1;BTC_FIELD_QUIET_03:1;BTC_SHIFT_2025_15M_16000_17000:1;QUIET_NEAR_BTC_FIELD_01:1;REAL_FOLLOW_PAXG_6000:1;XRP_1H_A:1
dio_mcm_episode_0qm3991,neu,nebenrolle,0,15,15,0,8,8,0.0,0.148838,0.148838,0.0,0.064888,0.064888,0.0,0.119099,0.119099,2,BTC_LONG_2025_5M_QUIET:3;QUIET_NEAR_BTC_1869:3;BTC_1H_A:2;FOLLOW_PAXG_2024_5M_2000:2;REAL_TIME_2024_PAXG:2;BTC_SHIFT_2025_30M_10000_11000:1;QUIET_NEAR_SOL_SIDEWAYS:1;XRP_1H_A:1
dio_mcm_episode_1iwpq62,nebenrolle,nebenrolle,54,69,15,11,13,2,0.266906,0.309708,0.042802,0.267313,0.255429,-0.011884,0.122391,0.100399,-0.021992,15,BTC_STRESS_2024_5M:9;BTC_FIELD_QUIET_04:8;FOLLOW_XRP_2024_5M_2000:8;REAL_TIME_2024_XRP:8;BTC_FIELD_QUIET_05:7;FOLLOW_PAXG_2024_5M_2000:7;REAL_TIME_2024_PAXG:7;BTC_STRESS_2025_5M:6;REAL_FOLLOW_PAXG_6000:4;QUIET_NEAR_BTC_FIELD_01:2
dio_mcm_episode_1qv5i56,nebenrolle,nebenrolle,29,44,15,10,12,2,0.21539,0.251318,0.035928,0.055864,0.063851,0.007987,0.096878,0.141568,0.04469,15,FOLLOW_XRP_2024_5M_2000:10;QUIET_NEAR_PAXG2025_1H:6;REAL_FOLLOW_XRP_6000:6;FOLLOW_DOGE_2024_5M_2000:5;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_FOLLOW_SOL_6000:3;REAL_TIME_2024_BTC_5M:3;REAL_TIME_2024_XRP:2;SOL_10K_A:2;BTC_FIELD_QUIET_05:1
dio_mcm_episode_1416rrs,neu,nebenrolle,0,14,14,0,8,8,0.0,0.155074,0.155074,0.0,0.129454,0.129454,0.0,0.07106,0.07106,2,BTC_STRESS_2025_5M:3;SOL_10K_A:3;FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_10K_A:1;BTC_FIELD_QUIET_02:1;BTC_LONG_2025_5M_QUIET:1;QUIET_NEAR_BTC_1869:1
dio_mcm_episode_16bqw8k,nebenrolle,breite_grundrolle,61,75,14,22,25,3,0.366585,0.395275,0.02869,0.217474,0.20814,-0.009334,0.088219,0.099462,0.011243,12,FOLLOW_XRP_2024_5M_2000:7;REAL_TIME_2023_SOL_ALTSEQ_A:7;REAL_TIME_2024_XRP:7;BTC_STRESS_2025_5M:5;FOLLOW_DOGE_2024_5M_2000:5;REAL_FOLLOW_DOGE_6000:5;BTC_10K_A:4;BTC_LONG_2024_5M_QUIET:4;REAL_FOLLOW_XRP_6000:4;REAL_TIME_2024_SOL_ALTSEQ_A:4
dio_mcm_episode_16rq8r1,neu,nebenrolle,0,13,13,0,11,11,0.0,0.173031,0.173031,0.0,0.114858,0.114858,0.0,0.090806,0.090806,3,FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_FIELD_QUIET_04:1;BTC_LONG_2024_5M_QUIET:1;BTC_STRESS_2024_5M:1;BTC_STRESS_2025_5M:1;DOGE_1H_A:1;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_PAXG_6000:1;REAL_FOLLOW_XRP_6000:1
dio_mcm_episode_1r085q1,neu,nebenrolle,0,13,13,0,10,10,0.0,0.166439,0.166439,0.0,0.076272,0.076272,0.0,0.073163,0.073163,1,REAL_TIME_2023_SOL_ALTSEQ_A:2;REAL_TIME_2024_BTC_5M:2;REAL_TIME_2024_SOL_ALTSEQ_A:2;BTC_STRESS_2024_5M:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_PAXG2024_1H:1;REAL_FOLLOW_BTC_6000:1;REAL_FOLLOW_DOGE_6000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_XRP:1
dio_mcm_episode_0xsyn4p,neu,nebenrolle,0,13,13,0,8,8,0.0,0.150466,0.150466,0.0,0.040225,0.040225,0.0,0.111566,0.111566,2,SOL_10K_A:3;BTC_10K_A:2;FOLLOW_DOGE_2024_5M_2000:2;REAL_FOLLOW_SOL_6000:2;BTC_1H_A:1;REAL_FOLLOW_DOGE_6000:1;REAL_TIME_2024_BTC_5M:1;REAL_TIME_2024_SOL_ALTSEQ_A:1
dio_mcm_episode_0vacb4t,neu,nebenrolle,0,12,12,0,9,9,0.0,0.159259,0.159259,0.0,0.041888,0.041888,0.0,0.077388,0.077388,1,BTC_FIELD_QUIET_05:2;PAXG_1H_A:2;REAL_FOLLOW_BTC_6000:2;BTC_10K_A:1;BTC_1H_A:1;BTC_FIELD_QUIET_02:1;FOLLOW_XRP_2024_5M_2000:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2024_XRP:1
dio_mcm_episode_1qmlwcr,neu,nebenrolle,0,12,12,0,9,9,0.0,0.150528,0.150528,0.0,0.074206,0.074206,0.0,0.058041,0.058041,1,REAL_FOLLOW_XRP_6000:3;PAXG_1846_A:2;BTC_10K_A:1;BTC_FIELD_QUIET_02:1;BTC_LONG_2024_5M_QUIET:1;BTC_STRESS_2025_5M:1;FOLLOW_DOGE_2024_5M_2000:1;QUIET_NEAR_PAXG2025_1H:1;REAL_TIME_2024_SOL_ALTSEQ_A:1
dio_mcm_episode_0s2q227,neu,nebenrolle,0,12,12,0,8,8,0.0,0.144482,0.144482,0.0,0.03886,0.03886,0.0,0.058546,0.058546,4,FOLLOW_DOGE_2024_5M_2000:3;REAL_FOLLOW_SOL_6000:2;REAL_TIME_2024_BTC_5M:2;BTC_10K_A:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_PAXG2024_1H:1;REAL_FOLLOW_XRP_6000:1;REAL_TIME_2023_SOL_ALTSEQ_A:1
dio_mcm_episode_12a9dhw,neu,nebenrolle,0,11,11,0,9,9,0.0,0.147436,0.147436,0.0,0.109834,0.109834,0.0,0.081468,0.081468,3,FOLLOW_PAXG_2024_5M_2000:2;REAL_TIME_2024_PAXG:2;BTC_1H_C:1;BTC_SHIFT_2025_1H_4000_5000:1;BTC_SHIFT_2025_30M_10000_11000:1;FOLLOW_DOGE_2024_5M_2000:1;REAL_FOLLOW_SOL_6000:1;REAL_TIME_2024_SOL_ALTSEQ_A:1;XRP_1H_A:1
dio_mcm_episode_1kebzg8,neu,nebenrolle,0,11,11,0,9,9,0.0,0.14709,0.14709,0.0,0.073654,0.073654,0.0,0.081468,0.081468,2,FOLLOW_XRP_2024_5M_2000:2;REAL_TIME_2024_XRP:2;BTC_1H_C:1;BTC_FIELD_QUIET_04:1;BTC_FIELD_QUIET_05:1;BTC_SHIFT_2025_1H_4000_5000:1;PAXG_1H_A:1;QUIET_NEAR_PAXG2024_1H:1;REAL_TIME_2024_BTC_5M:1
dio_mcm_episode_13e4mrt,neu,nebenrolle,0,11,11,0,9,9,0.0,0.142092,0.142092,0.0,0.037641,0.037641,0.0,0.081468,0.081468,2,REAL_FOLLOW_SOL_6000:3;BTC_1H_A:1;BTC_1H_B:1;FOLLOW_DOGE_2024_5M_2000:1;FOLLOW_XRP_2024_5M_2000:1;QUIET_NEAR_PAXG2024_1H:1;REAL_TIME_2024_SOL_ALTSEQ_A:1;REAL_TIME_2024_XRP:1;XRP_1H_A:1
dio_mcm_episode_1rzvh02,nebenrolle,nebenrolle,103,114,11,7,8,1,0.226409,0.255501,0.029092,0.282537,0.308536,0.025999,0.192692,0.17619,-0.016502,11,BTC_STRESS_2025_5M:45;BTC_10K_A:20;SOL_10K_A:14;FOLLOW_XRP_2024_5M_2000:11;REAL_TIME_2024_XRP:11;BTC_LONG_2025_5M_QUIET:5;QUIET_NEAR_BTC_1869:5;BTC_FIELD_QUIET_02:3
dio_mcm_episode_0x60uui,nebenrolle,nebenrolle,28,37,9,18,21,3,0.279511,0.307256,0.027745,0.147871,0.144639,-0.003232,0.063302,0.09403,0.030728,8,FOLLOW_XRP_2024_5M_2000:6;REAL_TIME_2024_XRP:3;BTC_FIELD_QUIET_05:2;BTC_STRESS_2024_5M:2;FOLLOW_DOGE_2024_5M_2000:2;PAXG_1846_A:2;REAL_FOLLOW_DOGE_6000:2;REAL_FOLLOW_PAXG_6000:2;REAL_FOLLOW_SOL_6000:2;REAL_FOLLOW_XRP_6000:2
dio_mcm_episode_16hqn22,nebenrolle,nebenrolle,39,47,8,19,21,2,0.30369,0.332333,0.028643,0.075403,0.084255,0.008852,0.107807,0.093278,-0.014529,7,FOLLOW_XRP_2024_5M_2000:7;REAL_FOLLOW_SOL_6000:5;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_TIME_2024_XRP:4;SOL_10K_A:4;REAL_FOLLOW_PAXG_6000:3;BTC_10K_A:2;BTC_FIELD_QUIET_02:2;BTC_LONG_2024_5M_QUIET:2;PAXG_1846_A:2
dio_mcm_episode_171moy1,nebenrolle,nebenrolle,47,55,8,16,18,2,0.300877,0.328137,0.02726,0.110033,0.113553,0.00352,0.080616,0.083971,0.003355,8,REAL_FOLLOW_XRP_6000:7;REAL_FOLLOW_DOGE_6000:5;BTC_10K_A:4;FOLLOW_DOGE_2024_5M_2000:4;FOLLOW_XRP_2024_5M_2000:4;REAL_TIME_2023_SOL_ALTSEQ_A:4;REAL_TIME_2024_BTC_5M:4;BTC_1H_A:3;QUIET_NEAR_PAXG2024_1H:3;QUIET_NEAR_PAXG2025_1H:3
