family,transition,world,count_2024,count_2025,base_total_2023,follow_total_2023,delta_range_mid,delta_hearing_mid,delta_tension_mid,base_ticks,base_tick_start,base_tick_end,base_range_ticks,base_rekopplung,base_adaptive_rekopplung,base_strain,base_carry,base_visual_gap,base_hearing_gap,base_form_stability,base_form_change,base_tone,base_tone_shift_abs,base_felt_pressure,base_adapted_intake,base_mcm_coherence,base_mcm_tension,base_mcm_asymmetry,base_raw_rows,base_raw_net_pct,base_raw_range_pct,base_raw_body_pct,base_raw_volume,follow_ticks,follow_tick_start,follow_tick_end,follow_range_ticks,follow_rekopplung,follow_adaptive_rekopplung,follow_strain,follow_carry,follow_visual_gap,follow_hearing_gap,follow_form_stability,follow_form_change,follow_tone,follow_tone_shift_abs,follow_felt_pressure,follow_adapted_intake,follow_mcm_coherence,follow_mcm_tension,follow_mcm_asymmetry,follow_raw_rows,follow_raw_net_pct,follow_raw_range_pct,follow_raw_body_pct,follow_raw_volume,pre_ticks,pre_tick_start,pre_tick_end,pre_range_ticks,pre_rekopplung,pre_adaptive_rekopplung,pre_strain,pre_carry,pre_visual_gap,pre_hearing_gap,pre_form_stability,pre_form_change,pre_tone,pre_tone_shift_abs,pre_felt_pressure,pre_adapted_intake,pre_mcm_coherence,pre_mcm_tension,pre_mcm_asymmetry,pre_raw_rows,pre_raw_net_pct,pre_raw_range_pct,pre_raw_body_pct,pre_raw_volume
dio_1wdi,offen_und_gereift->nur_gereift,EXPANSION_2023,1,1,15,3,0.017540,0.003959,0.006833,15.000000,462.000000,4090.000000,3629.000000,0.713994,0.757244,0.122142,0.528314,0.200779,0.008177,-0.243229,0.253779,0.026974,0.010956,0.070412,0.039660,0.542928,0.039660,0.091833,15.000000,5.687606,0.310074,0.188551,8636.270667,3.000000,519.000000,4333.000000,3815.000000,0.699206,0.747947,0.124451,0.487799,0.188809,0.005916,-0.197543,0.224994,0.010254,0.047667,0.065523,0.031470,0.545761,0.031470,0.092400,3.000000,36.559496,0.418175,0.275571,18093.993333,24.000000,511.000000,4332.000000,3822.000000,0.707275,0.746444,0.149581,0.536453,0.197300,0.085995,-0.078485,0.006974,-0.047209,0.216508,0.105085,0.094361,0.601778,0.094361,-0.034828,24.000000,35.643564,0.444325,0.215153,20181.299167
dio_1r55,nur_gereift->offen_und_gereift,MOD_NEG_2023,1,2,13,15,0.021921,0.003754,0.002985,13.000000,339.000000,4926.000000,4588.000000,0.700152,0.743704,0.146475,0.508769,0.079697,0.136843,0.080627,-0.006998,-0.213225,0.341310,0.128097,0.130178,0.612964,0.130178,-0.090300,13.000000,-9.508061,0.116485,0.027397,2171.946154,15.000000,322.000000,4993.000000,4672.000000,0.704975,0.748889,0.147364,0.510739,0.077799,0.136181,0.137910,-0.018827,-0.246733,0.295488,0.125731,0.131029,0.637044,0.131029,-0.093940,15.000000,-4.859813,0.112737,0.022213,2888.819333,120.000000,314.000000,4992.000000,4679.000000,0.707266,0.746904,0.150722,0.534785,0.163335,0.106003,0.022762,0.008674,-0.000080,0.220468,0.113093,0.108462,0.620132,0.108462,0.008960,120.000000,-4.502814,0.185891,0.078220,5452.349917
dio_10dv,nur_gereift->offen_und_gereift,MOD_NEG_2023,2,2,20,21,0.013810,0.006691,0.008435,20.000000,353.000000,4890.000000,4538.000000,0.714832,0.758685,0.136589,0.529937,0.036936,0.123801,0.384591,-0.018025,-0.235701,0.252259,0.107023,0.120620,0.744067,0.120620,-0.131620,20.000000,-9.626556,0.135337,0.049607,3440.827000,21.000000,1.000000,4888.000000,4888.000000,0.716225,0.758437,0.137701,0.533600,0.030484,0.124760,0.404004,0.012989,-0.206661,0.235575,0.107888,0.122902,0.749178,0.122902,-0.123997,21.000000,-6.275767,0.136833,0.033214,5058.331429,160.000000,98.000000,4887.000000,4790.000000,0.702904,0.745151,0.150891,0.519783,0.157706,0.099496,0.079063,0.002396,-0.009157,0.196371,0.107767,0.102289,0.635298,0.102289,-0.031318,160.000000,-7.962213,0.208429,0.081882,8266.551750
dio_01hu,nur_gereift->offen_und_gereift,ALTSEQ_2023,2,1,15,16,0.027863,0.002106,0.002642,15.000000,711.000000,4601.000000,3891.000000,0.711918,0.754664,0.133027,0.527642,0.146464,0.074477,0.020084,-0.011772,-0.053145,0.190519,0.075802,0.071933,0.670970,0.071933,-0.004395,15.000000,1.374570,0.261561,0.046652,7139.249333,16.000000,559.000000,3576.000000,3018.000000,0.717847,0.760433,0.132962,0.528639,0.140586,0.073144,-0.082825,-0.002565,-0.117485,0.097897,0.072715,0.072550,0.667228,0.072550,-0.019861,16.000000,-0.881489,0.108041,0.021611,3617.365000,128.000000,551.000000,3575.000000,3025.000000,0.715489,0.754610,0.147424,0.540480,0.132206,0.108036,0.021003,0.000830,-0.063742,0.202809,0.109390,0.108215,0.632135,0.108215,-0.005107,128.000000,-0.589391,0.144036,0.064160,6323.247344
dio_14d9,offen_und_gereift->nur_gereift,ALTSEQ_2023,1,2,20,17,0.020427,0.008427,0.006134,20.000000,411.000000,4628.000000,4218.000000,0.702506,0.744284,0.147880,0.521966,0.105585,0.128584,-0.152732,0.366898,0.228290,0.264605,0.125866,0.124918,0.603344,0.124918,0.242172,20.000000,9.192349,0.749292,0.454250,22798.408500,17.000000,68.000000,4797.000000,4730.000000,0.701092,0.743543,0.145389,0.519715,0.094174,0.129878,-0.130884,0.394685,0.207888,0.316133,0.124857,0.123473,0.613573,0.123473,0.254405,17.000000,20.606644,0.414094,0.302764,12009.845882,136.000000,60.000000,4796.000000,4737.000000,0.702759,0.741943,0.153594,0.529860,0.192864,0.098295,-0.026986,0.015120,-0.047655,0.211662,0.114634,0.103871,0.593515,0.103871,-0.034602,136.000000,20.009620,0.306171,0.148442,12995.199338
dio_1cmd,nur_gereift->offen_und_gereift,ALTSEQ_2023,1,1,5,5,0.025834,0.007367,0.003808,5.000000,861.000000,3602.000000,2742.000000,0.661293,0.705480,0.187461,0.451841,0.040998,0.246436,-0.276883,-0.082977,-0.374283,0.618121,0.234034,0.230259,0.387308,0.230259,-0.218563,5.000000,9.616343,0.198562,0.066879,7844.250000,5.000000,469.000000,4445.000000,3977.000000,0.662064,0.705936,0.192879,0.445500,0.054754,0.265460,-0.165754,-0.070750,-0.376462,0.671753,0.241393,0.235024,0.396144,0.235024,-0.225663,5.000000,16.489875,0.120446,0.047385,6946.250000,40.000000,461.000000,4444.000000,3984.000000,0.699262,0.738140,0.159544,0.526073,0.189138,0.118135,-0.070365,0.010557,0.065770,0.254976,0.125193,0.117540,0.583109,0.117540,0.048014,40.000000,16.868052,0.275919,0.125682,11878.419000
dio_13o0,offen_und_gereift->nur_gereift,ALTSEQ_2023,2,1,12,16,0.032319,0.001166,0.003592,12.000000,180.000000,4755.000000,4576.000000,0.727102,0.773638,0.107226,0.538322,0.099579,0.015560,0.481938,-0.031256,0.001750,0.057568,0.056085,0.033271,0.723106,0.033271,-0.120671,12.000000,10.564561,0.364393,0.198820,13066.142500,16.000000,12.000000,4651.000000,4640.000000,0.730811,0.777151,0.105555,0.546866,0.103883,0.011308,0.530895,-0.010957,-0.002342,0.029941,0.053692,0.026501,0.721236,0.026501,-0.121898,16.000000,19.274154,0.257526,0.114611,8055.621250,128.000000,4.000000,4650.000000,4647.000000,0.700073,0.742560,0.151298,0.516241,0.184623,0.088009,0.054327,-0.038179,-0.022165,0.188786,0.105153,0.093919,0.617233,0.093919,-0.023510,128.000000,18.460789,0.265199,0.127478,9067.656016
dio_092h,offen_und_gereift->nur_gereift,NEG_STRESS_2023,1,1,5,2,0.024662,0.009020,0.008027,5.000000,733.000000,4903.000000,4171.000000,0.661404,0.704990,0.195095,0.461295,0.110140,0.247997,0.557990,0.211433,0.512576,0.423210,0.192147,0.227046,0.735472,0.227046,0.379462,5.000000,9.051909,0.527201,0.349066,33602.210000,2.000000,243.000000,1912.000000,1670.000000,0.644360,0.690709,0.210575,0.430739,0.123243,0.264093,0.588814,0.282413,0.513698,0.488210,0.206864,0.238900,0.717721,0.238900,0.398691,2.000000,-5.285235,0.474861,0.366101,12180.645000,16.000000,235.000000,1911.000000,1677.000000,0.703712,0.747951,0.143385,0.518995,0.144577,0.089245,0.142524,0.039088,-0.009780,0.189067,0.096965,0.090601,0.663563,0.090601,0.001294,16.000000,-4.659043,0.272868,0.113563,7038.902500
dio_1qyl,offen_und_gereift->nur_gereift,NEG_STRESS_2023,3,3,9,4,0.040214,0.004098,0.002093,9.000000,885.000000,4361.000000,3477.000000,0.716793,0.763180,0.115552,0.524530,0.098617,0.027373,0.475607,0.108600,0.002570,0.100835,0.090049,0.053652,0.616452,0.053652,0.254279,9.000000,6.080207,0.618540,0.383010,28845.080000,4.000000,63.000000,4774.000000,4712.000000,0.707696,0.757568,0.118463,0.501951,0.088843,0.031903,0.425669,0.191632,-0.017032,0.107522,0.087164,0.056538,0.638171,0.056538,0.261963,4.000000,-25.358650,0.683924,0.393784,29676.757500,32.000000,55.000000,4773.000000,4719.000000,0.691619,0.733880,0.157973,0.506553,0.198779,0.096260,0.074961,0.020366,-0.074883,0.200922,0.121574,0.101859,0.577585,0.101859,-0.042097,32.000000,-26.099707,0.602415,0.261627,30195.964687
dio_1yt8,offen_und_gereift->nur_gereift,NEG_STRESS_2023,1,1,7,4,0.048444,0.000090,0.001322,7.000000,91.000000,4804.000000,4714.000000,0.695889,0.739838,0.138596,0.502553,0.309956,0.009642,0.029880,0.116289,-0.015315,0.051040,0.074935,0.038574,0.580981,0.038574,-0.017770,7.000000,4.958678,0.365679,0.150036,19641.701429,4.000000,200.000000,4219.000000,4020.000000,0.690755,0.737117,0.140474,0.488854,0.303123,0.010059,0.120565,0.018817,0.023467,0.033981,0.075050,0.036163,0.587298,0.036163,0.009053,4.000000,-20.678108,0.391376,0.120785,13802.877500,32.000000,192.000000,4218.000000,4027.000000,0.697853,0.741814,0.148243,0.511280,0.189679,0.081899,0.073300,-0.030885,0.033003,0.150347,0.099769,0.089034,0.630545,0.089034,-0.003433,32.000000,-20.261163,0.340493,0.170628,15846.572187
