reading,side,mode,world,pair,phase_hint,chart_zone,dominant_movement,return_pct,range_pct,pressure_abs,rekopplung_abs,direction_pair,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
bull_expansion,bull,getragene_expansion,LONG2024_15M_BTC_STRESS_4000,1t5bcxp->183drjy,steigende_rekopplung_getragen,expansion_getragen,rekopplungs_uebergang,31.706961,37.083211,0.060054,0.024454,1t5bcxp->183drjy,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,LONG2024_15M_SOL_STRESS_4000,1t5bcxp->183drjy,steigende_rekopplung_getragen,expansion_getragen,rekopplungs_uebergang,13.901137,36.853098,0.0412,0.020557,1t5bcxp->183drjy,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,LONG2025_BTC_STRESS_4000,183drjy->1t5bcxp,steigende_expansion_mit_bruch,expansion_getragen,bewegungsbruch_zone,18.94883,32.324571,0.073479,0.019872,183drjy->1t5bcxp,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,LONG2025_BTC_STRESS_4000,1t5bcxp->183drjy,steigende_rekopplung_getragen,expansion_getragen,rekopplungs_uebergang,25.458857,33.114433,0.054113,0.018745,1t5bcxp->183drjy,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,SOL_2024_1H,183drjy->1t5bcxp,getragene_expansion,expansion_getragen,offene_uebergangszone,40.518749,52.613173,0.082388,0.014259,183drjy->1t5bcxp,1,0,0,0,0,0,0
bull_expansion,bull,getragene_expansion,SOL_2024_1H,1t5bcxp->183drjy,getragene_expansion,expansion_getragen,offene_uebergangszone,38.801476,52.602953,0.077712,0.016452,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_bruch,selloff,abverkauf_mit_bruch,LONG2025_15M_SOL_STRESS_4000,183drjy->1t5bcxp,fallender_bruch,abverkauf_getragen,bewegungsbruch_zone,-36.805556,42.974387,0.06891,0.025024,183drjy->1t5bcxp,1,0,0,0,0,0,0
falling_bruch,selloff,abverkauf_mit_bruch,LONG2025_5M_SOL_STRESS_4000,183drjy->1t5bcxp,fallender_bruch,abverkauf_getragen,bewegungsbruch_zone,-17.098858,30.533676,0.059726,0.018752,183drjy->1t5bcxp,1,0,0,0,0,0,0
falling_bruch,selloff,abverkauf_mit_bruch,SOL_2024_30M,183drjy->1t5bcxp,offenes_familienfenster,abverkauf_getragen,offene_uebergangszone,-3.229713,5.308841,0.059744,0.014851,183drjy->1t5bcxp,1,0,0,0,0,0,0
falling_bruch,selloff,abverkauf_mit_bruch,SOL_2024_30M,1t5bcxp->183drjy,offenes_familienfenster,abverkauf_getragen,offene_uebergangszone,-5.078792,6.002208,0.066932,0.017988,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2024_5M_SOL_STRESS_4000,183drjy->1t5bcxp,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-9.208984,15.273437,0.069593,0.027954,183drjy->1t5bcxp,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2024_5M_SOL_STRESS_4000,1t5bcxp->183drjy,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-10.795233,19.851504,0.037984,0.010437,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2025_15M_BTC_QUIET_4000,1t5bcxp->183drjy,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-3.810866,10.623678,0.05156,0.018723,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2025_15M_BTC_STRESS_4000,1t5bcxp->183drjy,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-10.193232,22.125853,0.049321,0.016383,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2025_15M_SOL_STRESS_4000,1t5bcxp->183drjy,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-36.414755,42.869996,0.056836,0.025916,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2025_5M_BTC_STRESS_4000,1t5bcxp->183drjy,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-6.169117,10.763185,0.044555,0.015869,1t5bcxp->183drjy,1,0,0,0,0,0,0
falling_rekopplung,selloff,abverkauf_mit_rekopplung,LONG2025_SOL_STRESS_4000,1t5bcxp->183drjy,fallende_rekopplung,abverkauf_getragen,rekopplungs_uebergang,-37.809187,61.652364,0.051483,0.018494,1t5bcxp->183drjy,1,0,0,0,0,0,0
last_rebound_rekopplung,selloff,rekopplung_nach_abverkauf,BTC_2024_1H,183drjy->1t5bcxp,erholung_nach_abverkauf,rekopplung_nach_abverkauf,druck_uebergang,71.149405,85.091518,0.126112,0.019626,183drjy->1t5bcxp,1,0,0,0,0,0,0
last_rebound_rekopplung,selloff,rekopplung_nach_abverkauf,BTC_2024_1H,1t5bcxp->183drjy,erholung_nach_abverkauf,rekopplung_nach_abverkauf,offene_uebergangszone,73.171069,85.080644,0.067919,0.016847,1t5bcxp->183drjy,1,0,0,0,0,0,0
last_rebound_rekopplung,selloff,rekopplung_nach_abverkauf,KAS2024_1H_ASSET_PROBE,183drjy->1t5bcxp,erholung_nach_abverkauf,rekopplung_nach_abverkauf,bewegungsbruch_zone,48.426102,97.841511,0.115673,0.026035,183drjy->1t5bcxp,1,0,0,0,0,0,0
last_rebound_rekopplung,selloff,rekopplung_nach_abverkauf,KAS2024_1H_ASSET_PROBE,1t5bcxp->183drjy,erholung_nach_abverkauf,rekopplung_nach_abverkauf,rekopplungs_uebergang,46.735395,96.131566,0.055481,0.018414,1t5bcxp->183drjy,1,0,0,0,0,0,0
