base_sequence,scale,count,dominant_raw_class,raw_class_counts,avg_price_move_pct,avg_abs_body_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure
offen_suchend->ruhig_zentrumsnah,200,4,gemischte_rohwelt,gemischte_rohwelt:4,0.748814,0.094055,0.196345,0.359266,0.676554,0.093954
ruhig_zentrumsnah->lauter_feldkontakt,200,4,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:1,-2.016563,0.16511,0.309862,0.482263,0.668754,0.11893
ueberstabil_gemischt->ueberstabil_gemischt,100,4,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:4,-2.408158,0.024436,2.591399,0.3428,0.820961,0.089572
leise_duenn->leise_duenn,100,3,gemischte_rohwelt,gemischte_rohwelt:3,-0.993876,0.094981,0.204312,0.336589,0.628274,0.091772
randlastige_sinneslage->ruhig_zentrumsnah,200,3,gemischte_rohwelt,gemischte_rohwelt:3,1.337907,0.122703,0.253048,0.38514,0.682489,0.09738
randlastige_sinneslage->ueberstabil_leise_scharf,100,3,scharf_ruhige_rohwelt,scharf_ruhige_rohwelt:2;bewegungsreiche_rohwelt:1,2.174974,0.021434,0.2051,0.062086,0.837241,0.023902
ruhig_zentrumsnah->leise_duenn,200,3,gemischte_rohwelt,gemischte_rohwelt:3,0.398397,0.052329,0.116113,0.334437,0.643352,0.091398
ruhig_zentrumsnah->ruhig_zentrumsnah,400,3,gemischte_rohwelt,gemischte_rohwelt:3,0.116317,0.036552,0.077454,0.359971,0.673743,0.096693
ruhig_zentrumsnah->ueberstabil_gemischt,100,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,-3.351896,0.034202,2.586659,0.322349,0.821946,0.084653
ueberstabil_extrem_leise_scharf->ueberstabil_leise_scharf,100,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:2;scharf_ruhige_rohwelt:1,0.434352,0.004461,1.709858,0.061774,0.833257,0.021202
ueberstabil_gemischt->ruhig_zentrumsnah,100,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,-3.813874,0.038895,2.589983,0.367203,0.818889,0.095313
ueberstabil_mit_randreiz->ueberstabil_extrem_leise_scharf,200,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,5.91172,0.028425,0.212092,0.019083,0.841195,0.013997
ueberstabil_mit_randreiz->ueberstabil_extrem_leise_scharf,400,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:2;scharf_ruhige_rohwelt:1,7.686945,0.018141,0.201807,0.019966,0.84037,0.012751
leise_duenn->leise_scharf_duenn,100,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.0233,0.054767,0.125209,0.314348,0.665002,0.08588
leise_duenn->normale_weltspannung,200,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.237265,0.063973,0.118007,0.397734,0.658629,0.102634
leise_scharf_duenn->leise_duenn,100,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.174527,0.071016,0.152763,0.296377,0.627208,0.083434
normale_weltspannung->leise_duenn,200,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.397221,0.066128,0.147459,0.314948,0.645789,0.087145
normale_weltspannung->leise_scharf_duenn,100,2,gemischte_rohwelt,gemischte_rohwelt:2,0.630507,0.0815,0.166346,0.346801,0.664887,0.0918
offen_suchend->ruhig_zentrumsnah,400,2,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1;gemischte_rohwelt:1,1.899987,0.117214,0.234319,0.400709,0.685609,0.100245
randlastige_sinneslage->ruhig_zentrumsnah,100,2,gemischte_rohwelt,gemischte_rohwelt:2,-0.770509,0.071733,0.146122,0.37814,0.686495,0.095482
lauter_feldkontakt->leise_duenn,100,1,gemischte_rohwelt,gemischte_rohwelt:1,0.099305,0.039683,0.091281,0.349028,0.659765,0.093463
lauter_feldkontakt->ruhig_zentrumsnah,200,1,gemischte_rohwelt,gemischte_rohwelt:1,0.479208,0.146671,0.29666,0.408943,0.692145,0.102201
leise_duenn->leise_duenn,200,1,gemischte_rohwelt,gemischte_rohwelt:1,-0.148883,0.047605,0.107621,0.310507,0.64428,0.088537
leise_duenn->ruhig_zentrumsnah,400,1,gemischte_rohwelt,gemischte_rohwelt:1,0.696864,0.048009,0.111458,0.321575,0.651414,0.088535
leise_scharf_duenn->normale_weltspannung,100,1,gemischte_rohwelt,gemischte_rohwelt:1,0.545974,0.062342,0.10709,0.443218,0.679798,0.110549
leise_scharf_duenn->ruhig_zentrumsnah,100,1,gemischte_rohwelt,gemischte_rohwelt:1,0.099701,0.052335,0.118645,0.296846,0.64946,0.083261
normale_weltspannung->leise_duenn,400,1,gemischte_rohwelt,gemischte_rohwelt:1,-0.149328,0.063889,0.147741,0.299287,0.640785,0.083191
offen_suchend->leise_duenn,200,1,gemischte_rohwelt,gemischte_rohwelt:1,-0.073503,0.089847,0.162753,0.352048,0.656271,0.091533
ruhig_zentrumsnah->ueberstabil_extrem_leise_scharf,200,1,scharf_ruhige_rohwelt,scharf_ruhige_rohwelt:1,2.705892,0.013351,0.158351,0.041571,0.838384,0.017484
ruhig_zentrumsnah->ueberstabil_extrem_leise_scharf,400,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,6.060481,0.014711,0.159711,0.030055,0.840096,0.014792
ruhig_zentrumsnah->ueberstabil_gemischt,200,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-2.549668,0.012913,2.557365,0.348244,0.820943,0.090974
ruhig_zentrumsnah->ueberstabil_leise_scharf,100,1,scharf_ruhige_rohwelt,scharf_ruhige_rohwelt:1,1.148052,0.011416,0.156416,0.0626,0.835098,0.022511
ueberstabil_extrem_leise_scharf->ruhig_zentrumsnah,100,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-2.486479,0.025176,2.583922,0.357,0.815145,0.092613
ueberstabil_extrem_leise_scharf->ruhig_zentrumsnah,200,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-4.189397,0.021396,2.586944,0.363241,0.817242,0.094447
ueberstabil_extrem_leise_scharf->ueberstabil_gemischt,400,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-6.632249,0.017154,2.572154,0.355742,0.819093,0.09271
ueberstabil_gemischt->ruhig_zentrumsnah,200,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-7.502026,0.038984,2.602525,0.337786,0.820864,0.088366
ueberstabil_gemischt->ruhig_zentrumsnah,400,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-15.73063,0.042779,2.599163,0.35031,0.819807,0.091337
ueberstabil_gemischt->ueberstabil_gemischt,200,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-4.12578,0.021064,2.589546,0.333278,0.821753,0.087079
ueberstabil_gemischt->ueberstabil_gemischt,400,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-11.318289,0.030024,2.596036,0.335532,0.821308,0.087722
