family,late_role_reading,repro_reading,source_count,sources,token_count,tokens,world_count,worlds,record_count,observations_total,neighbor_count_total,avg_rekopplung,avg_strain,avg_center_share,avg_open_share,avg_rand_share
dio_0ubq,spaeter_zentrumskandidat,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_0ubq,dio_mcm_episode_0lpteks",2,"SOL2025_15M,STRESS10K_REPRO",2,2,4,0.637374,0.177463,1.0,0.0,0.0
dio_1kdn,spaeter_spannungsrand,spaet_reproduziert,2,"962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv",2,"dio_1kdn,dio_mcm_episode_09y78yy",2,"SOL2025_30M,STRESS10K_REPRO",2,2,4,0.565115,0.391529,0.0,0.0,1.0
dio_1xk5,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_183drjy,1,STABLE10K_REPRO,1,6107,17,0.658442,0.171057,0.849844,0.112658,0.037498
dio_1yp1,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_183drjy,1,STRESS10K_REPRO,1,5933,17,0.658572,0.169046,0.865161,0.107197,0.027642
dio_1duy,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,2,"dio_mcm_episode_1hjbx8p,dio_mcm_episode_1t5bcxp",1,STRESS10K_REPRO,2,3050,18,0.657445,0.170656,0.867868,0.112031,0.020102
dio_16vq,spaeter_zentrumskandidat,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1t5bcxp,1,STABLE10K_REPRO,1,2599,8,0.648933,0.184893,0.802232,0.156214,0.041554
dio_1ibc,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1hjbx8p,1,STABLE10K_REPRO,1,402,5,0.666305,0.152862,0.91791,0.059701,0.022388
dio_0swr,spaeter_zentrumskandidat,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_0y50lf3,1,STABLE10K_REPRO,1,338,2,0.642409,0.193183,0.751479,0.189349,0.059172
dio_1mo3,spaeter_zentrumskandidat,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_02xikfk,1,STRESS10K_REPRO,1,153,4,0.644018,0.190778,0.745098,0.202614,0.052288
dio_07mp,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1ashesa,1,STRESS10K_REPRO,1,103,3,0.675472,0.140508,0.92233,0.07767,0.0
dio_1jwr,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_02xikfk,1,STABLE10K_REPRO,1,70,4,0.649566,0.186468,0.785714,0.171429,0.042857
dio_0ih1,spaeter_zentrumskandidat,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_037i64j,1,STRESS10K_REPRO,1,68,4,0.643684,0.200237,0.661765,0.294118,0.044118
dio_0zmz,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1ashesa,1,STABLE10K_REPRO,1,61,2,0.672084,0.143898,0.934426,0.065574,0.0
dio_0tcf,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_17i4j9o,1,STRESS10K_REPRO,1,54,3,0.653394,0.162591,0.981481,0.018519,0.0
dio_0t91,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_0vkdfwc,1,STRESS10K_REPRO,1,46,6,0.647205,0.191198,0.73913,0.217391,0.043478
dio_1kvy,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_0hx9wod,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,45,84,0.563267,0.346889,0.0,0.022222,0.977778
dio_188h,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1y00xwb,1,STRESS10K_REPRO,1,44,9,0.656619,0.1657,0.977273,0.022727,0.0
dio_1uk7,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1be7j1w,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,40,75,0.604497,0.243103,0.2,0.6,0.2
dio_1rx7,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_1rx7,dio_mcm_episode_0je96vc",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,30,56,0.571819,0.340307,0.0,0.0,1.0
dio_1xg4,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1slrx1m,1,STRESS10K_REPRO,1,30,2,0.6564,0.166022,0.9,0.066667,0.033333
dio_0ubh,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1y00xwb,1,STABLE10K_REPRO,1,27,9,0.657605,0.162046,0.962963,0.037037,0.0
dio_1l13,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_1l13,dio_mcm_episode_128nsns",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,26,47,0.600057,0.244194,0.083334,0.583333,0.333334
dio_06yw,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_0magw2b,1,STRESS10K_REPRO,1,26,9,0.647958,0.18587,0.846154,0.115385,0.038462
dio_1roz,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_0vkdfwc,1,STABLE10K_REPRO,1,26,6,0.6493,0.173471,0.884615,0.115385,0.0
dio_03t5,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,3,"dio_03t5,dio_mcm_episode_1pdseek,dio_mcm_episode_1wr3ucq",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",3,25,48,0.548784,0.419296,0.0,0.0,1.0
dio_08iw,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1hngpuz,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,24,43,0.553569,0.3553,0.0,0.0,1.0
dio_0432,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_03xfov3,1,STRESS10K_REPRO,1,24,5,0.665905,0.165196,0.916667,0.041667,0.041667
dio_1co8,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1ov3cz9,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,22,42,0.588737,0.263177,0.0,0.590909,0.409091
dio_0z62,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_14wxqua,1,STRESS10K_REPRO,1,22,13,0.651091,0.180989,0.818182,0.136364,0.045455
dio_1rk3,spaeter_zentrumskandidat,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_0af2iiu,1,STRESS10K_REPRO,1,21,3,0.62596,0.242512,0.380952,0.333333,0.285714
dio_1djv,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1pns03j,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,20,40,0.5565,0.343329,0.0,0.0,1.0
dio_1std,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_14wxqua,1,STABLE10K_REPRO,1,20,12,0.653029,0.173152,0.95,0.05,0.0
dio_0y0s,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1yv9fvu,1,STRESS10K_REPRO,1,20,7,0.645618,0.181509,0.8,0.15,0.05
dio_116x,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_0hnaaze,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,19,37,0.559966,0.349584,0.0,0.0,1.0
dio_1s4c,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1bna9pq,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,19,35,0.557937,0.348583,0.0,0.0,1.0
dio_07ao,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1bo74qv,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,18,34,0.6027,0.238709,0.222222,0.611111,0.166667
dio_01um,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1cz6mbd,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,17,33,0.559547,0.334864,0.0,0.0,1.0
dio_0zar,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_mcm_episode_0rtw1pr,dio_mcm_episode_1hd5g2b",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,17,32,0.544938,0.355391,0.0,0.0,1.0
dio_1q8n,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_0wxdilw,1,STRESS10K_REPRO,1,17,9,0.647161,0.175464,1.0,0.0,0.0
dio_00o1,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_00o1,dio_mcm_episode_1fgike5",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,16,32,0.559909,0.306822,0.0,0.0,1.0
dio_18ke,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_0jo8skb,3,"SOL2024_15M,SOL2024_30M,SOL2025_30M",1,16,32,0.560225,0.356544,0.0,0.0625,0.9375
dio_0eld,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_0eld,dio_mcm_episode_1bdao0r",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,16,31,0.530782,0.414137,0.0,0.0,1.0
dio_1fjm,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1wq16f8,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,16,29,0.604731,0.223154,0.25,0.625,0.125
dio_19bb,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1bbyn2l,1,STRESS10K_REPRO,1,16,3,0.659117,0.164213,0.8125,0.125,0.0625
dio_1yu0,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1rc968y,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,15,30,0.546798,0.361703,0.0,0.0,1.0
dio_1qcc,spaeter_spannungsrand,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_0pclaui,1,STRESS10K_REPRO,1,15,13,0.624284,0.264956,0.266667,0.333333,0.4
dio_0obn,spaeter_zentrumskandidat,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1so7ez5,1,STRESS10K_REPRO,1,15,5,0.634538,0.212819,0.666667,0.2,0.133333
dio_02em,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1hdh460,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,14,28,0.562883,0.340329,0.0,0.0,1.0
dio_1m1t,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_1m1t,dio_mcm_episode_1r29kjz",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,14,28,0.56617,0.315931,0.0,0.0,1.0
dio_097d,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1tktg9t,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,14,26,0.586821,0.305739,0.0,0.357143,0.642857
dio_14ep,spaete_offene_varianz,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_0pclaui,1,STABLE10K_REPRO,1,14,11,0.621821,0.256634,0.285714,0.428571,0.285714
dio_0t4t,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_177kjvc,1,STRESS10K_REPRO,1,14,4,0.66417,0.157451,0.928571,0.071429,0.0
dio_1bxr,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1xjzzi5,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,13,26,0.593032,0.270041,0.0,0.615385,0.384615
dio_13tg,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_11j7ij1,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,13,24,0.555963,0.325663,0.0,0.0,1.0
dio_1buz,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_11yciv4,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,13,23,0.599884,0.26407,0.153846,0.384615,0.461538
dio_0wck,spaeter_zentrumskandidat,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_0magw2b,1,STABLE10K_REPRO,1,13,8,0.649089,0.173395,0.846154,0.153846,0.0
dio_0sqy,spaete_offene_varianz,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1so7ez5,1,STABLE10K_REPRO,1,13,6,0.639945,0.205389,0.461538,0.461538,0.076923
dio_0p68,spaeter_zentrumskandidat,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1yv9fvu,1,STABLE10K_REPRO,1,13,5,0.644119,0.192134,0.769231,0.230769,0.0
dio_0zyc,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1xpok4y,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,12,23,0.553845,0.345261,0.0,0.0,1.0
dio_0i9w,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_132mlqp,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,12,22,0.611287,0.225334,0.25,0.583333,0.166667
dio_0jlm,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1197wu2,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,12,22,0.554762,0.337401,0.0,0.0,1.0
dio_1dn8,spaeter_zentrumskandidat,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_0m0hadc,1,STABLE10K_REPRO,1,12,8,0.634763,0.190384,0.75,0.25,0.0
dio_1p6z,spaete_offene_varianz,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_1b68xzt,1,STRESS10K_REPRO,1,12,5,0.628067,0.22263,0.416667,0.5,0.083333
dio_1rxw,spaete_offene_varianz,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_1b68xzt,1,STABLE10K_REPRO,1,12,5,0.632966,0.214691,0.5,0.5,0.0
dio_1r57,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_03xfov3,1,STABLE10K_REPRO,1,12,4,0.662033,0.165571,0.916667,0.0,0.083333
dio_0fiq,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,3,"dio_0fiq,dio_mcm_episode_17wkb6f,dio_mcm_episode_1i9a2cp",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",3,11,22,0.544181,0.417924,0.0,0.0,1.0
dio_0fkn,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_0fkn,dio_mcm_episode_12xyyon",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,11,22,0.580785,0.35628,0.0,0.0,1.0
dio_1ybc,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1xji0ei,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,11,22,0.59551,0.25979,0.181818,0.454545,0.363636
dio_0f01,spaeter_zentrumskandidat,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_04e9yp5,1,STABLE10K_REPRO,1,11,8,0.648657,0.188721,1.0,0.0,0.0
dio_0a06,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1hzagnq,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,10,20,0.56186,0.334769,0.0,0.0,1.0
dio_1oxi,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1soycic,3,"SOL2024_15M,SOL2024_30M,SOL2025_30M",1,10,20,0.55381,0.368765,0.0,0.0,1.0
dio_0aqm,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_014g8dl,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,10,19,0.586337,0.293553,0.1,0.2,0.7
dio_0hu1,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1kp9bko,3,"SOL2024_30M,SOL2025_15M,SOL2025_30M",1,10,19,0.600349,0.282298,0.1,0.3,0.6
dio_110z,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1tatuku,3,"SOL2024_15M,SOL2024_30M,SOL2025_30M",1,10,19,0.59252,0.303922,0.1,0.2,0.7
dio_076w,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_07s9uiw,4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",1,10,18,0.598076,0.306359,0.0,0.4,0.6
dio_1hu0,spaeter_spannungsrand,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,2,"dio_1hu0,dio_mcm_episode_12lf9mj",4,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",2,10,17,0.534392,0.375003,0.0,0.0,1.0
dio_0i47,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_0m0hadc,1,STRESS10K_REPRO,1,10,9,0.655769,0.183237,0.8,0.2,0.0
dio_0yd9,spaete_rekopplung,spaet_lokal,1,977_MCM_VERDICHTUNGSZONEN_ZEHNTE_STRESSWELT.csv,1,dio_mcm_episode_12zl3pt,1,STRESS10K_REPRO,1,10,7,0.669382,0.155305,0.9,0.1,0.0
dio_1sol,spaete_rekopplung,spaet_lokal,1,973_MCM_VERDICHTUNGSZONEN_NEUNTE_WELTGRUPPE.csv,1,dio_mcm_episode_177kjvc,1,STABLE10K_REPRO,1,10,4,0.665108,0.163796,0.9,0.1,0.0
dio_01fa,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_1vecn4h,3,"SOL2024_15M,SOL2025_15M,SOL2025_30M",1,9,18,0.602437,0.252295,0.111111,0.666667,0.222222
dio_0goy,spaete_offene_varianz,spaet_lokal,1,962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,1,dio_mcm_episode_128c4k3,3,"SOL2024_15M,SOL2024_30M,SOL2025_30M",1,9,18,0.595738,0.232323,0.111111,0.888889,0.0
