axis;inner_effect_state;mcm_preview_symbol;signature_label;world_count;worlds;total_count;world_relative_ratio_sum;recoupling_balance;stdev_recoupling_balance;avg_mcm_rekopplung_quality;avg_mcm_strain_quality;avg_mcm_carry_quality;avg_rezeptor_field_intake_pressure;avg_axis_z;avg_perception_adaptation_potential;avg_perception_visual_focus_tendency;avg_perception_visual_distance_tendency;avg_perception_auditory_listen_tendency;avg_perception_auditory_softening_tendency;avg_perception_felt_distance_tendency
fuehlen_abstand;inner_effect_stable;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;6;0.003009027081243731;0.46111066666666656;0.0;0.6690818333333333;0.17203183333333336;0.46482566666666664;0.14375733333333332;0.7483893333333334;0.14451833333333333;0.6369853333333334;0.36414016666666665;0.7571515;0.24284850000000002;0.23357416666666667
hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;einzelspur;1;SOL2025_1H;5;0.0025075225677031092;0.38251904999999997;0.0;0.6430296;0.21069240000000003;0.4320424;0.1992726;1.1911314;0.1633444;0.6261882;0.3920224;0.6525608;0.3474392;0.24858419999999998
feldinput;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;SOL2025_1H;4;0.0020060180541624875;0.4607959374999999;0.0;0.6838445;0.17475374999999999;0.489853;0.19317925;0.850544;0.14245375;0.6203505;0.2783905;0.7078902499999999;0.29210975;0.211233
fuehlen_abstand;inner_effect_stable;dio_mcm_episode_0mji3u6;einzelspur;1;SOL2025_1H;4;0.0020060180541624875;0.47045624999999996;0.0;0.67222525;0.1687545;0.46705875;0.132058;0.6176125;0.136357;0.6437995;0.32792625;0.7874955;0.2125045;0.22470475
fuehlen_abstand;inner_effect_tipping;dio_mcm_episode_0e7qvj1;einzelspur;1;SOL2025_1H;4;0.0020060180541624875;0.18246037499999998;0.0;0.5792397499999999;0.29632;0.35009475;0.40183749999999996;3.7859807500000002;0.23529125;0.52473425;0.57944;0.392709;0.607291;0.439587
hoeren_leise;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;SOL2025_1H;4;0.0020060180541624875;0.46063431250000003;0.0;0.6845505000000001;0.17523650000000002;0.49538225;0.19471875;0.980472;0.15697975;0.602202;0.37299424999999997;0.67603075;0.32396925;0.23594525
sehen_abstand;inner_effect_stable;dio_mcm_episode_1rylps5;einzelspur;1;SOL2025_1H;4;0.0020060180541624875;0.48581962500000003;0.0;0.68179425;0.16486225;0.48840075;0.1244495;0.94052925;0.1434145;0.636461;0.438809;0.79076;0.20924;0.2068145
sehen_fokus;inner_effect_stable;dio_mcm_episode_1q3us3f;einzelspur;1;SOL2025_1H;4;0.0020060180541624875;0.5704189375000001;0.0;0.7248975;0.13156525;0.55554525;0.09165324999999999;1.12726075;0.11088325;0.67630475;0.2440435;0.84270075;0.15729925;0.11514
ausgeglichen;inner_effect_stable;dio_mcm_episode_1jx2k4i;einzelspur;1;SOL2025_1H;3;0.0015045135406218655;0.5224479166666667;0.0;0.697977;0.14385266666666666;0.497846;0.12670566666666666;0.2362226666666667;0.13031;0.6432753333333333;0.31022333333333335;0.7771626666666668;0.22283733333333333;0.164056
feldinput;inner_effect_carried_unrest;dio_mcm_episode_1jx2k4i;einzelspur;1;SOL2025_1H;3;0.0015045135406218655;0.26402650000000005;0.0;0.608793;0.25777633333333333;0.375734;0.34796066666666664;2.8433663333333334;0.189509;0.5747896666666666;0.32066333333333336;0.495651;0.504349;0.3411016666666667
feldinput;inner_effect_stable;dio_mcm_episode_1rxdw4p;einzelspur;1;SOL2025_1H;3;0.0015045135406218655;0.42650974999999997;0.0;0.6749203333333332;0.18862833333333331;0.48336033333333334;0.239129;1.4421503333333334;0.16013466666666668;0.594332;0.3277836666666667;0.6467246666666666;0.35327533333333333;0.25989766666666664
hoeren_hin;inner_effect_stable;dio_mcm_episode_0jbl5pq;einzelspur;1;SOL2025_1H;3;0.0015045135406218655;0.5788535833333335;0.0;0.7321586666666667;0.13794066666666666;0.5600446666666666;0.06145766666666667;0.9561886666666667;0.11151666666666667;0.656021;0.3211946666666667;0.8917976666666667;0.10820233333333333;0.13067833333333334
