token,contacts,worlds,world_profile,dominant_prev,dominant_prev_count,dominant_next,dominant_next_count,dominant_pair,dominant_pair_count,current_role_profile,neighbor_role_profile,self_prev_share,self_next_share,rekopplung_delta_next,strain_delta_next,loudness_delta_next,blur_delta_next,tension_delta_next
dio_mcm_episode_0krixak,7,4,PAXG_2025_5M:2; SYNTH_BRUCH_RAND:2; SYNTH_RAND:2; PAXG_2024_5M:1,dio_mcm_episode_0krixak,3,dio_mcm_episode_0w4721p,4,-->dio_mcm_episode_0krixak,3,zentrum_stabil:7,zentrum_stabil:11,0.42857142857142855,0.42857142857142855,0.01974485714285712,-0.01577542857142857,0.0034148571428571427,-0.0031234285714285786,0.0015387142857142856
dio_mcm_episode_0ldenly,4,3,SOL_2024_5M:2; PAXG_2024_5M:1; SYNTH_BRUCH_RAND:1,dio_mcm_episode_0vj3fzh,1,dio_mcm_episode_0lne9ax,2,dio_mcm_episode_0vj3fzh->dio_mcm_episode_0lne9ax,1,zentrum_stabil:3; offene_variante:1,zentrum_stabil:6; offene_variante:2,0.25,0.25,0.016751249999999968,-0.016151749999999996,-0.110649,-0.0068892500000000065,-0.04501575
dio_mcm_episode_0ldht3x,5,3,DOGE_2025_5M:2; XRP_2025_5M:2; XRP_2024_5M:1,dio_mcm_episode_0mvt50o,1,dio_mcm_episode_0l3i7ey,3,dio_mcm_episode_0mvt50o->dio_mcm_episode_0ldht3x,1,zentrum_stabil:3; offene_variante:2,zentrum_stabil:6; offene_variante:4,0.2,0.2,0.013559200000000016,-0.015737799999999996,-0.0960058,0.041176399999999995,-0.0393296
dio_mcm_episode_0lne9ax,12,6,DOGE_2024_5M:4; XRP_2024_5M:3; DOGE_2025_5M:2; PAXG_2024_5M:1; SOL_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_0lne9ax,4,dio_mcm_episode_0jbl5pq,6,dio_mcm_episode_0lne9ax->dio_mcm_episode_0lne9ax,2,zentrum_stabil:8; offene_variante:4,zentrum_stabil:13; offene_variante:11,0.3333333333333333,0.3333333333333333,-0.018460249999999994,0.022201750000000003,0.11472608333333334,0.06901708333333333,0.046477
dio_mcm_episode_0ml8r41,2,1,PAXG_2025_5M:2,dio_mcm_episode_0mb95f2,1,dio_mcm_episode_0ml8r41,1,dio_mcm_episode_0mb95f2->dio_mcm_episode_0ml8r41,1,offene_variante:1; zentrum_stabil:1,zentrum_stabil:3; offene_variante:1,0.5,0.5,0.08291500000000002,-0.07596850000000001,-0.35727049999999994,-0.09027299999999999,-0.1538655
dio_mcm_episode_0mm85pw,6,5,XRP_2024_5M:2; BTC_2024_5M:1; DOGE_2024_5M:1; DOGE_2025_5M:1; XRP_2025_5M:1,dio_mcm_episode_1joiyc3,2,dio_mcm_episode_05ijhg4,2,dio_mcm_episode_1joiyc3->dio_mcm_episode_05ijhg4,1,spannungsrand_kippnaehe:6,zentrum_stabil:7; spannungsrand_kippnaehe:3; offene_variante:2,0.0,0.0,0.067225,-0.08974599999999999,-0.4756291666666666,0.1562106666666667,-0.1836671666666667
dio_mcm_episode_0mvt50o,2,2,DOGE_2025_5M:1; XRP_2025_5M:1,dio_mcm_episode_1rpjexb,1,dio_mcm_episode_0ldht3x,1,dio_mcm_episode_1rpjexb->dio_mcm_episode_0ldht3x,1,offene_variante:2,offene_variante:2; spannungsrand_kippnaehe:1; zentrum_stabil:1,0.0,0.0,0.00864750000000003,-0.014900499999999997,-0.14901399999999998,0.0018265000000000364,-0.053897499999999994
dio_mcm_episode_0mw7rev,6,4,DOGE_2025_5M:2; XRP_2025_5M:2; DOGE_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_0b7nep9,3,dio_mcm_episode_0r1re19,2,dio_mcm_episode_0b7nep9->dio_mcm_episode_0mvjoir,1,spannungsrand_kippnaehe:6,zentrum_stabil:6; offene_variante:6,0.0,0.0,0.08125883333333334,-0.10403716666666667,-0.47369449999999996,0.11366200000000003,-0.18613533333333332
dio_mcm_episode_0oc1i7g,2,2,DOGE_2025_5M:1; SOL_2024_5M:1,dio_mcm_episode_1ig1vs0,1,dio_mcm_episode_0tf9fq3,1,dio_mcm_episode_1ig1vs0->dio_mcm_episode_0tf9fq3,1,zentrum_stabil:2,offene_variante:4,0.0,0.0,-0.011578000000000033,0.0186345,-0.15642250000000002,0.247174,-0.05769150000000001
dio_mcm_episode_0pfredm,2,1,DOGE_2025_5M:2,dio_mcm_episode_0i5xsu7,1,dio_mcm_episode_0pfredm,1,dio_mcm_episode_0i5xsu7->dio_mcm_episode_0pfredm,1,zentrum_stabil:1; offene_variante:1,offene_variante:2; zentrum_stabil:2,0.5,0.5,0.011103500000000044,-0.013011499999999995,0.0298475,-0.06007950000000001,0.0093735
dio_mcm_episode_0q7j4gf,1,1,SYNTH_BRUCH_RAND:1,dio_mcm_episode_0qhiq5e,1,dio_mcm_episode_0ldenly,1,dio_mcm_episode_0qhiq5e->dio_mcm_episode_0ldenly,1,zentrum_stabil:1,offene_variante:1; zentrum_stabil:1,0.0,0.0,0.07748700000000008,-0.06290000000000001,-0.207556,-0.027455000000000007,-0.097395
dio_mcm_episode_0qhiq5e,3,3,PAXG_2024_5M:1; SOL_2024_5M:1; SYNTH_BRUCH_RAND:1,dio_mcm_episode_0fljihc,1,dio_mcm_episode_0mvjoir,1,dio_mcm_episode_0fljihc->dio_mcm_episode_0mvjoir,1,offene_variante:3,spannungsrand_kippnaehe:3; zentrum_stabil:2; offene_variante:1,0.0,0.0,0.047462000000000004,-0.061479999999999986,-0.23961133333333332,-0.04689033333333333,-0.09925500000000002
dio_mcm_episode_0r1o8ja,2,2,DOGE_2025_5M:1; XRP_2025_5M:1,dio_mcm_episode_0ifxej6,1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_0ifxej6->dio_mcm_episode_0om13wf,1,offene_variante:2,offene_variante:3; zentrum_stabil:1,0.0,0.0,0.01739449999999998,-0.010631000000000002,0.187024,-0.12629400000000002,0.0695895
dio_mcm_episode_0r1re19,2,2,XRP_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_0mw7rev,2,dio_mcm_episode_0mlk2ts,1,dio_mcm_episode_0mw7rev->dio_mcm_episode_0mlk2ts,1,offene_variante:2,spannungsrand_kippnaehe:2; zentrum_stabil:1; offene_variante:1,0.0,0.0,0.0781965,-0.108451,-0.427412,-0.03196150000000002,-0.173056
dio_mcm_episode_0sxikqi,1,1,SYNTH_BRUCH_RAND:1,dio_mcm_episode_1v8o9kh,1,dio_mcm_episode_0igfdmt,1,dio_mcm_episode_1v8o9kh->dio_mcm_episode_0igfdmt,1,spannungsrand_kippnaehe:1,zentrum_stabil:2,0.0,0.0,0.06650299999999998,-0.12513400000000002,-0.48450999999999994,-0.08011000000000001,-0.19341
dio_mcm_episode_0tosxof,1,1,SYNTH_RAND:1,dio_mcm_episode_1q3us3f,1,dio_mcm_episode_0tph7s0,1,dio_mcm_episode_1q3us3f->dio_mcm_episode_0tph7s0,1,zentrum_stabil:1,zentrum_stabil:2,0.0,0.0,0.0068190000000000195,0.002359,-0.011190000000000033,0.001923000000000008,-0.005200999999999983
dio_mcm_episode_0ultars,5,3,DOGE_2025_5M:2; XRP_2025_5M:2; BTC_2024_5M:1,dio_mcm_episode_0om13wf,3,dio_mcm_episode_0aztxel,2,dio_mcm_episode_0om13wf->dio_mcm_episode_0aztxel,2,offene_variante:3; zentrum_stabil:2,offene_variante:5; zentrum_stabil:4; spannungsrand_kippnaehe:1,0.2,0.2,-0.016313399999999968,0.014982599999999995,0.06927799999999999,0.03520140000000003,0.024813599999999998
dio_mcm_episode_0vj3fzh,2,2,DOGE_2025_5M:1; PAXG_2024_5M:1,dio_mcm_episode_0pfredm,1,dio_mcm_episode_0vzztud,1,dio_mcm_episode_0pfredm->dio_mcm_episode_0vzztud,1,zentrum_stabil:2,offene_variante:3; zentrum_stabil:1,0.0,0.0,-0.011891500000000055,0.026475,0.06318199999999999,0.25267049999999996,0.023639499999999994
dio_mcm_episode_0y1i8dq,1,1,XRP_2025_5M:1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_0om13wf->dio_mcm_episode_0om13wf,1,offene_variante:1,offene_variante:2,0.0,0.0,-0.08761000000000008,0.06031700000000001,0.10831199999999996,0.09670099999999998,0.03920900000000002
dio_mcm_episode_0ybhu2p,2,2,DOGE_2025_5M:1; XRP_2025_5M:1,dio_mcm_episode_1scpxqy,1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_1scpxqy->dio_mcm_episode_0om13wf,1,zentrum_stabil:2,offene_variante:2; zentrum_stabil:2,0.0,0.0,-0.03418700000000002,0.04984100000000001,0.01375850000000002,0.1321015,0.009298500000000001
dio_mcm_episode_0ykar6i,3556,4,XRP_2024_5M:1741; PAXG_2025_5M:1319; DOGE_2024_5M:464; XRP_2025_5M:32,dio_mcm_episode_0ykar6i,3492,dio_mcm_episode_0ykar6i,3492,dio_mcm_episode_0ykar6i->dio_mcm_episode_0ykar6i,3440,zentrum_stabil:2977; offene_variante:562; spannungsrand_kippnaehe:17,zentrum_stabil:5933; offene_variante:1141; spannungsrand_kippnaehe:37,0.9820022497187851,0.9820022497187851,-0.0008151898200224972,0.0007472789651293588,0.0029925275590551178,0.0009114462879640044,0.0012779682227221597
dio_mcm_episode_102i30n,3,1,KAS_2024_5M:3,dio_mcm_episode_102i30n,2,dio_mcm_episode_102i30n,2,dio_mcm_episode_0dsrwv5->dio_mcm_episode_102i30n,1,offene_variante:2; spannungsrand_kippnaehe:1,offene_variante:3; zentrum_stabil:2; spannungsrand_kippnaehe:1,0.6666666666666666,0.6666666666666666,0.021303666666666648,-0.02963200000000001,-0.09088633333333335,-0.03950800000000001,-0.03221666666666667
dio_mcm_episode_1aavr7r,1,1,SYNTH_BRUCH_RAND:1,dio_mcm_episode_1yy9dcm,1,dio_mcm_episode_1ytjvg8,1,dio_mcm_episode_1yy9dcm->dio_mcm_episode_1ytjvg8,1,zentrum_stabil:1,zentrum_stabil:2,0.0,0.0,-0.0010180000000000744,0.0050060000000000104,0.009219000000000005,0.0044590000000000185,0.002935
dio_mcm_episode_1eju9g0,327,1,PAXG_2025_5M:327,dio_mcm_episode_1eju9g0,305,dio_mcm_episode_1eju9g0,305,dio_mcm_episode_1eju9g0->dio_mcm_episode_1eju9g0,287,zentrum_stabil:273; offene_variante:52; spannungsrand_kippnaehe:2,zentrum_stabil:547; offene_variante:104; spannungsrand_kippnaehe:3,0.9327217125382263,0.9327217125382263,0.0010648501529051985,-0.0012851467889908256,-0.0062383853211009175,0.0013671498470948014,-0.002675183486238532
dio_mcm_episode_1i31hl0,2,1,XRP_2025_5M:2,dio_mcm_episode_1mesbjy,1,dio_mcm_episode_1i31hl0,1,dio_mcm_episode_1mesbjy->dio_mcm_episode_1i31hl0,1,offene_variante:2,offene_variante:3; zentrum_stabil:1,0.5,0.5,0.0033430000000000404,-0.0035300000000000054,-0.0009385000000000088,-0.029418500000000014,-0.005758499999999993
dio_mcm_episode_1ig1vs0,5,4,DOGE_2024_5M:2; BTC_2024_5M:1; DOGE_2025_5M:1; XRP_2024_5M:1,dio_mcm_episode_1t4qm9w,2,dio_mcm_episode_00oqshz,2,dio_mcm_episode_1t4qm9w->dio_mcm_episode_00er6t0,1,zentrum_stabil:4; offene_variante:1,offene_variante:9; zentrum_stabil:1,0.0,0.0,-0.024105799999999976,0.0189166,-0.05218280000000001,0.2035114,-0.015744800000000003
dio_mcm_episode_1j0eqqb,2,2,PAXG_2025_5M:1; XRP_2024_5M:1,dio_mcm_episode_1jaecfa,1,dio_mcm_episode_0ag2osp,1,dio_mcm_episode_1jaecfa->dio_mcm_episode_0ag2osp,1,zentrum_stabil:2,offene_variante:3; zentrum_stabil:1,0.0,0.0,-0.021090500000000012,0.0193175,-0.1098645,0.2206865,-0.0366485
dio_mcm_episode_1morx8x,1,1,XRP_2025_5M:1,dio_mcm_episode_1vprn0y,1,dio_mcm_episode_0om13wf,1,dio_mcm_episode_1vprn0y->dio_mcm_episode_0om13wf,1,offene_variante:1,offene_variante:1; zentrum_stabil:1,0.0,0.0,0.04427300000000001,-0.079009,-0.21270799999999998,-0.3241760000000001,-0.08788700000000002
dio_mcm_episode_1omwzzf,2,2,BTC_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_1y2gc2i,1,dio_mcm_episode_068ops8,1,dio_mcm_episode_1y2gc2i->dio_mcm_episode_068ops8,1,zentrum_stabil:2,zentrum_stabil:4,0.0,0.0,-0.0005590000000000317,0.0021054999999999963,0.03246749999999998,-0.0028759999999999897,0.015560000000000001
dio_mcm_episode_1ovglru,2,2,KAS_2024_5M:1; XRP_2025_5M:1,dio_mcm_episode_1jc5z5p,1,dio_mcm_episode_0t1ymth,1,dio_mcm_episode_1jc5z5p->dio_mcm_episode_0t1ymth,1,zentrum_stabil:2,zentrum_stabil:3; offene_variante:1,0.0,0.0,0.0042240000000000055,-0.011001499999999997,-0.076148,0.093627,-0.026943
dio_mcm_episode_1pmt8u2,7,4,DOGE_2024_5M:2; PAXG_2025_5M:2; XRP_2025_5M:2; XRP_2024_5M:1,dio_mcm_episode_1pmt8u2,2,dio_mcm_episode_1pmt8u2,2,dio_mcm_episode_0b7nep9->dio_mcm_episode_1pmt8u2,1,zentrum_stabil:7,zentrum_stabil:13; offene_variante:1,0.2857142857142857,0.2857142857142857,-0.01575085714285716,0.01171514285714286,0.11248928571428571,0.029149857142857144,0.04928342857142857
dio_mcm_episode_1v9dvrl,3,1,XRP_2025_5M:3,dio_mcm_episode_1v9dvrl,2,dio_mcm_episode_1v9dvrl,2,dio_mcm_episode_03zcjn0->dio_mcm_episode_1v9dvrl,1,zentrum_stabil:3,zentrum_stabil:6,0.6666666666666666,0.6666666666666666,0.004238000000000001,-0.007182666666666661,-0.043688000000000005,-0.042935999999999995,-0.019078
dio_mcm_episode_1vprn0y,2,2,DOGE_2025_5M:1; XRP_2025_5M:1,dio_mcm_episode_0mw7rev,1,dio_mcm_episode_1uizm2j,1,dio_mcm_episode_0mw7rev->dio_mcm_episode_1uizm2j,1,offene_variante:2,spannungsrand_kippnaehe:2; offene_variante:2,0.0,0.0,0.054213999999999984,-0.07151650000000001,-0.3028035,0.022418999999999994,-0.1080295
dio_mcm_episode_1xp8xyu,3,1,PAXG_2025_5M:3,dio_mcm_episode_1xp8xyu,2,dio_mcm_episode_1xp8xyu,2,dio_mcm_episode_006di8e->dio_mcm_episode_1xp8xyu,1,spannungsrand_kippnaehe:1; offene_variante:1; zentrum_stabil:1,zentrum_stabil:3; offene_variante:2; spannungsrand_kippnaehe:1,0.6666666666666666,0.6666666666666666,0.03838233333333333,-0.046259,-0.199458,-0.04608266666666666,-0.08431533333333334
dio_mcm_episode_1y1l1za,1,1,PAXG_2025_5M:1,dio_mcm_episode_0jatqr8,1,dio_mcm_episode_0mb95f2,1,dio_mcm_episode_0jatqr8->dio_mcm_episode_0mb95f2,1,offene_variante:1,zentrum_stabil:2,0.0,0.0,0.01583100000000004,-0.004872000000000015,-0.015688999999999953,-0.020143000000000022,-0.01543
dio_mcm_episode_1y26981,8,4,DOGE_2025_5M:3; SOL_2024_5M:3; DOGE_2024_5M:1; XRP_2024_5M:1,dio_mcm_episode_1y26981,4,dio_mcm_episode_1y26981,4,dio_mcm_episode_1y2gc2i->dio_mcm_episode_1y26981,2,zentrum_stabil:6; spannungsrand_kippnaehe:1; offene_variante:1,zentrum_stabil:15; offene_variante:1,0.5,0.5,0.012793124999999989,-0.018734124999999997,-0.071100875,-0.031341,-0.0326715
dio_mcm_episode_1yzsm16,5,4,XRP_2024_5M:2; DOGE_2024_5M:1; DOGE_2025_5M:1; KAS_2024_5M:1,dio_mcm_episode_1yzsm16,1,dio_mcm_episode_00i7zy5,2,-->dio_mcm_episode_00i7zy5,2,zentrum_stabil:5,zentrum_stabil:6,0.2,0.2,0.0072924000000000435,-0.0111906,-0.10047139999999999,0.027789800000000003,-0.045711999999999996
