token,short_token,anchor_class,total_weight,max_world_span,weighted_duration,edge_count,outside_bridge_edges,bridge_to_bridge_edges,bidirectional_neighbors,incoming_neighbors,outgoing_neighbors,path_class,movement,base_zone,follow_zone,base_role,follow_role,dominant_edge_kind,edge_kind_profile,dominant_exit_phase,phase_profile,relation_profile,in_known_core_pair,known_core_pairs
dio_mcm_episode_0qzjuvj,0qzjuvj,brueckenkern,29,6,2.551724,6,2,4,0,1,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,offene_variante,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; bruecke_zu_aussen:2,rekoppelnder_austritt,rekoppelnder_austritt:3; gemischter_austritt:2; oeffnend_belastender_austritt:1,austritt:4; eintritt:2,1,2
dio_mcm_episode_0hjnwsk,0hjnwsk,brueckenkern,27,4,2.629630,8,2,6,0,4,1,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:6; aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:8,eintritt:5; austritt:3,1,3
dio_mcm_episode_0om13wf,0om13wf,brueckenkern,15,2,1.333333,11,9,2,2,6,4,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,offene_variante,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:6; bruecke_zu_aussen:3; bruecke_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:7; oeffnend_belastender_austritt:4,eintritt:7; austritt:4,1,1
dio_mcm_episode_0ultars,0ultars,brueckenkern,13,2,1.307692,8,2,6,1,2,3,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,offene_variante,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:6; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; rekoppelnder_austritt:3,austritt:5; eintritt:3,1,2
dio_mcm_episode_0l3i7ey,0l3i7ey,brueckenkern,11,3,1.545454,8,6,2,1,3,4,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:3; bruecke_zu_aussen:3; bruecke_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:4; oeffnend_belastender_austritt:2; gemischter_austritt:2,eintritt:4; austritt:4,1,1
dio_mcm_episode_00yl137,00yl137,brueckenkern,8,1,1.375000,8,4,4,1,3,3,brueckenpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,spannungsrand_kippnaehe,offene_variante,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:2; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:6; rekoppelnder_austritt:2,eintritt:4; austritt:4,1,1
dio_mcm_episode_0i7gfxw,0i7gfxw,brueckenkern,4,1,2.500000,4,0,4,0,1,1,brueckenpfad,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,offene_variante,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4,rekoppelnder_austritt,rekoppelnder_austritt:3; gemischter_austritt:1,eintritt:2; austritt:2,1,2
dio_mcm_episode_0tf9fq3,0tf9fq3,brueckenkern,3,1,1.666667,3,1,2,0,1,1,brueckenpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,offene_variante,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:2; aussen_zu_bruecke:1,gemischter_austritt,gemischter_austritt:2; rekoppelnder_austritt:1,eintritt:2; austritt:1,1,1
dio_mcm_episode_1jwnjz4,1jwnjz4,starker_anschlussanker,59,4,94.762712,4,4,0,2,2,2,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:2; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2; rekoppelnder_austritt:1; gemischter_austritt:1,austritt:2; eintritt:2,0,0
dio_mcm_episode_1q3us3f,1q3us3f,starker_anschlussanker,44,5,71.545455,7,7,0,3,4,3,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:4; aussen_zu_bruecke:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:4; rekoppelnder_austritt:2; gemischter_austritt:1,austritt:4; eintritt:3,0,0
dio_mcm_episode_0geqqo3,0geqqo3,lokaler_anschlussanker,18,2,50.722222,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0w4x7xs,0w4x7xs,lokaler_anschlussanker,17,2,53.235294,2,2,0,1,1,1,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; rekoppelnder_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1al8fjz,1al8fjz,lokaler_anschlussanker,14,4,1.571429,8,8,0,1,5,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:5; bruecke_zu_aussen:3,rekoppelnder_austritt,rekoppelnder_austritt:6; oeffnend_belastender_austritt:2,eintritt:5; austritt:3,0,0
dio_mcm_episode_0z748ck,0z748ck,lokaler_anschlussanker,12,5,16.500000,2,2,0,0,1,1,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; gemischter_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_0ybr5e3,0ybr5e3,schwacher_anschluss,20,1,60.750000,4,4,0,2,2,2,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:2,rekoppelnder_austritt,rekoppelnder_austritt:3; gemischter_austritt:1,eintritt:2; austritt:2,0,0
dio_mcm_episode_1eju9g0,1eju9g0,schwacher_anschluss,20,1,42.150000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_1hdpu9s,1hdpu9s,schwacher_anschluss,11,3,18.727273,2,2,0,1,1,1,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_1ds636q,1ds636q,schwacher_anschluss,10,2,178.400000,4,4,0,2,2,2,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2; gemischter_austritt:1; rekoppelnder_austritt:1,austritt:2; eintritt:2,0,0
dio_mcm_episode_0lne9ax,0lne9ax,schwacher_anschluss,9,6,2.444444,3,3,0,1,1,2,offener_driftpfad,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2; oeffnend_belastender_austritt:1,eintritt:2; austritt:1,0,0
dio_mcm_episode_0aztxel,0aztxel,schwacher_anschluss,9,3,2.111111,5,5,0,0,3,2,offener_driftpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:3; aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:4; gemischter_austritt:1,austritt:3; eintritt:2,0,0
dio_mcm_episode_0mw7rev,0mw7rev,schwacher_anschluss,6,2,443.166667,4,4,0,0,3,1,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:3; aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:3; rekoppelnder_austritt:1,austritt:3; eintritt:1,0,0
dio_mcm_episode_1hs3jsa,1hs3jsa,schwacher_anschluss,6,2,204.000000,4,4,0,1,2,2,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:2; bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:4,eintritt:2; austritt:2,0,0
dio_mcm_episode_0mvjoir,0mvjoir,schwacher_anschluss,6,1,1.000000,6,6,0,0,3,3,brueckenpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,offene_variante,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:3; bruecke_zu_aussen:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:4; rekoppelnder_austritt:2,eintritt:3; austritt:3,0,0
dio_mcm_episode_0mm85pw,0mm85pw,schwacher_anschluss,4,2,409.250000,3,3,0,0,2,1,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2; aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:3,austritt:2; eintritt:1,0,0
dio_mcm_episode_01s42m6,01s42m6,schwacher_anschluss,4,2,161.750000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1; rekoppelnder_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1y2gc2i,1y2gc2i,schwacher_anschluss,4,4,2.000000,1,1,0,0,1,0,rekoppelnder_pfad,reifung_oder_verdichtung,driftzone,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1,austritt:1,0,0
dio_mcm_episode_0ldht3x,0ldht3x,schwacher_anschluss,4,3,1.250000,2,2,0,0,0,2,junge_oberflaeche,verjuengung_oberflaeche,hoeherer_cluster_uebergang,junge_spur,zentrum_stabil,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:2,0,0
dio_mcm_episode_1k0rrn2,1k0rrn2,schwacher_anschluss,4,2,1.000000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_10b8y4e,10b8y4e,schwacher_anschluss,3,2,16.666667,2,2,0,0,0,2,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:2,0,0
dio_mcm_episode_1hdvp5m,1hdvp5m,schwacher_anschluss,2,1,266.500000,2,2,0,0,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0li6lg1,0li6lg1,schwacher_anschluss,2,1,243.000000,2,2,0,0,2,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,austritt:2,0,0
dio_mcm_episode_1pmt8u2,1pmt8u2,schwacher_anschluss,2,1,157.500000,2,2,0,0,2,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2,rekoppelnder_austritt,rekoppelnder_austritt:2,austritt:2,0,0
dio_mcm_episode_0wjn8vm,0wjn8vm,schwacher_anschluss,2,1,67.500000,2,2,0,1,1,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1qqnvqf,1qqnvqf,schwacher_anschluss,2,2,41.500000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_06ccuqv,06ccuqv,schwacher_anschluss,2,2,2.000000,1,1,0,0,0,1,offener_driftpfad,oeffnung_oder_drift,junge_spur,driftzone,zentrum_stabil,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_0r1o8ja,0r1o8ja,schwacher_anschluss,2,1,2.000000,2,2,0,0,1,1,offener_driftpfad,stabil,driftzone,driftzone,offene_variante,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_00dz86x,00dz86x,schwacher_anschluss,2,1,1.500000,2,2,0,0,2,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,austritt:2,0,0
dio_mcm_episode_0jlkrep,0jlkrep,schwacher_anschluss,2,1,1.000000,2,2,0,1,1,1,offener_driftpfad,oeffnung_oder_drift,junge_spur,driftzone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0ifxej6,0ifxej6,schwacher_anschluss,2,1,1.000000,2,2,0,0,1,1,brueckenpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0qhs6nb,0qhs6nb,schwacher_anschluss,2,1,1.000000,2,2,0,0,1,1,rekoppelnder_pfad,stabil,driftzone,driftzone,offene_variante,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_0y1i8dq,0y1i8dq,schwacher_anschluss,2,1,1.000000,2,2,0,1,1,1,offener_driftpfad,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,offene_variante,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:2,eintritt:1; austritt:1,0,0
dio_mcm_episode_0ybhu2p,0ybhu2p,schwacher_anschluss,2,1,1.000000,2,2,0,1,1,1,junge_oberflaeche,verjuengung_oberflaeche,driftzone,junge_spur,zentrum_stabil,offene_variante,aussen_zu_bruecke,aussen_zu_bruecke:1; bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1; oeffnend_belastender_austritt:1,eintritt:1; austritt:1,0,0
dio_mcm_episode_1jansx7,1jansx7,schwacher_anschluss,1,1,2016.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0jzhgzp,0jzhgzp,schwacher_anschluss,1,1,2003.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_13cw75j,13cw75j,schwacher_anschluss,1,1,1842.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0tph7s0,0tph7s0,schwacher_anschluss,1,1,1199.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_17eveju,17eveju,schwacher_anschluss,1,1,931.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1,austritt:1,0,0
dio_mcm_episode_0zh3u1j,0zh3u1j,schwacher_anschluss,1,1,832.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_15cyz2v,15cyz2v,schwacher_anschluss,1,1,757.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_19dxnmz,19dxnmz,schwacher_anschluss,1,1,581.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0t7i6fh,0t7i6fh,schwacher_anschluss,1,1,578.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_0k7ekcr,0k7ekcr,schwacher_anschluss,1,1,455.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,austritt:1,0,0
dio_mcm_episode_17c7qwp,17c7qwp,schwacher_anschluss,1,1,375.000000,1,1,0,0,0,1,rekoppelnder_pfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,gemischter_austritt,gemischter_austritt:1,eintritt:1,0,0
dio_mcm_episode_00nzcuc,00nzcuc,schwacher_anschluss,1,1,353.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_1gwv1sr,1gwv1sr,schwacher_anschluss,1,1,166.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0d40zcv,0d40zcv,schwacher_anschluss,1,1,88.000000,1,1,0,0,0,1,stabile_insel,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,gemischter_austritt,gemischter_austritt:1,eintritt:1,0,0
dio_mcm_episode_1f4jh6c,1f4jh6c,schwacher_anschluss,1,1,76.000000,1,1,0,0,0,1,rekoppelnder_pfad,reifung_oder_verdichtung,driftzone,rekopplungszone,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0vff3w6,0vff3w6,schwacher_anschluss,1,1,9.000000,1,1,0,0,0,1,junge_oberflaeche,verjuengung_oberflaeche,rekopplungszone,junge_spur,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0lfde2c,0lfde2c,schwacher_anschluss,1,1,4.000000,1,1,0,0,1,0,rekoppelnder_pfad,reifung_oder_verdichtung,junge_spur,rekopplungszone,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:1,gemischter_austritt,gemischter_austritt:1,austritt:1,0,0
dio_mcm_episode_0393v08,0393v08,schwacher_anschluss,1,1,3.000000,1,1,0,0,0,1,rekoppelnder_pfad,reifung_oder_verdichtung,offene_bedeutungszone,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_0sv0ru8,0sv0ru8,schwacher_anschluss,1,1,3.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
dio_mcm_episode_1aurt3q,1aurt3q,schwacher_anschluss,1,1,3.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1,austritt:1,0,0
dio_mcm_episode_080f74u,080f74u,schwacher_anschluss,1,1,3.000000,1,1,0,0,1,0,-,-,-,-,-,-,bruecke_zu_aussen,bruecke_zu_aussen:1,rekoppelnder_austritt,rekoppelnder_austritt:1,austritt:1,0,0
dio_mcm_episode_00oqshz,00oqshz,schwacher_anschluss,1,1,2.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,oeffnend_belastender_austritt,oeffnend_belastender_austritt:1,eintritt:1,0,0
dio_mcm_episode_0htnihj,0htnihj,schwacher_anschluss,1,1,2.000000,1,1,0,0,0,1,-,-,-,-,-,-,aussen_zu_bruecke,aussen_zu_bruecke:1,rekoppelnder_austritt,rekoppelnder_austritt:1,eintritt:1,0,0
