holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
xrp2024,dio_0v2o,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0v2owzd:2,0.3966165,0.2339855,0.6235995000000001
xrp2024,dio_0v4v,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0v4vfx8:2,0.391331,0.2366395,0.6177630000000001
xrp2024,dio_0vj6,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0vj6y9h:2,0.407964,0.215528,0.6223215
xrp2024,dio_0vx9,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0vx9zb8:2,0.405204,0.2288825,0.614943
xrp2024,dio_0wc0,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0wc0vn4:2,0.38980099999999995,0.24528450000000002,0.6051854999999999
xrp2024,dio_0wml,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0wml7ev:2,0.3861155,0.230425,0.625664
xrp2024,dio_0x53,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0x53hiu:2,0.3946835,0.24826399999999998,0.6052245
xrp2024,dio_0x74,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0x74zcu:2,0.4589055,0.142423,0.683063
xrp2024,dio_0xai,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0xail16:2,0.40669299999999997,0.2164275,0.6374845
xrp2024,dio_0xx2,offene_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0xx2efd:2,0.37572,0.263636,0.6036710000000001
xrp2024,dio_0xx2,tragende_rekopplung,2,1,dio_mini_lauf_1:1;dio_mini_lauf_2:1,dio_0xx2efd:2,0.44600399999999996,0.204381,0.65127
