pair,total_count,source_profile,dominant_role_shift,dominant_role_shift_count,dominant_role_shift_share,role_shift_profile,movement_effect,avg_pressure_delta,avg_sharpness_delta,avg_focus_delta,avg_rekopplung_delta,avg_loudness_delta
dio_mcm_episode_0nyb3ro->dio_mcm_episode_0gqol8d,22,SOL2024_10K:11;BTC_5M_10K:6;SOL2025_10K:5,zentrum_stabil->zentrum_stabil,18,0.818182,zentrum_stabil->zentrum_stabil:18,oeffnend_belastend,0.001994,-0.164775,-0.002094,-0.007871,-0.04147
dio_mcm_episode_14l8khu->dio_mcm_episode_0gqol8d,21,SOL2025_10K:12;SOL2024_10K:9,zentrum_stabil->offene_variante,13,0.619048,zentrum_stabil->offene_variante:13,oeffnend_belastend,0.104413,-0.033866,0.074978,-0.059645,0.330945
dio_mcm_episode_0gqol8d->dio_mcm_episode_14l8khu,20,SOL2025_10K:13;SOL2024_10K:7,zentrum_stabil->zentrum_stabil,17,0.85,zentrum_stabil->zentrum_stabil:17,rekoppelnd_entlastend,-0.038689,0.056899,-0.036849,0.019284,-0.121434
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0kvu3mb,19,SOL2025_10K:10;SOL2024_10K:7;BTC_5M_10K:2,zentrum_stabil->spannungsrand_kippnaehe,15,0.789474,zentrum_stabil->spannungsrand_kippnaehe:15,oeffnend_belastend,0.233506,0.0119,0.162479,-0.148559,0.64014
dio_mcm_episode_0aztxel->dio_mcm_episode_0jbl5pq,17,SOL2025_10K:9;SOL2024_10K:5;BTC_5M_10K:3,zentrum_stabil->zentrum_stabil,14,0.823529,zentrum_stabil->zentrum_stabil:14,bewegung_offen,-0.006538,0.076523,0.00363,0.005512,-0.005733
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0lne9ax,16,SOL2025_10K:6;SOL2024_10K:5;BTC_5M_10K:5,zentrum_stabil->zentrum_stabil,11,0.6875,zentrum_stabil->zentrum_stabil:11,spannungsnah,0.005703,0.105441,0.010124,-0.00016,0.053877
dio_mcm_episode_0v5p8er->dio_mcm_episode_14l8khu,15,SOL2024_10K:15,zentrum_stabil->zentrum_stabil,10,0.666667,zentrum_stabil->zentrum_stabil:10,oeffnend_belastend,0.014156,-0.152329,0.001549,-0.012425,0.008334
dio_mcm_episode_0d40zcv->dio_mcm_episode_0mji3u6,14,BTC_5M_10K:7;SOL2024_10K:4;SOL2025_10K:3,zentrum_stabil->zentrum_stabil,5,0.357143,zentrum_stabil->zentrum_stabil:5;offene_variante->zentrum_stabil:2,rekoppelnd_entlastend,-0.017535,0.052549,0.00029,0.020268,-0.015566
dio_mcm_episode_0n5sqpn->dio_mcm_episode_0l3i7ey,14,SOL2025_10K:8;SOL2024_10K:3;BTC_5M_10K:3,zentrum_stabil->zentrum_stabil,5,0.357143,zentrum_stabil->zentrum_stabil:5;offene_variante->zentrum_stabil:1,spannungsnah,0.003674,-0.050145,0.007869,-0.000541,0.00353
dio_mcm_episode_14l8khu->dio_mcm_episode_0v5p8er,13,SOL2024_10K:13,zentrum_stabil->zentrum_stabil,11,0.846154,zentrum_stabil->zentrum_stabil:11,rekoppelnd_entlastend,-0.005077,0.09511,0.022522,0.009351,0.024563
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0dbqs19,13,SOL2024_10K:6;BTC_5M_10K:4;SOL2025_10K:3,zentrum_stabil->spannungsrand_kippnaehe,11,0.846154,zentrum_stabil->spannungsrand_kippnaehe:11,oeffnend_belastend,0.25529,0.012593,0.192998,-0.156707,0.723759
dio_mcm_episode_1hdpu9s->dio_mcm_episode_1q3us3f,13,SOL2025_10K:10;SOL2024_10K:3,zentrum_stabil->zentrum_stabil,11,0.846154,zentrum_stabil->zentrum_stabil:11,rekoppelnd_entlastend,-0.02622,0.053825,-0.022477,0.015079,-0.065961
dio_mcm_episode_0mlk2ts->dio_mcm_episode_0lne9ax,13,BTC_5M_10K:7;SOL2024_10K:3;SOL2025_10K:3,zentrum_stabil->zentrum_stabil,5,0.384615,zentrum_stabil->zentrum_stabil:5;zentrum_stabil->offene_variante:2,oeffnend_belastend,0.018627,-0.026656,0.014765,-0.011281,0.044154
dio_mcm_episode_14coypf->dio_mcm_episode_14l8khu,12,SOL2025_10K:8;SOL2024_10K:2;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,12,1.0,zentrum_stabil->zentrum_stabil:12,rekoppelnd_entlastend,-0.015159,0.141672,-0.022687,0.006574,-0.039791
dio_mcm_episode_1q3us3f->dio_mcm_episode_1hdpu9s,12,SOL2025_10K:8;SOL2024_10K:2;BTC_5M_10K:2,zentrum_stabil->offene_variante,6,0.5,zentrum_stabil->offene_variante:6;zentrum_stabil->zentrum_stabil:3,oeffnend_belastend,0.044385,-0.066658,0.033959,-0.033633,0.111639
dio_mcm_episode_0e7qvj1->dio_mcm_episode_19a388p,12,SOL2025_10K:6;BTC_5M_10K:4;SOL2024_10K:2,zentrum_stabil->spannungsrand_kippnaehe,7,0.583333,zentrum_stabil->spannungsrand_kippnaehe:7;offene_variante->spannungsrand_kippnaehe:1,oeffnend_belastend,0.240898,-0.072417,0.108816,-0.155121,0.655213
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0tre8bg,10,SOL2025_10K:7;SOL2024_10K:2;BTC_5M_10K:1,zentrum_stabil->spannungsrand_kippnaehe,9,0.9,zentrum_stabil->spannungsrand_kippnaehe:9;offene_variante->spannungsrand_kippnaehe:1,oeffnend_belastend,0.25384,-0.091024,0.143495,-0.164782,0.692624
dio_mcm_episode_0e7qvj1->dio_mcm_episode_18l3thm,10,SOL2025_10K:6;BTC_5M_10K:4,zentrum_stabil->zentrum_stabil,10,1.0,zentrum_stabil->zentrum_stabil:10,bewegung_offen,-0.01077,0.065566,-0.012146,0.001248,-0.024884
dio_mcm_episode_1ahj81f->dio_mcm_episode_1jx2k4i,9,SOL2024_10K:7;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,8,0.888889,zentrum_stabil->zentrum_stabil:8,oeffnend_belastend,0.000122,-0.11022,-0.000148,-0.007315,-0.043671
dio_mcm_episode_1hs3jsa->dio_mcm_episode_1rxdw4p,9,SOL2024_10K:6;BTC_5M_10K:3,zentrum_stabil->offene_variante,6,0.666667,zentrum_stabil->offene_variante:6;zentrum_stabil->zentrum_stabil:1,oeffnend_belastend,0.098697,0.035333,0.043844,-0.065812,0.289669
dio_mcm_episode_0db07p4->dio_mcm_episode_1joiyc3,9,SOL2025_10K:6;SOL2024_10K:3,zentrum_stabil->zentrum_stabil,7,0.777778,zentrum_stabil->zentrum_stabil:7,rekoppelnd_entlastend,-0.020311,0.020661,-0.01482,0.020176,-0.042673
dio_mcm_episode_18l3thm->dio_mcm_episode_0e7qvj1,9,SOL2025_10K:5;BTC_5M_10K:4,zentrum_stabil->zentrum_stabil,8,0.888889,zentrum_stabil->zentrum_stabil:8,oeffnend_belastend,0.061695,0.012927,0.044057,-0.038058,0.177698
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1ahj81f,8,SOL2024_10K:6;BTC_5M_10K:2,zentrum_stabil->zentrum_stabil,5,0.625,zentrum_stabil->zentrum_stabil:5;offene_variante->zentrum_stabil:1,rekoppelnd_entlastend,-0.006305,0.098449,-0.008965,0.006606,0.016149
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1joiyc3,8,SOL2024_10K:6;BTC_5M_10K:2,zentrum_stabil->offene_variante,5,0.625,zentrum_stabil->offene_variante:5,oeffnend_belastend,0.042102,-0.04276,0.014604,-0.033854,0.110097
dio_mcm_episode_18n06fj->dio_mcm_episode_0z748ck,8,SOL2024_10K:4;SOL2025_10K:4,offene_variante->zentrum_stabil,3,0.375,offene_variante->zentrum_stabil:3;zentrum_stabil->zentrum_stabil:2,spannungsnah,0.018457,-0.016966,0.03661,0.001048,0.09815
