world,start_tick,end_tick,duration,center_tick,previous_role,next_role,previous_duration,next_duration,avg_raw_field_intake,avg_auditory_loudness,avg_visual_sharpness,avg_rekopplung,avg_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class
SOL_STRESS_1H,1466,1466,1,1466,offene_variante,offene_variante,1,3,0.492695,0.877767,0.650377,0.55526,0.319442,71,-0.19288756,0.34710554,0.01135724,0.17142857,5.70726609,0.49643958,bewegungsbruch
BTC_QUIET_1H,384,384,1,384,zentrum_stabil,offene_variante,2,4,0.491665,0.877277,0.509047,0.54328,0.332442,71,-0.00930919,0.05332181,0.00314062,0.05714286,5.89771671,0.47496635,bewegungsbruch
SOL_STRESS_1H,2134,2134,1,2134,zentrum_stabil,offene_variante,2,3,0.495737,0.873973,0.569413,0.545041,0.33209,71,0.00844875,0.10484765,0.00575085,0.08571429,3.98637521,0.44138344,bewegungsbruch
BTC_QUIET_1H,161,161,1,161,offene_variante,offene_variante,4,20,0.49068,0.872934,0.633077,0.554276,0.320356,71,-0.05852966,0.13012852,0.00593025,0.0,3.57655223,0.54003195,bewegungsbruch
SOL_QUIET_1H,2654,2654,1,2654,zentrum_stabil,rekopplungsnaehe,1,2,0.509523,0.868252,0.512752,0.578007,0.28489,71,0.11045089,0.15148549,0.00469549,0.1884058,3.13882777,0.4769954,bewegungsbruch
BTC_QUIET_1H,2448,2448,1,2448,zentrum_stabil,offene_variante,4,4,0.489803,0.866958,0.497442,0.541302,0.335679,71,-0.08646619,0.21515793,0.0079853,0.02857143,4.17503798,0.51200128,bewegungsbruch
BTC_QUIET_1H,1102,1102,1,1102,zentrum_stabil,offene_variante,1,1,0.504764,0.862857,0.665065,0.566636,0.306757,71,0.00202421,0.01536574,0.00117056,0.11428571,3.06864246,0.4268221,bewegungsbruch
SOL_QUIET_1H,134,134,1,134,rekopplungsnaehe,offene_variante,1,5,0.485287,0.861712,0.547607,0.547402,0.328353,71,0.00844875,0.10484765,0.00575085,0.08571429,3.98637521,0.44138344,bewegungsbruch
BTC_QUIET_1H,1174,1174,1,1174,rekopplungsnaehe,offene_variante,1,3,0.485857,0.861114,0.568595,0.57046,0.304698,71,-0.03802128,0.05677308,0.0037645,0.22857143,3.80284944,0.50377165,bewegungsbruch
SOL_STRESS_1H,1412,1412,1,1412,offene_variante,offene_variante,2,3,0.489164,0.856698,0.575376,0.549433,0.325757,71,-0.04388975,0.10305513,0.00554946,0.02857143,3.78258388,0.45151265,bewegungsbruch
BTC_QUIET_1H,1139,1139,1,1139,zentrum_stabil,offene_variante,3,4,0.495325,0.856468,0.650237,0.594598,0.274337,71,-0.02774993,0.05945724,0.00219143,0.05714286,2.94162467,0.43843486,bewegungsbruch
SOL_QUIET_1H,2530,2530,1,2530,offene_variante,offene_variante,1,1,0.498337,0.853672,0.689538,0.568779,0.305779,71,0.02451226,0.06932037,0.00448514,0.25714286,3.18454275,0.457354,bewegungsbruch
BTC_STRESS_1H,3658,3658,1,3658,offene_variante,offene_variante,1,4,0.483347,0.852385,0.672266,0.556157,0.318509,71,0.02684459,0.14034902,0.00555863,0.05714286,7.55450522,0.47606004,bewegungsbruch
BTC_QUIET_1H,1667,1667,1,1667,zentrum_stabil,offene_variante,5,3,0.490263,0.849955,0.521736,0.573818,0.291245,71,-0.0814233,0.10988455,0.00347884,0.2,4.66807869,0.49711717,bewegungsbruch
BTC_STRESS_1H,1154,1154,1,1154,rekopplungsnaehe,rekopplungsnaehe,3,2,0.508266,0.848952,0.543292,0.58181,0.280504,71,0.05258307,0.08578202,0.00344702,0.02857143,3.50423716,0.48515597,bewegungsbruch
BTC_STRESS_1H,2870,2870,1,2870,zentrum_stabil,offene_variante,1,1,0.49046,0.848255,0.707556,0.565293,0.307496,71,-0.03121091,0.05834543,0.00281732,0.0,5.63792492,0.48831467,bewegungsbruch
SOL_STRESS_1H,2452,2452,1,2452,zentrum_stabil,offene_variante,3,4,0.493032,0.847727,0.480378,0.586613,0.272565,71,-0.06387237,0.12507644,0.00639201,0.25714286,4.03911111,0.45355556,bewegungsbruch
SOL_STRESS_1H,3678,3678,1,3678,zentrum_stabil,offene_variante,4,2,0.491817,0.845107,0.702113,0.568217,0.307557,71,0.13414996,0.15278396,0.00517268,0.2,2.77028241,0.49366331,bewegungsbruch
BTC_QUIET_1H,2904,2904,1,2904,zentrum_stabil,offene_variante,1,1,0.500684,0.836619,0.541553,0.584524,0.276767,71,0.05258307,0.08578202,0.00344702,0.02857143,3.50423716,0.48515597,bewegungsbruch
SOL_QUIET_1H,452,452,1,452,rekopplungsnaehe,offene_variante,3,5,0.482692,0.833895,0.447833,0.589415,0.268336,71,-0.06387237,0.12507644,0.00639201,0.25714286,4.03911111,0.45355556,bewegungsbruch
SOL_STRESS_1H,1986,1986,1,1986,zentrum_stabil,offene_variante,5,4,0.477513,0.833344,0.657861,0.571602,0.303969,71,0.04966075,0.09571243,0.00528754,0.02857143,3.51118002,0.42443284,bewegungsbruch
SOL_STRESS_1H,2974,2974,1,2974,zentrum_stabil,rekopplungsnaehe,8,1,0.479212,0.832487,0.590765,0.568597,0.300536,71,-0.05376063,0.0913015,0.00406046,0.02857143,2.94331087,0.40697996,bewegungsbruch
SOL_STRESS_1H,3981,3981,1,3981,zentrum_stabil,offene_variante,6,2,0.474105,0.831716,0.516841,0.579432,0.287735,55,0.04123711,0.11653967,0.0063944,0.11111111,3.14476886,0.47726582,bewegungsbruch
SOL_QUIET_1H,1678,1678,1,1678,zentrum_stabil,offene_variante,4,3,0.481629,0.831376,0.692621,0.570959,0.304222,71,0.13414996,0.15278396,0.00517268,0.2,2.77028241,0.49366331,bewegungsbruch
SOL_STRESS_1H,550,550,1,550,zentrum_stabil,offene_variante,1,1,0.470672,0.830102,0.594004,0.574344,0.297919,71,0.03418344,0.28975265,0.01300907,0.2,8.27314157,0.50271762,bewegungsbruch
BTC_QUIET_1H,1054,1054,1,1054,rekopplungsnaehe,offene_variante,1,1,0.486777,0.829226,0.412117,0.577719,0.285745,71,-0.0248896,0.05030404,0.00190639,0.11428571,4.86102553,0.44888398,bewegungsbruch
BTC_STRESS_1H,1483,1483,1,1483,rekopplungsnaehe,offene_variante,1,1,0.474315,0.821195,0.676927,0.571044,0.29963,71,-0.06154236,0.10124123,0.00399528,0.08571429,3.25246712,0.49582938,bewegungsbruch
BTC_STRESS_1H,3638,3638,1,3638,zentrum_stabil,offene_variante,3,1,0.458153,0.820487,0.523228,0.580474,0.290747,71,0.04183182,0.14499128,0.00539052,0.08571429,7.9374087,0.46953188,bewegungsbruch
BTC_STRESS_1H,2089,2089,1,2089,zentrum_stabil,offene_variante,13,2,0.471328,0.819842,0.649844,0.564755,0.307349,71,-0.07354562,0.08468795,0.0038032,0.2,3.19580348,0.49830595,bewegungsbruch
SOL_STRESS_1H,1210,1210,1,1210,zentrum_stabil,offene_variante,1,3,0.469283,0.819257,0.676507,0.558319,0.31613,71,-0.04578215,0.14485839,0.00717951,0.05714286,2.8167757,0.46929907,bewegungsbruch
SOL_STRESS_1H,495,495,1,495,offene_variante,offene_variante,1,6,0.473051,0.81832,0.695524,0.571074,0.299755,71,-0.04072262,0.08114415,0.00656676,0.02857143,2.72309134,0.44654315,bewegungsbruch
SOL_QUIET_1H,974,974,1,974,zentrum_stabil,offene_variante,8,9,0.467814,0.818169,0.563608,0.561663,0.309854,71,-0.05376063,0.0913015,0.00406046,0.02857143,2.94331087,0.40697996,bewegungsbruch
BTC_STRESS_1H,201,201,1,201,offene_variante,offene_variante,1,3,0.46326,0.817977,0.574879,0.579786,0.291924,71,0.08532861,0.12240475,0.00444786,0.05714286,2.87909169,0.53208817,bewegungsbruch
SOL_QUIET_1H,1981,1981,1,1981,zentrum_stabil,offene_variante,6,3,0.462555,0.817638,0.485873,0.583461,0.282292,71,0.03047961,0.12836172,0.00646382,0.05714286,3.13057754,0.48026972,bewegungsbruch
SOL_QUIET_1H,2198,2198,1,2198,zentrum_stabil,offene_variante,1,7,0.45569,0.816926,0.495188,0.578588,0.29339,71,-0.08610143,0.28698283,0.0139159,0.07246377,3.29916632,0.51322263,bewegungsbruch
BTC_QUIET_1H,104,104,1,104,offene_variante,offene_variante,1,1,0.473203,0.813967,0.719049,0.580432,0.286371,71,-0.016911,0.0471302,0.00341662,0.08571429,3.38279282,0.50993774,bewegungsbruch
BTC_QUIET_1H,3233,3233,1,3233,rekopplungsnaehe,offene_variante,1,1,0.465685,0.80802,0.669936,0.60043,0.27343,71,-0.06154236,0.10124123,0.00399528,0.08571429,3.25246712,0.49582938,bewegungsbruch
BTC_QUIET_1H,3839,3839,1,3839,zentrum_stabil,offene_variante,12,3,0.462772,0.806883,0.642112,0.597801,0.280689,71,-0.07354562,0.08468795,0.0038032,0.2,3.19580348,0.49830595,bewegungsbruch
BTC_QUIET_1H,1951,1951,1,1951,offene_variante,offene_variante,1,1,0.454818,0.805301,0.566807,0.613222,0.261297,71,0.08532861,0.12240475,0.00444786,0.05714286,2.87909169,0.53208817,bewegungsbruch
SOL_STRESS_1H,2889,2889,1,2889,rekopplungsnaehe,offene_variante,1,1,0.466457,0.804541,0.694071,0.605917,0.260341,71,-0.05804209,0.11161463,0.00491458,0.11428571,3.63753749,0.46826058,bewegungsbruch
BTC_STRESS_1H,1442,1442,1,1442,zentrum_stabil,offene_variante,4,5,0.454834,0.802365,0.567787,0.582348,0.287197,71,-0.05398413,0.07078281,0.00354045,0.05714286,3.55290504,0.48039003,bewegungsbruch
SOL_STRESS_1H,10,10,1,10,offene_variante,offene_variante,1,5,0.457035,0.80166,0.481554,0.565567,0.302571,45,0.04356217,0.1079864,0.00570617,0.0,2.76409045,0.47148161,bewegungsbruch
BTC_STRESS_1H,1417,1417,1,1417,rekopplungsnaehe,offene_variante,1,3,0.453711,0.797472,0.464053,0.564661,0.303637,71,0.00876412,0.07314862,0.00364223,0.0,3.72560708,0.5014611,bewegungsbruch
SOL_STRESS_1H,3620,3620,1,3620,zentrum_stabil,rekopplungsnaehe,1,1,0.469538,0.797345,0.737474,0.57828,0.293216,71,-0.01873718,0.08682741,0.00535377,0.11428571,2.37546468,0.4542075,bewegungsbruch
SOL_QUIET_1H,2988,2988,1,2988,rekopplungsnaehe,offene_variante,1,1,0.452145,0.795192,0.669905,0.608478,0.270486,71,-0.05110745,0.11658186,0.00636459,0.02857143,3.12570937,0.51926053,bewegungsbruch
SOL_STRESS_1H,3841,3841,1,3841,rekopplungsnaehe,offene_variante,1,1,0.454872,0.794659,0.688801,0.608675,0.269229,71,0.12531874,0.16188818,0.00659157,0.17142857,3.68341313,0.49353971,bewegungsbruch
BTC_QUIET_1H,472,472,1,472,rekopplungsnaehe,offene_variante,2,1,0.453215,0.794243,0.494816,0.567937,0.298728,71,0.05100874,0.0714225,0.00310439,0.08571429,4.03399535,0.42894358,bewegungsbruch
SOL_STRESS_1H,2252,2252,1,2252,zentrum_stabil,offene_variante,2,3,0.44789,0.793121,0.538916,0.612396,0.25488,71,0.07679794,0.1598319,0.00655107,0.08571429,3.05870209,0.47223178,bewegungsbruch
BTC_QUIET_1H,138,138,1,138,rekopplungsnaehe,offene_variante,1,17,0.448121,0.792702,0.606123,0.561355,0.311207,71,-0.07557607,0.12837152,0.00538453,0.08571429,3.87796537,0.53893608,bewegungsbruch
BTC_QUIET_1H,1280,1280,1,1280,zentrum_stabil,zentrum_stabil,11,1,0.46182,0.792116,0.607797,0.582401,0.281896,71,-0.00754179,0.04121899,0.00233043,0.08571429,4.27710202,0.48320888,bewegungsbruch
SOL_STRESS_1H,1655,1655,1,1655,zentrum_stabil,offene_variante,1,3,0.451888,0.791973,0.685566,0.603848,0.269979,71,0.1134261,0.15810455,0.00813819,0.08571429,3.6012438,0.4382952,bewegungsbruch
BTC_QUIET_1H,1459,1459,1,1459,offene_variante,offene_variante,1,5,0.442194,0.791039,0.402908,0.547587,0.32604,71,-0.03591158,0.09518698,0.00344373,0.02857143,5.264747,0.50673813,bewegungsbruch
SOL_QUIET_1H,804,804,1,804,zentrum_stabil,offene_variante,1,1,0.459022,0.790321,0.578424,0.592358,0.266759,71,-0.08671852,0.12376837,0.00364063,0.25714286,8.95336839,0.44508384,bewegungsbruch
SOL_QUIET_1H,889,889,1,889,rekopplungsnaehe,offene_variante,1,1,0.454919,0.789354,0.675753,0.573984,0.295673,71,-0.05804209,0.11161463,0.00491458,0.11428571,3.63753749,0.46826058,bewegungsbruch
BTC_QUIET_1H,3192,3192,1,3192,zentrum_stabil,offene_variante,5,3,0.446105,0.789234,0.559223,0.618614,0.256093,71,-0.05398413,0.07078281,0.00354045,0.05714286,3.55290504,0.48039003,bewegungsbruch
BTC_STRESS_1H,675,675,1,675,rekopplungsnaehe,offene_variante,2,1,0.446697,0.788197,0.562681,0.582799,0.288683,71,-0.15424615,0.205467,0.00518261,0.02857143,5.86705266,0.48999777,bewegungsbruch
BTC_STRESS_1H,2554,2554,1,2554,zentrum_stabil,rekopplungsnaehe,1,1,0.4581,0.786933,0.664684,0.611185,0.260247,71,-0.02074453,0.04313114,0.00198534,0.02857143,3.82668892,0.47641263,bewegungsbruch
BTC_STRESS_1H,2569,2569,1,2569,zentrum_stabil,offene_variante,6,1,0.451595,0.786538,0.667795,0.605913,0.275749,71,-0.01180163,0.04320748,0.00228443,0.05714286,3.20242787,0.45794512,bewegungsbruch
SOL_QUIET_1H,3430,3430,1,3430,zentrum_stabil,offene_variante,6,2,0.444255,0.785004,0.670965,0.578894,0.296221,71,0.04283543,0.08000553,0.0052109,0.08571429,3.46582985,0.49790795,bewegungsbruch
SOL_QUIET_1H,2640,2640,1,2640,zentrum_stabil,offene_variante,4,1,0.45602,0.78478,0.623946,0.609576,0.25585,71,0.11755131,0.1418259,0.00407982,0.2173913,3.25168376,0.42410113,bewegungsbruch
BTC_QUIET_1H,3167,3167,1,3167,zentrum_stabil,offene_variante,10,3,0.444836,0.784056,0.45378,0.590068,0.277015,71,0.00876412,0.07314862,0.00364223,0.0,3.72560708,0.5014611,bewegungsbruch
SOL_QUIET_1H,3589,3589,1,3589,zentrum_stabil,offene_variante,6,2,0.45026,0.782298,0.6512,0.57414,0.294063,71,-0.11680948,0.13331653,0.00616463,0.17142857,3.02235555,0.49617884,bewegungsbruch
SOL_QUIET_1H,1620,1620,1,1620,rekopplungsnaehe,offene_variante,1,1,0.459737,0.782086,0.736386,0.581577,0.288963,71,-0.01873718,0.08682741,0.00535377,0.11428571,2.37546468,0.4542075,bewegungsbruch
SOL_STRESS_1H,2032,2032,1,2032,rekopplungsnaehe,offene_variante,2,1,0.441708,0.781044,0.64488,0.581987,0.29089,71,0.02964521,0.10915135,0.00714114,0.02857143,2.82737108,0.49605097,bewegungsbruch
BTC_STRESS_1H,505,505,1,505,rekopplungsnaehe,offene_variante,1,2,0.447596,0.77994,0.647263,0.608232,0.259962,71,0.02810738,0.04829929,0.00307292,0.08571429,4.33697553,0.49150557,bewegungsbruch
BTC_STRESS_1H,1546,1546,1,1546,zentrum_stabil,zentrum_stabil,2,3,0.457235,0.779885,0.64287,0.58401,0.280864,71,0.0515359,0.08219168,0.00358556,0.14285714,3.13669404,0.51857173,bewegungsbruch
