world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
ALTSEQ_2023,dio_0zvt,nur_gereift,2,0,2,0.000000,1.000000,0.696835,0.747726,0.129847,1.000000,0.500000
ALTSEQ_2023,dio_1nuc,nur_gereift,3,0,3,0.000000,1.000000,0.671263,0.718142,0.168926,1.000000,0.375000
ALTSEQ_2023,dio_0inh,nur_gereift,4,0,4,0.000000,1.000000,0.677267,0.722836,0.169318,1.000000,0.250000
ALTSEQ_2023,dio_03bp,nur_offen,1,1,0,1.000000,0.000000,0.566441,0.605222,0.315271,0.000000,0.000000
ALTSEQ_2023,dio_1ndp,nur_gereift,1,0,1,0.000000,1.000000,0.600093,0.638523,0.246441,0.916667,1.000000
ALTSEQ_2023,dio_1lhs,nur_gereift,3,0,3,0.000000,1.000000,0.657977,0.703314,0.189200,1.000000,0.625000
ALTSEQ_2023,dio_0dtf,nur_offen,1,1,0,1.000000,0.000000,0.575228,0.612651,0.287521,0.000000,0.000000
ALTSEQ_2023,dio_0w33,nur_gereift,1,0,1,0.000000,1.000000,0.695572,0.750566,0.125171,1.000000,0.000000
ALTSEQ_2023,dio_0tzb,nur_gereift,2,0,2,0.000000,1.000000,0.661883,0.709472,0.185972,1.000000,0.562500
ALTSEQ_2023,dio_1fyl,nur_gereift,2,0,2,0.000000,1.000000,0.661780,0.709410,0.181827,1.000000,0.562500
ALTSEQ_2023,dio_0raa,nur_gereift,3,0,3,0.000000,1.000000,0.618668,0.657523,0.243366,0.305555,1.000000
ALTSEQ_2023,dio_0lwc,nur_gereift,1,0,1,0.000000,1.000000,0.622585,0.664360,0.218805,0.833333,0.000000
ALTSEQ_2023,dio_1hyw,nur_gereift,2,0,2,0.000000,1.000000,0.691599,0.742012,0.142368,1.000000,0.562500
ALTSEQ_2023,dio_1wat,nur_offen,1,1,0,1.000000,0.000000,0.583824,0.625550,0.284468,0.000000,0.000000
ALTSEQ_2023,dio_1sub,offen_und_gereift,5,3,2,0.600000,0.400000,0.652688,0.693259,0.201422,0.200000,0.200000
ALTSEQ_2023,dio_18im,nur_gereift,6,0,6,0.000000,1.000000,0.684001,0.729315,0.160259,1.000000,0.041667
ALTSEQ_2023,dio_16zb,nur_gereift,1,0,1,0.000000,1.000000,0.693452,0.748148,0.128009,1.000000,0.000000
ALTSEQ_2023,dio_18bn,nur_gereift,1,0,1,0.000000,1.000000,0.623137,0.668426,0.234954,1.000000,0.000000
ALTSEQ_2023,dio_1h95,offen_und_gereift,3,1,2,0.333333,0.666667,0.659252,0.702607,0.188030,0.388889,0.333333
ALTSEQ_2023,dio_1rcm,offen_und_gereift,7,1,6,0.142857,0.857143,0.678482,0.721861,0.170518,0.857143,0.196429
ALTSEQ_2023,dio_16yy,nur_gereift,3,0,3,0.000000,1.000000,0.673841,0.720935,0.169681,1.000000,0.416667
ALTSEQ_2023,dio_1of5,nur_gereift,1,0,1,0.000000,1.000000,0.613959,0.659480,0.239771,0.833333,0.000000
ALTSEQ_2023,dio_10a7,offen_und_gereift,5,2,3,0.400000,0.600000,0.658341,0.701468,0.193523,0.616667,0.100000
ALTSEQ_2023,dio_1mjc,nur_gereift,5,0,5,0.000000,1.000000,0.710853,0.757974,0.119450,1.000000,0.025000
ALTSEQ_2023,dio_1350,offen_und_gereift,17,7,10,0.411765,0.588235,0.718825,0.762244,0.126733,0.622549,0.132353
ALTSEQ_2023,dio_0trm,offen_und_gereift,3,2,1,0.666667,0.333333,0.642865,0.686277,0.207614,0.361111,0.000000
ALTSEQ_2023,dio_0lz5,nur_offen,1,1,0,1.000000,0.000000,0.597955,0.638269,0.305641,0.000000,0.000000
ALTSEQ_2023,dio_1waj,nur_gereift,2,0,2,0.000000,1.000000,0.659466,0.706246,0.189134,1.000000,0.562500
ALTSEQ_2023,dio_0v4v,nur_offen,2,2,0,1.000000,0.000000,0.623180,0.664057,0.229854,0.291666,0.000000
ALTSEQ_2023,dio_031e,offen_und_gereift,2,1,1,0.500000,0.500000,0.661586,0.705294,0.173992,0.250000,0.500000
ALTSEQ_2023,dio_0g3b,nur_gereift,4,0,4,0.000000,1.000000,0.720698,0.770921,0.103467,1.000000,0.250000
ALTSEQ_2023,dio_0uuz,nur_gereift,4,0,4,0.000000,1.000000,0.675859,0.721153,0.169754,1.000000,0.062500
ALTSEQ_2023,dio_00c9,nur_offen,1,1,0,1.000000,0.000000,0.588980,0.630540,0.279507,0.500000,0.000000
ALTSEQ_2023,dio_1xwq,nur_offen,1,1,0,1.000000,0.000000,0.609859,0.654100,0.251800,0.333333,0.000000
ALTSEQ_2023,dio_183v,nur_gereift,1,0,1,0.000000,1.000000,0.640227,0.686099,0.195408,0.333333,1.000000
ALTSEQ_2023,dio_1liv,nur_gereift,1,0,1,0.000000,1.000000,0.650742,0.699901,0.196198,1.000000,0.500000
ALTSEQ_2023,dio_1jh7,nur_offen,1,1,0,1.000000,0.000000,0.607233,0.650576,0.257862,0.333333,0.000000
ALTSEQ_2023,dio_04ut,nur_gereift,1,0,1,0.000000,1.000000,0.581918,0.617220,0.274984,0.333333,1.000000
ALTSEQ_2023,dio_15cw,nur_offen,1,1,0,1.000000,0.000000,0.610718,0.648492,0.227237,0.333333,0.000000
ALTSEQ_2023,dio_1tic,nur_gereift,2,0,2,0.000000,1.000000,0.656257,0.703396,0.187154,1.000000,0.125000
ALTSEQ_2023,dio_1j1f,offen_und_gereift,4,1,3,0.250000,0.750000,0.661917,0.702707,0.175551,0.395833,0.500000
ALTSEQ_2023,dio_0i1a,nur_offen,1,1,0,1.000000,0.000000,0.634197,0.681062,0.220682,0.333333,0.000000
ALTSEQ_2023,dio_0u2x,nur_gereift,3,0,3,0.000000,1.000000,0.670004,0.715973,0.170940,1.000000,0.000000
ALTSEQ_2023,dio_1g13,nur_gereift,1,0,1,0.000000,1.000000,0.667124,0.716670,0.155726,1.000000,0.500000
ALTSEQ_2023,dio_0l52,nur_gereift,1,0,1,0.000000,1.000000,0.637552,0.680578,0.197262,0.333333,1.000000
ALTSEQ_2023,dio_1dym,nur_gereift,1,0,1,0.000000,1.000000,0.657655,0.709139,0.186066,1.000000,0.250000
ALTSEQ_2023,dio_0h3g,nur_gereift,2,0,2,0.000000,1.000000,0.670001,0.717804,0.165332,1.000000,0.062500
ALTSEQ_2023,dio_0e70,nur_offen,1,1,0,1.000000,0.000000,0.593692,0.636677,0.270675,0.166667,0.000000
ALTSEQ_2023,dio_0oxn,nur_gereift,2,0,2,0.000000,1.000000,0.647080,0.692001,0.216502,0.583333,0.500000
ALTSEQ_2023,dio_1izp,nur_gereift,2,0,2,0.000000,1.000000,0.656608,0.703378,0.184860,1.000000,0.250000
ALTSEQ_2023,dio_06zw,nur_offen,4,4,0,1.000000,0.000000,0.618032,0.655906,0.243094,0.145834,0.000000
