token,short_token,base_class,compare_class,base_weight,compare_weight,base_duration,compare_duration,role_changed,migration,weight_delta,duration_delta
dio_mcm_episode_0geqqo3,0geqqo3,schwacher_anschluss,lokaler_anschlussanker,11,22,16.090909,45.227273,1,rolle_verdichtet,11,29.136364
dio_mcm_episode_0dgle71,0dgle71,-,schwacher_anschluss,0,10,0,60.400000,1,neue_rolle,10,60.400000
dio_mcm_episode_02ujuqf,02ujuqf,-,brueckenkern,0,9,0,139.444444,1,neue_rolle,9,139.444444
dio_mcm_episode_0w4x7xs,0w4x7xs,schwacher_anschluss,lokaler_anschlussanker,9,18,123.333333,50.500000,1,rolle_verdichtet,9,-72.833333
dio_mcm_episode_1engxbn,1engxbn,-,schwacher_anschluss,0,9,0,242.333333,1,neue_rolle,9,242.333333
dio_mcm_episode_1al8fjz,1al8fjz,schwacher_anschluss,lokaler_anschlussanker,6,14,1.666667,1.571429,1,rolle_verdichtet,8,-0.095238
dio_mcm_episode_01s42m6,01s42m6,-,schwacher_anschluss,0,4,0,161.750000,1,neue_rolle,4,161.750000
dio_mcm_episode_0z748ck,0z748ck,lokaler_anschlussanker,brueckenkern,22,26,59.454546,9.153846,1,rolle_verdichtet,4,-50.300700
dio_mcm_episode_1t42af6,1t42af6,-,schwacher_anschluss,0,4,0,312.250000,1,neue_rolle,4,312.250000
dio_mcm_episode_1ds636q,1ds636q,-,schwacher_anschluss,0,3,0,41.000000,1,neue_rolle,3,41.000000
dio_mcm_episode_06ccuqv,06ccuqv,-,schwacher_anschluss,0,2,0,2.000000,1,neue_rolle,2,2.000000
dio_mcm_episode_0li6lg1,0li6lg1,-,schwacher_anschluss,0,2,0,243.000000,1,neue_rolle,2,243.000000
dio_mcm_episode_0tph7s0,0tph7s0,-,schwacher_anschluss,0,2,0,600.000000,1,neue_rolle,2,600.000000
dio_mcm_episode_0v5p8er,0v5p8er,-,schwacher_anschluss,0,2,0,596.500000,1,neue_rolle,2,596.500000
dio_mcm_episode_0w9dwz3,0w9dwz3,-,schwacher_anschluss,0,2,0,26.500000,1,neue_rolle,2,26.500000
dio_mcm_episode_1n9f8vr,1n9f8vr,-,schwacher_anschluss,0,2,0,2.000000,1,neue_rolle,2,2.000000
dio_mcm_episode_1qqnvqf,1qqnvqf,-,schwacher_anschluss,0,2,0,41.500000,1,neue_rolle,2,41.500000
dio_mcm_episode_079228h,079228h,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_080f74u,080f74u,-,schwacher_anschluss,0,1,0,3.000000,1,neue_rolle,1,3.000000
dio_mcm_episode_0ac3vc1,0ac3vc1,-,schwacher_anschluss,0,1,0,2.000000,1,neue_rolle,1,2.000000
dio_mcm_episode_0ag2osp,0ag2osp,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_0d40zcv,0d40zcv,-,schwacher_anschluss,0,1,0,88.000000,1,neue_rolle,1,88.000000
dio_mcm_episode_0dxi31r,0dxi31r,-,schwacher_anschluss,0,1,0,2.000000,1,neue_rolle,1,2.000000
dio_mcm_episode_0jkg1dk,0jkg1dk,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_0jwgafx,0jwgafx,-,schwacher_anschluss,0,1,0,3.000000,1,neue_rolle,1,3.000000
dio_mcm_episode_0jzhgzp,0jzhgzp,-,schwacher_anschluss,0,1,0,2003.000000,1,neue_rolle,1,2003.000000
dio_mcm_episode_0k7ekcr,0k7ekcr,-,schwacher_anschluss,0,1,0,455.000000,1,neue_rolle,1,455.000000
dio_mcm_episode_0ldht3x,0ldht3x,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_0sv0ru8,0sv0ru8,-,schwacher_anschluss,0,1,0,3.000000,1,neue_rolle,1,3.000000
dio_mcm_episode_0t7i6fh,0t7i6fh,-,schwacher_anschluss,0,1,0,578.000000,1,neue_rolle,1,578.000000
dio_mcm_episode_0u69u6w,0u69u6w,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_0xsq19y,0xsq19y,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_0zh3u1j,0zh3u1j,-,schwacher_anschluss,0,1,0,832.000000,1,neue_rolle,1,832.000000
dio_mcm_episode_10mbxau,10mbxau,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_13cw75j,13cw75j,-,schwacher_anschluss,0,1,0,1842.000000,1,neue_rolle,1,1842.000000
dio_mcm_episode_14k61ms,14k61ms,-,schwacher_anschluss,0,1,0,917.000000,1,neue_rolle,1,917.000000
dio_mcm_episode_15cyz2v,15cyz2v,-,schwacher_anschluss,0,1,0,757.000000,1,neue_rolle,1,757.000000
dio_mcm_episode_17eveju,17eveju,-,schwacher_anschluss,0,1,0,931.000000,1,neue_rolle,1,931.000000
dio_mcm_episode_1a9sbfi,1a9sbfi,-,schwacher_anschluss,0,1,0,1.000000,1,neue_rolle,1,1.000000
dio_mcm_episode_1aurt3q,1aurt3q,-,schwacher_anschluss,0,1,0,3.000000,1,neue_rolle,1,3.000000
dio_mcm_episode_1hdvp5m,1hdvp5m,-,schwacher_anschluss,0,1,0,532.000000,1,neue_rolle,1,532.000000
dio_mcm_episode_1jaecfa,1jaecfa,-,schwacher_anschluss,0,1,0,1245.000000,1,neue_rolle,1,1245.000000
dio_mcm_episode_1jansx7,1jansx7,-,schwacher_anschluss,0,1,0,2016.000000,1,neue_rolle,1,2016.000000
dio_mcm_episode_1n2f96o,1n2f96o,-,schwacher_anschluss,0,1,0,3.000000,1,neue_rolle,1,3.000000
dio_mcm_episode_1x5cw2v,1x5cw2v,-,schwacher_anschluss,0,1,0,4.000000,1,neue_rolle,1,4.000000
dio_mcm_episode_1xm3b1l,1xm3b1l,-,schwacher_anschluss,0,1,0,3.000000,1,neue_rolle,1,3.000000
dio_mcm_episode_0e7qvj1,0e7qvj1,brueckenkern,brueckenkern,165,276,174.206061,123.326087,0,stabile_rolle,111,-50.879974
dio_mcm_episode_18l3thm,18l3thm,brueckenkern,brueckenkern,110,171,77.900000,55.426901,0,stabile_rolle,61,-22.473099
dio_mcm_episode_0mji3u6,0mji3u6,brueckenkern,brueckenkern,43,97,180.372093,94.061856,0,stabile_rolle,54,-86.310237
dio_mcm_episode_1joiyc3,1joiyc3,brueckenkern,brueckenkern,74,101,138.824324,146.900990,0,stabile_rolle,27,8.076666
dio_mcm_episode_18n06fj,18n06fj,brueckenkern,brueckenkern,17,30,4.058824,5.366667,0,stabile_rolle,13,1.307843
dio_mcm_episode_05lquqm,05lquqm,schwacher_anschluss,schwacher_anschluss,4,10,2.000000,1.200000,0,stabile_rolle,6,-0.800000
dio_mcm_episode_0qzjuvj,0qzjuvj,brueckenkern,brueckenkern,28,33,2.571429,2.666667,0,stabile_rolle,5,0.095238
dio_mcm_episode_0hjnwsk,0hjnwsk,schwacher_anschluss,schwacher_anschluss,6,10,2.166667,2.600000,0,stabile_rolle,4,0.433333
dio_mcm_episode_0jbl5pq,0jbl5pq,brueckenkern,brueckenkern,27,31,2.259259,2.548387,0,stabile_rolle,4,0.289128
dio_mcm_episode_0mm85pw,0mm85pw,schwacher_anschluss,schwacher_anschluss,2,5,1090.000000,655.600000,0,stabile_rolle,3,-434.400000
dio_mcm_episode_0mw7rev,0mw7rev,schwacher_anschluss,schwacher_anschluss,2,5,583.000000,669.200000,0,stabile_rolle,3,86.200000
dio_mcm_episode_1i1sl4l,1i1sl4l,schwacher_anschluss,schwacher_anschluss,6,9,17.333333,3.555555,0,stabile_rolle,3,-13.777778
dio_mcm_episode_0lne9ax,0lne9ax,schwacher_anschluss,schwacher_anschluss,4,6,2.250000,3.000000,0,stabile_rolle,2,0.750000
dio_mcm_episode_10b8y4e,10b8y4e,schwacher_anschluss,schwacher_anschluss,1,3,20.000000,16.666667,0,stabile_rolle,2,-3.333333
dio_mcm_episode_1k0rrn2,1k0rrn2,schwacher_anschluss,schwacher_anschluss,2,4,1.000000,1.000000,0,stabile_rolle,2,0.000000
dio_mcm_episode_1pmt8u2,1pmt8u2,schwacher_anschluss,schwacher_anschluss,1,3,1985.000000,714.000000,0,stabile_rolle,2,-1271.000000
dio_mcm_episode_1y2gc2i,1y2gc2i,schwacher_anschluss,schwacher_anschluss,2,4,2.000000,2.000000,0,stabile_rolle,2,0.000000
dio_mcm_episode_0fljihc,0fljihc,schwacher_anschluss,schwacher_anschluss,1,2,931.000000,100.000000,0,stabile_rolle,1,-831.000000
dio_mcm_episode_1b3r4if,1b3r4if,schwacher_anschluss,schwacher_anschluss,1,2,2.000000,1.000000,0,stabile_rolle,1,-1.000000
dio_mcm_episode_0393v08,0393v08,schwacher_anschluss,schwacher_anschluss,1,1,3.000000,3.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_08ubq99,08ubq99,schwacher_anschluss,schwacher_anschluss,1,1,2.000000,1.000000,0,stabile_rolle,0,-1.000000
dio_mcm_episode_0dsrwv5,0dsrwv5,schwacher_anschluss,schwacher_anschluss,1,1,1.000000,1.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_0ej0lhx,0ej0lhx,schwacher_anschluss,schwacher_anschluss,1,1,2.000000,2.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_0jlkrep,0jlkrep,schwacher_anschluss,schwacher_anschluss,2,2,1.000000,1.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_0l3i7ey,0l3i7ey,schwacher_anschluss,schwacher_anschluss,1,1,2.000000,3.000000,0,stabile_rolle,0,1.000000
dio_mcm_episode_0nuo9k1,0nuo9k1,schwacher_anschluss,schwacher_anschluss,1,1,21.000000,21.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_0t1ymth,0t1ymth,schwacher_anschluss,schwacher_anschluss,1,1,36.000000,36.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_17c7qwp,17c7qwp,schwacher_anschluss,schwacher_anschluss,1,1,1972.000000,375.000000,0,stabile_rolle,0,-1597.000000
dio_mcm_episode_19dxnmz,19dxnmz,schwacher_anschluss,schwacher_anschluss,1,1,581.000000,581.000000,0,stabile_rolle,0,0.000000
dio_mcm_episode_0h9ka55,0h9ka55,schwacher_anschluss,-,1,0,733.000000,0,1,rolle_zerfallen,-1,-733.000000
dio_mcm_episode_0jatqr8,0jatqr8,schwacher_anschluss,-,1,0,2.000000,0,1,rolle_zerfallen,-1,-2.000000
dio_mcm_episode_0jdgxa5,0jdgxa5,schwacher_anschluss,-,1,0,2007.000000,0,1,rolle_zerfallen,-1,-2007.000000
dio_mcm_episode_0ldenly,0ldenly,schwacher_anschluss,-,1,0,3.000000,0,1,rolle_zerfallen,-1,-3.000000
dio_mcm_episode_0n22aiv,0n22aiv,schwacher_anschluss,-,1,0,1753.000000,0,1,rolle_zerfallen,-1,-1753.000000
dio_mcm_episode_0rz7ra9,0rz7ra9,schwacher_anschluss,-,1,0,2034.000000,0,1,rolle_zerfallen,-1,-2034.000000
dio_mcm_episode_0sxikqi,0sxikqi,schwacher_anschluss,-,1,0,283.000000,0,1,rolle_zerfallen,-1,-283.000000
dio_mcm_episode_0tosxof,0tosxof,schwacher_anschluss,-,1,0,1972.000000,0,1,rolle_zerfallen,-1,-1972.000000
dio_mcm_episode_0vszw6h,0vszw6h,schwacher_anschluss,-,1,0,3.000000,0,1,rolle_zerfallen,-1,-3.000000
dio_mcm_episode_19w9kxc,19w9kxc,schwacher_anschluss,schwacher_anschluss,2,1,934.500000,1119.000000,0,stabile_rolle,-1,184.500000
dio_mcm_episode_1ej5zl7,1ej5zl7,schwacher_anschluss,-,1,0,532.000000,0,1,rolle_zerfallen,-1,-532.000000
dio_mcm_episode_1f4jh6c,1f4jh6c,schwacher_anschluss,schwacher_anschluss,2,1,14.500000,76.000000,0,stabile_rolle,-1,61.500000
dio_mcm_episode_1fej2vb,1fej2vb,schwacher_anschluss,-,1,0,2034.000000,0,1,rolle_zerfallen,-1,-2034.000000
dio_mcm_episode_1hdpu9s,1hdpu9s,lokaler_anschlussanker,schwacher_anschluss,12,11,20.416667,18.727273,1,rolle_entlastet_oder_driftet,-1,-1.689394
dio_mcm_episode_1q3u8v6,1q3u8v6,schwacher_anschluss,-,1,0,2.000000,0,1,rolle_zerfallen,-1,-2.000000
dio_mcm_episode_04s5k7g,04s5k7g,schwacher_anschluss,-,2,0,20.000000,0,1,rolle_zerfallen,-2,-20.000000
dio_mcm_episode_0aztxel,0aztxel,schwacher_anschluss,schwacher_anschluss,3,1,1.333333,2.000000,0,stabile_rolle,-2,0.666667
dio_mcm_episode_0lfde2c,0lfde2c,schwacher_anschluss,schwacher_anschluss,3,1,178.000000,4.000000,0,stabile_rolle,-2,-174.000000
dio_mcm_episode_0mqw5s3,0mqw5s3,schwacher_anschluss,-,2,0,49.000000,0,1,rolle_zerfallen,-2,-49.000000
dio_mcm_episode_1ggl8cd,1ggl8cd,schwacher_anschluss,-,2,0,2011.000000,0,1,rolle_zerfallen,-2,-2011.000000
dio_mcm_episode_1nw8bq9,1nw8bq9,schwacher_anschluss,-,2,0,2.500000,0,1,rolle_zerfallen,-2,-2.500000
dio_mcm_episode_1rzvd1k,1rzvd1k,schwacher_anschluss,-,2,0,232.000000,0,1,rolle_zerfallen,-2,-232.000000
dio_mcm_episode_00nzcuc,00nzcuc,lokaler_anschlussanker,schwacher_anschluss,14,1,134.071429,353.000000,1,rolle_entlastet_oder_driftet,-13,218.928571
dio_mcm_episode_0db07p4,0db07p4,brueckenkern,brueckenkern,47,23,56.425532,56.956522,0,stabile_rolle,-24,0.530990
