world;source_debug;start_tick;end_tick;duration;pressure_threshold_p90;alignment_threshold_p10;avg_pressure;avg_alignment;avg_asymmetry;avg_coherence;avg_strain;avg_rekopplung;pre8_rekopplung;post8_rekopplung;pre8_strain;post8_strain;dominant_effect;dominant_family;dominant_mcm_episode_preview;post_state
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3299;3299;1;0.3053075999999999;0.7571242;0.367601;0.700493;0.138935;0.30666;0.279069;0.589904;0.670389625;0.645407375;0.164028125;0.183509625;tragend_unruhig;dio_0bvr;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3317;3318;2;0.3053075999999999;0.7571242;0.3901825;0.6738855;0.12293099999999998;0.346657;0.2690005;0.6095284999999999;0.638983125;0.66108675;0.19430325;0.170715125;kippend;dio_19hf;dio_mcm_episode_183drjy;rekoppelt_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3336;3336;1;0.3053075999999999;0.7571242;0.349338;0.643342;0.038787;0.437667;0.289371;0.591818;0.65863725;0.654096;0.18139975;0.1787325;kippend;dio_1ms7;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3359;3359;1;0.3053075999999999;0.7571242;0.317557;0.668767;0.05335;0.455321;0.266532;0.606238;0.652292;0.66448625;0.18056887500000002;0.17273625;tragend_unruhig;dio_0uo5;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3414;3414;1;0.3053075999999999;0.7571242;0.389587;0.616845;0.087754;0.402415;0.302188;0.587484;0.634179;0.64456225;0.205666625;0.19248;kippend;dio_078j;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3458;3458;1;0.3053075999999999;0.7571242;0.314199;0.67264;0.022296;0.466999;0.26035;0.611687;0.651213875;0.662348;0.176589625;0.1649735;tragend_unruhig;dio_1ujm;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3467;3467;1;0.3053075999999999;0.7571242;0.48288;0.517067;0.025485;0.264817;0.360263;0.5511;0.662348;0.636313;0.1649735;0.21780175000000002;gespannt;dio_0t4d;dio_mcm_episode_023ke8f;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3470;3471;2;0.3053075999999999;0.7571242;0.4325615;0.6407795000000001;0.0652745;0.21909499999999998;0.29917950000000004;0.5825135;0.65365925;0.648771;0.193640375;0.1868435;gespannt;dio_1wv2;dio_mcm_episode_0kluhxc;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3502;3502;1;0.3053075999999999;0.7571242;0.601593;0.514859;-0.017004;0.142155;0.4095;0.524075;0.652994875;0.630207375;0.181632625;0.223459625;gespannt;dio_1pu5;dio_mcm_episode_1927mcg;kippnah_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3508;3508;1;0.3053075999999999;0.7571242;0.326081;0.732086;0.04577;0.583865;0.243326;0.632127;0.625839;0.652786;0.22997775;0.179922125;tragend_unruhig;dio_101u;dio_mcm_episode_0magw2b;rekoppelt_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3517;3517;1;0.3053075999999999;0.7571242;0.35779;0.588871;0.129348;0.347888;0.28585;0.594724;0.652786;0.641563125;0.179922125;0.204150875;kippend;dio_0b45;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3524;3524;1;0.3053075999999999;0.7571242;0.465862;0.676796;0.293429;0.30771;0.321305;0.574459;0.650361875;0.66437775;0.191169375;0.164852375;kippend;dio_1ygi;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
SOL_2025_STRESS_5K_RECEPTOR;receptor_duration_sol_2025_stress_5k;3545;3545;1;0.3053075999999999;0.7571242;0.347341;0.727653;0.090062;0.353012;0.274962;0.590447;0.659648875;0.645407375;0.167036625;0.18834675;tragend_unruhig;dio_124a;dio_mcm_episode_183drjy;offen_getragen_nach_kontaktinsel
