token,class_864,class_868,relation,movement_864,movement_868,zone_864,zone_868,world_delta_864,world_delta_868,rekopplung_delta_864,rekopplung_delta_868,strain_delta_864,strain_delta_868,loudness_delta_864,loudness_delta_868,visual_blur_delta_864,visual_blur_delta_868
dio_mcm_episode_0krixak,stabile_insel,offener_driftpfad,reife_oeffnet,stabil,oeffnung_oder_drift,stabile_bedeutungsinsel,driftzone,0,-1,-0.001037,-0.018488,0.000638,0.016794,1.7e-05,-0.005568,-0.004355,0.056809
dio_mcm_episode_05lquqm,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,rekopplungszone,rekopplungszone,1,-2,0.029683,0.019264,-0.044623,-0.045821,-0.179372,-0.18977,-0.014985,0.019969
dio_mcm_episode_0b7nep9,brueckenpfad,brueckenpfad,rollenstabil,stabil,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,0,0,-0.002208,-0.003228,0.001233,0.002118,0.012159,0.010694,-0.002937,0.008928
dio_mcm_episode_0db07p4,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,2,4,-0.000958,-0.005021,0.000749,0.004959,-0.011859,-0.021228,0.012265,0.061561
dio_mcm_episode_0e7qvj1,brueckenpfad,brueckenpfad,rollenstabil,stabil,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,2,3,-0.000743,0.002286,-0.000791,-0.001675,-0.003973,0.001274,-0.00409,-0.011414
dio_mcm_episode_0jbl5pq,brueckenpfad,brueckenpfad,rollenstabil,stabil,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,1,3,0.01391,0.010566,-0.003738,-0.010801,-0.088091,-0.120798,-0.089857,-0.085073
dio_mcm_episode_0mji3u6,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,stabile_bedeutungsinsel,stabile_bedeutungsinsel,2,3,-0.002191,-0.002398,0.000846,0.002914,-0.002738,-0.004032,0.015217,0.012128
dio_mcm_episode_0qzjuvj,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,stabil,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,1,3,0.040903,0.020497,-0.039304,-0.022818,-0.079637,-0.045495,-0.066744,-0.035509
dio_mcm_episode_18l3thm,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1,3,0.004968,-0.001432,-0.004487,-0.00191,-0.023366,-0.004157,-0.005824,4.6e-05
dio_mcm_episode_18n06fj,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,1,2,0.013348,-0.000958,-0.013251,0.002083,-0.031174,0.02507,-0.071524,0.034505
dio_mcm_episode_1al8fjz,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1,0,0.023608,0.03066,-0.035383,-0.04471,-0.188204,-0.223776,0.053268,0.047735
dio_mcm_episode_1joiyc3,brueckenpfad,brueckenpfad,rollenstabil,stabil,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,3,4,-0.008699,-0.007855,0.003876,0.002591,-0.005999,-0.007665,0.022425,0.016545
dio_mcm_episode_1xx3u1e,brueckenpfad,brueckenpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,1,0,-0.000328,0.000556,0.002361,-0.003596,0.020179,0.001407,0.005418,-0.008962
dio_mcm_episode_1jc5z5p,gemischter_pfad,gemischter_pfad,rollenstabil,stabil,stabil,driftzone,driftzone,0,0,1e-05,0.0,-2e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0oc1i7g,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,0.004764,0.004762,0.015138,0.015149,-0.040082,-0.040082,0.118383,0.118383
dio_mcm_episode_0q7j4gf,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,2.3e-05,-0.001831,-5e-05,-0.001694,0.0,-0.034518,0.0,0.215553
dio_mcm_episode_0r1re19,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,0.006981,-0.001533,-0.009113,-0.002119,-0.043187,-0.015498,0.02276,0.037865
dio_mcm_episode_0sxikqi,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,0.0,0.001136,0.0,0.008529,0.0,0.011267,0.0,0.013237
dio_mcm_episode_0tosxof,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,2.4e-05,0.010797,-5.2e-05,-0.00671,0.0,-0.013061,0.0,0.029359
dio_mcm_episode_0ultars,junge_oberflaeche,junge_oberflaeche,rollenstabil,verjuengung_oberflaeche,verjuengung_oberflaeche,junge_spur,junge_spur,-1,-1,0.025631,0.02563,-0.031047,-0.031036,0.118733,0.118733,-0.137946,-0.137946
dio_mcm_episode_1aavr7r,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,2.3e-05,-0.000705,-5e-05,-0.014039,0.0,-0.029427,0.0,-0.064616
dio_mcm_episode_1j0eqqb,junge_oberflaeche,junge_oberflaeche,rollenstabil,stabil,stabil,junge_spur,junge_spur,0,0,-0.024385,-0.124618,0.015792,0.147226,0.137715,0.682388,-0.103514,-0.012108
dio_mcm_episode_00i7zy5,offener_driftpfad,offener_driftpfad,rollenstabil,oeffnung_oder_drift,oeffnung_oder_drift,driftzone,driftzone,3,2,0.009037,0.010544,-0.016564,-0.017304,-0.100836,-0.087329,0.085122,0.045362
dio_mcm_episode_0cvptbz,offener_driftpfad,offener_driftpfad,rollenstabil,oeffnung_oder_drift,oeffnung_oder_drift,driftzone,driftzone,0,0,-0.002407,-0.06497,0.009713,0.083606,0.134532,0.458152,-0.084879,-0.069665
dio_mcm_episode_0ldenly,offener_driftpfad,offener_driftpfad,rollenstabil,oeffnung_oder_drift,reifung_oder_verdichtung,driftzone,hoeherer_cluster_uebergang,1,3,-0.006737,-0.008957,0.005829,0.015074,0.023803,0.066367,0.06859,0.124512
dio_mcm_episode_0lne9ax,offener_driftpfad,offener_driftpfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,1,2,-0.019241,-0.024698,0.027568,0.026987,0.041891,0.021042,0.064951,0.020323
dio_mcm_episode_0qhiq5e,offener_driftpfad,offener_driftpfad,rollenstabil,oeffnung_oder_drift,oeffnung_oder_drift,driftzone,driftzone,1,3,-0.018275,-0.017905,4.8e-05,-0.020822,0.031423,-0.024299,-0.006807,0.128643
dio_mcm_episode_1y26981,offener_driftpfad,offener_driftpfad,rollenstabil,reifung_oder_verdichtung,oeffnung_oder_drift,hoeherer_cluster_uebergang,offene_bedeutungszone,2,0,-0.013794,0.006686,0.026599,-0.001393,0.255148,0.121245,-0.038817,-0.044719
dio_mcm_episode_0mm85pw,randpfad,randpfad,rollenstabil,stabil,stabil,randnahe_verdichtung,randnahe_verdichtung,1,0,0.004944,0.002241,-0.007215,-0.003322,0.004916,0.008517,-0.046669,-0.032718
dio_mcm_episode_0mw7rev,randpfad,randpfad,rollenstabil,stabil,stabil,randnahe_verdichtung,randnahe_verdichtung,0,0,0.002221,-0.001398,0.000711,0.002691,0.012833,0.01461,-0.097515,-0.003009
dio_mcm_episode_102i30n,randpfad,randpfad,rollenstabil,stabil,randnaehe_rekoppelt,randnahe_verdichtung,hoeherer_cluster_uebergang,0,2,7e-06,0.025271,-1.6e-05,-0.033952,0.0,-0.095094,0.0,-0.089183
dio_mcm_episode_0393v08,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,stabile_bedeutungsinsel,stabile_bedeutungsinsel,2,2,-0.000197,-0.000207,0.004046,0.004068,0.065718,0.065718,-0.058977,-0.058977
dio_mcm_episode_03efwme,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,stabil,stabil,rekopplungszone,rekopplungszone,0,-1,-0.011523,-0.006662,0.018713,0.007521,0.097115,0.073747,0.003763,0.054226
dio_mcm_episode_077r0df,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,reifung_oder_verdichtung,stabil,stabile_bedeutungsinsel,rekopplungszone,2,0,-0.010618,-0.015214,0.016449,0.017585,0.079596,0.108652,0.098391,0.092161
dio_mcm_episode_0jatqr8,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,reifung_oder_verdichtung,stabil,stabile_bedeutungsinsel,rekopplungszone,0,-2,-0.003777,0.002275,-0.000399,-0.004237,0.037642,0.015506,-0.066238,-0.037587
dio_mcm_episode_0w4721p,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,reifung_oder_verdichtung,stabil,stabile_bedeutungsinsel,rekopplungszone,-1,-4,0.000492,-0.009463,-0.002329,-0.000259,-0.004501,-0.021509,-0.013937,0.00621
dio_mcm_episode_1b3r4if,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,stabil,stabil,rekopplungszone,rekopplungszone,0,-1,7.2e-05,-0.019264,0.002132,0.016654,-0.018648,0.070865,0.076389,0.103761
dio_mcm_episode_1n2f96o,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,rekopplungszone,rekopplungszone,1,0,-0.002883,-0.011214,-0.00769,0.004962,0.004533,0.034015,0.007703,0.067748
dio_mcm_episode_1xm3b1l,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,stabil,stabil,rekopplungszone,rekopplungszone,0,-2,0.005344,-0.0047,-0.001612,-0.001452,0.006821,0.046132,-0.012075,0.052433
dio_mcm_episode_1y2gc2i,rekoppelnder_pfad,rekoppelnder_pfad,rollenstabil,reifung_oder_verdichtung,reifung_oder_verdichtung,stabile_bedeutungsinsel,stabile_bedeutungsinsel,2,0,0.000502,-0.003285,-0.001725,0.001364,-0.077499,-0.089317,0.041924,0.058849
dio_mcm_episode_0dgle71,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,0,0,0.009633,0.00248,-0.00637,-0.015765,-0.003695,-0.064608,-0.02657,-0.037327
dio_mcm_episode_0ko7wqc,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,-1,0,-0.01856,-0.010661,0.00261,0.003042,-0.004016,-0.008403,-0.003362,-0.024107
dio_mcm_episode_0ybr5e3,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,0,0,0.000508,-0.010013,0.000654,-0.000191,0.003195,-0.001918,0.017089,0.041272
dio_mcm_episode_17i4j9o,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1,0,0.002494,-0.017525,-0.000255,0.022163,0.005178,0.059667,-0.023488,0.074003
dio_mcm_episode_17rahh6,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,0,0,0.009612,-0.001994,0.001012,0.005313,0.035615,0.028031,-0.035223,0.020499
dio_mcm_episode_1ahj81f,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1,0,0.001295,0.002257,-0.001338,-0.002161,-0.01225,-0.027918,0.009951,0.01704
dio_mcm_episode_1hdpu9s,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,1,1,-0.000112,-0.001559,0.000179,0.007826,0.000611,0.062441,0.000675,0.027811
dio_mcm_episode_1t42af6,stabile_insel,stabile_insel,rollenstabil,stabil,stabil,stabile_bedeutungsinsel,stabile_bedeutungsinsel,0,-1,-0.024169,-0.018673,0.01535,0.007764,0.062938,0.059466,-0.008349,-0.005819
dio_mcm_episode_02ujuqf,brueckenpfad,junge_oberflaeche,rollenwechsel,reifung_oder_verdichtung,verjuengung_oberflaeche,rekopplungszone,junge_spur,0,-1,-9.4e-05,0.009226,-0.017847,-0.017489,-0.036714,-0.026913,-0.073622,-0.128435
dio_mcm_episode_0z748ck,brueckenpfad,stabile_insel,rollenwechsel,reifung_oder_verdichtung,stabil,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,0,3,-0.007918,-0.016319,0.006928,0.007429,-0.020461,-0.038028,0.031361,0.059171
dio_mcm_episode_1jx2k4i,brueckenpfad,stabile_insel,rollenwechsel,reifung_oder_verdichtung,stabil,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,3,3,0.004692,0.005257,-0.000804,-0.000308,-0.02032,-0.015284,0.022191,0.017661
dio_mcm_episode_1v9dvrl,gemischter_pfad,junge_oberflaeche,rollenwechsel,stabil,verjuengung_oberflaeche,offene_bedeutungszone,junge_spur,0,0,0.008166,-0.043684,0.006698,0.060611,0.12303,0.24318,-0.089921,0.122551
dio_mcm_episode_1yzsm16,gemischter_pfad,junge_oberflaeche,rollenwechsel,stabil,verjuengung_oberflaeche,offene_bedeutungszone,junge_spur,1,-1,0.000853,-0.00215,-0.000764,0.003046,0.003392,0.012644,-0.003304,0.002106
dio_mcm_episode_0aztxel,junge_oberflaeche,offener_driftpfad,rollenwechsel,verjuengung_oberflaeche,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,-1,2,-0.004446,-0.031388,-0.02914,0.027307,-0.142849,0.001933,-0.030033,0.077507
dio_mcm_episode_0i8oyce,junge_oberflaeche,offener_driftpfad,rollenwechsel,verjuengung_oberflaeche,stabil,junge_spur,driftzone,0,1,0.004878,-0.004906,0.008352,0.011612,0.222142,0.118222,-0.069606,-0.096843
dio_mcm_episode_0ldht3x,junge_oberflaeche,offener_driftpfad,rollenwechsel,verjuengung_oberflaeche,oeffnung_oder_drift,junge_spur,driftzone,-1,-1,0.012367,-0.012326,0.000129,0.008222,0.001706,-0.010749,-0.062382,0.089843
dio_mcm_episode_1omwzzf,junge_oberflaeche,offener_driftpfad,rollenwechsel,stabil,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,0,1,-0.007135,-0.026292,0.014284,0.043458,0.08556,0.268484,-0.085639,-0.071712
dio_mcm_episode_1ovglru,junge_oberflaeche,offener_driftpfad,rollenwechsel,verjuengung_oberflaeche,reifung_oder_verdichtung,junge_spur,hoeherer_cluster_uebergang,-1,1,0.002483,-0.008818,-0.000667,0.011229,0.017607,0.038044,-0.057772,0.085752
dio_mcm_episode_00yl137,offener_driftpfad,junge_oberflaeche,rollenwechsel,oeffnung_oder_drift,stabil,driftzone,junge_spur,1,0,0.131146,0.131127,-0.166687,-0.171959,-0.58091,-0.593575,-0.120918,-0.119985
dio_mcm_episode_0ag2osp,offener_driftpfad,junge_oberflaeche,rollenwechsel,reifung_oder_verdichtung,verjuengung_oberflaeche,hoeherer_cluster_uebergang,junge_spur,1,-1,-0.024159,-0.03684,0.027015,0.031486,0.10571,0.007575,0.106441,0.156002
dio_mcm_episode_1ig1vs0,offener_driftpfad,junge_oberflaeche,rollenwechsel,oeffnung_oder_drift,stabil,driftzone,junge_spur,2,0,0.020887,0.014481,-0.051849,-0.048973,-0.053623,-0.049358,-0.224273,-0.252186
dio_mcm_episode_1pmt8u2,offener_driftpfad,junge_oberflaeche,rollenwechsel,oeffnung_oder_drift,verjuengung_oberflaeche,offene_bedeutungszone,junge_spur,0,-1,-0.012268,0.002568,0.015421,0.008035,0.05484,0.066151,0.022583,-0.049408
dio_mcm_episode_1q3us3f,rekoppelnder_pfad,stabile_insel,rollenwechsel,reifung_oder_verdichtung,stabil,rekopplungszone,stabile_bedeutungsinsel,0,0,0.006351,-0.008268,-0.006695,0.006981,-0.029795,0.02796,-0.061163,0.050518
dio_mcm_episode_17c7qwp,stabile_insel,brueckenpfad,rollenwechsel,stabil,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,0,1,0.005145,-2.7e-05,0.004661,-0.005856,0.030746,-0.023505,0.054328,0.025293
dio_mcm_episode_1eju9g0,stabile_insel,junge_oberflaeche,rollenwechsel,stabil,verjuengung_oberflaeche,stabile_bedeutungsinsel,junge_spur,0,0,0.005841,0.020879,0.006317,-0.018769,0.051225,-0.146688,-0.010835,0.004261
dio_mcm_episode_0w4x7xs,stabile_insel,rekoppelnder_pfad,rollenwechsel,stabil,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,0,1,-0.00406,0.001813,0.004073,-0.000358,0.016353,-0.015041,0.016773,0.005751
dio_mcm_episode_1jwnjz4,stabile_insel,rekoppelnder_pfad,rollenwechsel,stabil,reifung_oder_verdichtung,stabile_bedeutungsinsel,rekopplungszone,0,-1,0.007976,0.002764,-0.002824,0.000951,0.006043,0.017194,-0.017192,-0.002756
dio_mcm_episode_0wjn8vm,brueckenpfad,-,verschwunden,stabil,-,hoeherer_cluster_uebergang,-,0,0,-3.8e-05,0.0,-1.2e-05,0.0,0.000126,0.0,0.000229,0.0
dio_mcm_episode_14coypf,brueckenpfad,-,verschwunden,reifung_oder_verdichtung,-,stabile_bedeutungsinsel,-,-1,0,0.004193,0.0,-0.002197,0.0,0.0153,0.0,-0.032836,0.0
dio_mcm_episode_0e6va2r,gemischter_pfad,-,verschwunden,stabil,-,driftzone,-,0,0,2.1e-05,0.0,-4.8e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0igfdmt,gemischter_pfad,-,verschwunden,stabil,-,driftzone,-,0,0,1.7e-05,0.0,-3.4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0nj1l40,gemischter_pfad,-,verschwunden,stabil,-,driftzone,-,0,0,1.8e-05,0.0,-4e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1pwdejt,gemischter_pfad,-,verschwunden,stabil,-,offene_bedeutungszone,-,0,0,2.2e-05,0.0,-4.7e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_1rpy7z2,gemischter_pfad,-,verschwunden,stabil,-,driftzone,-,0,0,1.7e-05,0.0,-3.7e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0jrpwoa,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,2.7e-05,0.0,-5.7e-05,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0qzi7dq,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0r9ht2p,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,1e-06,0.0,-5e-06,0.0,0.0,0.0,0.0,0.0
dio_mcm_episode_0rt4pw4,junge_oberflaeche,-,verschwunden,stabil,-,junge_spur,-,0,0,2.3e-05,0.0,-5e-05,0.0,0.0,0.0,0.0,0.0
