pair,count,worlds,dominant_world,role_shift,role_share,effect,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
0hjnwsk->18n06fj,8,2,DOGE_2025_5M_10K (6/8),offene_variante->zentrum_stabil,0.500000,spannungsnah,0.003675,0.085747,-0.000330,0.002324,0.058784
0nyb3ro->0gqol8d,8,1,DOGE_2025_5M_10K (8/8),zentrum_stabil->zentrum_stabil,0.750000,bewegung_offen,-0.014059,-0.063791,0.000851,0.003771,-0.070163
14l8khu->0gqol8d,8,2,DOGE_2025_5M_10K (6/8),zentrum_stabil->zentrum_stabil,0.625000,oeffnend_belastend,0.091395,-0.061058,0.055446,-0.057868,0.281793
0e7qvj1->0kvu3mb,6,2,DOGE_2024_5M_10K (4/6),zentrum_stabil->spannungsrand_kippnaehe,0.833333,oeffnend_belastend,0.240377,-0.032616,0.112178,-0.153010,0.646488
1q3us3f->1hs3jsa,6,1,DOGE_2025_5M_10K (6/6),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.038902,0.050958,0.042649,-0.019866,0.168243
0aztxel->0hjnwsk,5,2,DOGE_2025_5M_10K (3/5),zentrum_stabil->zentrum_stabil,0.600000,rekoppelnd_entlastend,-0.015662,0.356583,0.001603,0.016303,0.002414
0v5p8er->14l8khu,5,1,DOGE_2024_5M_10K (5/5),zentrum_stabil->zentrum_stabil,0.800000,oeffnend_belastend,0.027951,-0.135013,0.009702,-0.020384,0.057124
14l8khu->0v5p8er,5,1,DOGE_2024_5M_10K (5/5),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.008281,0.141070,0.020232,0.008203,0.019367
17i4j9o->1ahj81f,5,2,DOGE_2024_5M_10K (4/5),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.048598,0.051535,-0.039997,0.042912,-0.123519
1hs3jsa->1q3us3f,5,1,DOGE_2025_5M_10K (5/5),zentrum_stabil->zentrum_stabil,0.600000,oeffnend_belastend,0.009458,-0.057291,-0.008006,-0.015780,-0.023306
0e7qvj1->19a388p,4,2,DOGE_2024_5M_10K (2/4),zentrum_stabil->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.280015,0.010822,0.158181,-0.177938,0.806336
1hdpu9s->0gqol8d,4,2,DOGE_2024_5M_10K (3/4),zentrum_stabil->zentrum_stabil,1.000000,bewegung_offen,-0.001836,0.001566,-0.005456,0.001997,0.005934
0d40zcv->0mji3u6,3,2,DOGE_2025_5M_10K (2/3),zentrum_stabil->zentrum_stabil,0.666667,spannungsnah,0.009821,0.045062,0.064809,0.001190,0.097379
0e7qvj1->0f1kb3e,3,2,DOGE_2024_5M_10K (2/3),zentrum_stabil->spannungsrand_kippnaehe,0.666667,oeffnend_belastend,0.234169,-0.333210,0.171258,-0.166754,0.632668
0jbl5pq->1yefj2f,3,2,DOGE_2025_5M_10K (2/3),zentrum_stabil->zentrum_stabil,1.000000,bewegung_offen,-0.027309,0.257849,-0.039900,-0.001185,-0.063802
0k1pid9->0lne9ax,3,2,DOGE_2024_5M_10K (2/3),zentrum_stabil->offene_variante,0.666667,oeffnend_belastend,0.000578,-0.279468,-0.040287,-0.007482,-0.071295
0l3i7ey->0lne9ax,3,2,DOGE_2025_5M_10K (2/3),offene_variante->zentrum_stabil,0.666667,rekoppelnd_entlastend,-0.049137,-0.012973,-0.023589,0.048705,-0.094666
0lne9ax->0l3i7ey,3,1,DOGE_2025_5M_10K (3/3),zentrum_stabil->offene_variante,0.666667,oeffnend_belastend,0.045141,-0.049333,0.058302,-0.048257,0.091722
0n5sqpn->0lne9ax,3,1,DOGE_2025_5M_10K (3/3),zentrum_stabil->zentrum_stabil,0.666667,spannungsnah,0.003735,0.022308,0.010453,0.002616,0.020784
0qzjuvj->0hjnwsk,3,1,DOGE_2025_5M_10K (3/3),offene_variante->offene_variante,0.666667,spannungsnah,0.005047,-0.065549,-0.011593,0.000195,0.011775
1ahj81f->17i4j9o,3,1,DOGE_2024_5M_10K (3/3),zentrum_stabil->zentrum_stabil,0.333333,oeffnend_belastend,0.083404,-0.013695,0.076654,-0.042628,0.266094
1hdpu9s->1rxdw4p,3,1,DOGE_2025_5M_10K (3/3),zentrum_stabil->zentrum_stabil,1.000000,bewegung_offen,-0.034120,0.018462,-0.035789,-0.000810,-0.132883
1rxdw4p->0lfde2c,3,1,DOGE_2025_5M_10K (3/3),zentrum_stabil->offene_variante,0.666667,oeffnend_belastend,0.058618,0.060905,-0.000515,-0.048507,0.134875
1rylps5->0mji3u6,3,2,DOGE_2025_5M_10K (2/3),zentrum_stabil->zentrum_stabil,0.666667,rekoppelnd_entlastend,-0.029666,0.131370,0.019170,0.051904,0.007032
1u741ze->1rylps5,3,2,DOGE_2025_5M_10K (2/3),zentrum_stabil->offene_variante,0.666667,rekoppelnd_entlastend,-0.009958,0.039052,0.009353,0.019861,0.004049
00dz86x->0u4438h,2,2,DOGE_2024_5M_10K (1/2),offene_variante->offene_variante,0.500000,bewegung_offen,-0.034357,-0.331851,-0.023121,-0.004435,-0.186491
00nzcuc->0b7nep9,2,1,DOGE_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.043238,-0.312493,-0.085814,0.008879,-0.199031
00yl137->00dz86x,2,2,DOGE_2024_5M_10K (1/2),offene_variante->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.097771,0.034457,-0.065612,0.098823,-0.148406
03hr8bf->1u741ze,2,1,DOGE_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.021009,0.209185,0.040358,-0.019865,0.057222
04g6nc4->1uf6l47,2,2,DOGE_2024_5M_10K (1/2),spannungsrand_kippnaehe->spannungsrand_kippnaehe,1.000000,rekoppelnd_entlastend,-0.108204,-0.131304,-0.215749,0.012326,-0.439489
0aztxel->0qzjuvj,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.062364,-0.287347,0.134961,-0.012332,0.263003
0b7nep9->00nzcuc,2,1,DOGE_2024_5M_10K (2/2),offene_variante->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.042062,0.139940,-0.017213,0.022113,-0.132212
0e7qvj1->0feihom,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->spannungsrand_kippnaehe,0.500000,oeffnend_belastend,0.206972,-0.083392,0.099722,-0.141413,0.559686
0e7qvj1->0tre8bg,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.226332,0.038300,0.080342,-0.149580,0.647754
0hjnwsk->0qzjuvj,2,1,DOGE_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,spannungsnah,0.010473,0.006451,0.010482,0.009408,0.078981
0kvu3mb->0q7j4gf,2,1,DOGE_2024_5M_10K (2/2),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.140241,-0.087409,0.012710,0.070087,-0.384525
0l3i7ey->0aztxel,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->offene_variante,0.500000,oeffnend_belastend,0.011783,0.057908,-0.010893,-0.011294,0.043229
0lfde2c->1rxdw4p,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,bewegung_offen,-0.001569,0.120173,0.032926,0.004564,0.071937
0mlk2ts->1wphx8j,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.039697,0.346815,-0.080208,0.009755,-0.197865
0mvt50o->0n5sqpn,2,1,DOGE_2025_5M_10K (2/2),offene_variante->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.067332,-0.052518,-0.040536,0.042623,-0.288243
0n5sqpn->0l3i7ey,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,0.500000,bewegung_offen,-0.028836,0.088581,-0.042312,-0.001776,-0.109287
0nuo9k1->17i4j9o,2,1,DOGE_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.031889,0.258722,-0.009836,0.024047,-0.063144
0o36jeo->03hr8bf,2,1,DOGE_2024_5M_10K (2/2),zentrum_stabil->offene_variante,0.500000,rekoppelnd_entlastend,-0.031143,0.004412,-0.011216,0.037513,-0.009809
0om13wf->0ultars,2,1,DOGE_2025_5M_10K (2/2),offene_variante->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.065912,0.162609,-0.015202,0.095580,-0.030020
0qhs6nb->0lne9ax,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.048062,0.306508,-0.024217,0.067646,-0.020394
0z748ck->0mji3u6,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->offene_variante,1.000000,bewegung_offen,-0.012225,-0.512187,-0.030659,-0.000348,-0.121487
10b8y4e->0d40zcv,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->offene_variante,0.500000,oeffnend_belastend,0.066000,0.005266,0.137569,-0.034929,0.250216
14coypf->14l8khu,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.019738,0.062030,0.001377,0.017296,-0.057918
14l8khu->0nyb3ro,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.115163,0.026657,0.068400,-0.054914,0.385503
18n06fj->0z748ck,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.043099,0.044466,0.046404,-0.032950,0.120667
1ahj81f->1jx2k4i,2,1,DOGE_2024_5M_10K (2/2),zentrum_stabil->zentrum_stabil,0.500000,oeffnend_belastend,0.048381,-0.295734,0.052319,-0.031192,0.109269
1bcj8qx->080f74u,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.041551,-0.009390,-0.049030,0.015476,-0.139405
1hs3jsa->1rxdw4p,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.150973,0.142043,0.020175,-0.095375,0.419548
1iq1hgz->0om13wf,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.036924,0.147461,-0.057203,0.011156,-0.087318
1mesbjy->0om13wf,2,1,DOGE_2024_5M_10K (2/2),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.052151,0.288654,-0.056171,0.055012,-0.049049
1rxdw4p->1hs3jsa,2,1,DOGE_2025_5M_10K (2/2),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.016311,-0.021597,-0.004384,0.006092,-0.050517
1u741ze->0kazrmx,2,1,DOGE_2025_5M_10K (2/2),offene_variante->zentrum_stabil,0.500000,rekoppelnd_entlastend,-0.011430,-0.019584,0.019751,0.033298,0.034441
1uf6l47->0qw9mto,2,2,DOGE_2024_5M_10K (1/2),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.071073,0.030855,-0.039272,0.044638,-0.248944
1y2gc2i->1y26981,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->spannungsrand_kippnaehe,0.500000,oeffnend_belastend,0.109523,-0.255340,0.027970,-0.064383,0.258921
1yefj2f->1aurt3q,2,2,DOGE_2024_5M_10K (1/2),zentrum_stabil->zentrum_stabil,1.000000,spannungsnah,0.040531,0.057700,0.029350,-0.001330,0.188139
00dz86x->1ppvnd6,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,spannungsnah,0.014567,-0.551261,0.016258,-0.001221,0.040987
00er6t0->00dz86x,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.050468,-0.076799,-0.010247,0.037586,-0.167515
00i7zy5->06ccuqv,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.033364,0.147510,-0.008197,0.040227,0.002872
00yl137->0ultars,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.074057,0.072096,-0.043250,0.076213,-0.121309
03hr8bf->0o36jeo,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,rekoppelnd_entlastend,-0.059984,0.000000,-0.059600,0.033979,-0.208711
04tuox8->0uhmzrl,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.048881,0.310177,-0.046117,0.032133,-0.054654
06ccuqv->08fjvls,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.021358,0.127863,-0.041087,0.010125,-0.025483
06ciaj1->1ve60mw,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.029252,0.002136,-0.010425,0.026512,-0.044677
06meqq1->199bl61,1,1,DOGE_2024_5M_10K (1/1),offene_variante->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.048242,-0.445950,0.038044,-0.044106,0.060505
080f74u->0z748ck,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.112573,-0.051425,0.134160,-0.069219,0.379491
08fjvls->1y2gc2i,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.022782,0.101552,-0.005594,-0.008230,0.079750
0ac3vc1->1bcj8qx,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,spannungsnah,0.000346,0.039185,-0.040971,0.024824,0.035189
0clehbn->0ne8zu9,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.086782,-0.153725,0.175357,-0.068620,0.252750
0e7qvj1->0oh9y6f,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.187101,-0.178146,0.099903,-0.158270,0.432065
0e7qvj1->1871pif,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.292774,-0.114286,0.141056,-0.181055,0.795088
0e7qvj1->18l3thm,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.070828,0.248252,-0.086412,0.028161,-0.232426
0f1kb3e->0fcrb39,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.166465,0.075043,-0.101179,0.113492,-0.452646
0fcrb39->0n5sqpn,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.016951,0.178317,0.006762,0.041665,0.041720
0feihom->0r1o8ja,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.161693,0.008261,-0.016223,0.081577,-0.507061
0jbl5pq->0aztxel,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,rekoppelnd_entlastend,-0.105779,-0.604036,0.009089,0.030983,-0.388592
0kvu3mb->1vfs1bz,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.127088,0.249173,-0.188234,0.043759,-0.390016
0kvu3mb->1vpxy0w,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.075588,-0.002281,0.008631,0.041471,-0.222513
0ldenly->0lne9ax,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,oeffnend_belastend,0.003601,-0.237722,-0.035540,-0.009680,0.015563
0lne9ax->0aztxel,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.045411,-0.159381,-0.034529,0.055493,-0.110507
0lne9ax->0sv0ru8,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,spannungsnah,0.027309,0.187143,0.000333,0.018732,0.199206
0m0vlsy->0hjnwsk,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.039993,0.106289,0.075084,-0.007763,0.216862
0mji3u6->04g6nc4,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.189164,0.144431,0.240998,-0.123104,0.504572
0mlk2ts->0lne9ax,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,bewegung_offen,-0.034030,0.020102,-0.124682,0.001618,-0.193347
0mlk2ts->0sv0ru8,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.002726,-0.031373,-0.004036,0.006886,0.018638
0ne8zu9->0m0vlsy,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.093474,-0.349958,-0.176810,0.047477,-0.375133
0oh9y6f->1ve60mw,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.109710,0.177146,-0.040901,0.058631,-0.324804
0om13wf->0clehbn,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,spannungsnah,0.002482,0.337489,-0.015108,0.003310,0.064121
0om13wf->0tf9fq3,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,spannungsnah,0.017166,-0.318779,0.053483,0.018826,0.102601
0opcw3b->0o36jeo,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.022614,-0.015921,-0.004354,0.019327,-0.049902
0pfredm->0ldenly,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,rekoppelnd_entlastend,-0.088808,0.044631,-0.049003,0.071045,-0.276538
0pxjirg->0pfredm,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,oeffnend_belastend,0.052953,0.164226,0.043150,-0.022481,0.183253
0q7j4gf->0mlk2ts,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.116656,0.226514,-0.182662,0.082773,-0.376317
0q7j4gf->0qhs6nb,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.094618,-0.557135,-0.072564,0.034956,-0.379732
0qw9mto->1vfs1bz,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->offene_variante,1.000000,rekoppelnd_entlastend,-0.040866,0.304338,0.021349,0.058549,0.040712
0qzjuvj->0ac3vc1,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.006850,0.072825,0.000463,0.013231,0.010047
0r1o8ja->0mlk2ts,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.061076,0.294849,-0.036990,0.068986,-0.057648
0sv0ru8->0jbl5pq,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.047569,-0.088348,-0.017942,0.021842,-0.197514
0sv0ru8->0lne9ax,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.046910,-0.435895,0.072348,-0.027611,0.074826
0tf9fq3->0l3i7ey,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.046372,-0.080142,-0.056806,0.026314,-0.147444
0u4438h->18n06fj,1,1,DOGE_2024_5M_10K (1/1),offene_variante->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.011295,0.169928,0.039852,0.040081,0.097678
0uhmzrl->0xzw5wy,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,oeffnend_belastend,0.001131,-0.621910,0.056634,-0.007030,-0.036597
0ultars->00dz86x,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.019407,-0.428608,-0.026449,-0.030353,-0.056866
0xzw5wy->0opcw3b,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.011222,-0.419507,-0.051735,-0.034194,-0.106539
17i4j9o->0nuo9k1,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,oeffnend_belastend,0.031910,-0.128377,0.003644,-0.025393,0.090487
1871pif->195dhqf,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.173015,0.199195,0.047721,0.104721,-0.398796
18l3thm->0e7qvj1,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.095511,0.007566,0.031059,-0.070861,0.297023
18vdw1g->0k1pid9,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.048579,0.265593,-0.103673,0.035966,-0.145273
195dhqf->0pxjirg,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,bewegung_offen,-0.008425,-0.728658,-0.058585,-0.010811,-0.132631
199bl61->1iq1hgz,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.086918,0.394738,-0.020967,0.095406,-0.035425
19a388p->06ciaj1,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->spannungsrand_kippnaehe,1.000000,rekoppelnd_entlastend,-0.112749,-0.104268,0.063405,0.041541,-0.407989
19a388p->0qw9mto,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->spannungsrand_kippnaehe,1.000000,rekoppelnd_entlastend,-0.116837,-0.395892,0.008335,0.032864,-0.489894
19cadje->18vdw1g,1,1,DOGE_2024_5M_10K (1/1),spannungsrand_kippnaehe->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.207224,0.339790,-0.043642,0.125754,-0.483348
1ahj81f->1t42af6,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->spannungsrand_kippnaehe,1.000000,oeffnend_belastend,0.116428,-0.224681,0.078350,-0.084118,0.246656
1aurt3q->1bcj8qx,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.077898,-0.095206,0.099736,-0.031517,0.252217
1bcj8qx->1hdpu9s,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.002643,0.090102,-0.008933,0.007736,0.023916
1i31hl0->0om13wf,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.023275,-0.510771,-0.016918,0.027455,-0.070015
1iq1hgz->00er6t0,1,1,DOGE_2024_5M_10K (1/1),offene_variante->offene_variante,1.000000,rekoppelnd_entlastend,-0.092860,0.317805,-0.164029,0.070799,-0.224134
1iq1hgz->00yl137,1,1,DOGE_2024_5M_10K (1/1),zentrum_stabil->offene_variante,1.000000,oeffnend_belastend,0.070574,-0.453173,0.027563,-0.075378,0.086984
