label,candidate_class,role_count,durable_role_count,long_role_count,strain_role_count,durable_duration_share,strain_duration_share,top_role_duration_share,real_a_unique_symbols,real_a_rekopplung,real_a_carry,real_a_strain,real_a_afterimage,sleep_touched_role_count,sleep_combination_trace_count,sleep_full_reactivated,top_roles,data_path,follow_data_path
sol2024_sleep_reorg_to_bridge2024,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_2024_bridge_test1_1000_5m_SOLUSDT.csv
sol2024_sleep_reorg_to_btc2024,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv
sol2024_sleep_reorg_to_mosaic1525,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\synthetic_1525_melody_randrollen_interwoven_mosaic_2400_5m.csv
sol2024_sleep_reorg_to_quiet2025,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_real_quiet_sol_2025_5m_2000.csv
sol2024_sleep_reorg_to_stress2024,real_a_mehrrollen_ohne_sleep_nachweis,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,3,0,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_2024_negative_stress_test1_1000_5m_SOLUSDT.csv
sol2024_soft_sleep_combo_mosaic1525,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\synthetic_1525_melody_randrollen_interwoven_mosaic_2400_5m.csv
sol2024_soft_sleep_combo_mosaic1525_r2,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\synthetic_1525_melody_randrollen_interwoven_mosaic_2400_5m.csv
sol2024_soft_sleep_combo_quiet2025,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,1,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_real_quiet_sol_2025_5m_2000.csv
sol2024_soft_sleep_combo_quiet2025_r2,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,1,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_real_quiet_sol_2025_5m_2000.csv
sol2024_soft_sleep_combo_same,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,10,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv
sol2024_soft_sleep_combo_same_r2,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,10,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv
sol2024_soft_sleep_combo_stress2024,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_2024_negative_stress_test1_1000_5m_SOLUSDT.csv
sol2024_soft_sleep_combo_stress2024_r2,real_a_mehrrollen_mit_sleep_kombination,5,3,3,2,0.9989969909729187,0.0010030090270812437,0.5877632898696088,351.0,0.693318,0.509901,0.157341,0.132651,5,10,0,dio_mcm_episode_1k2bqha:field_carried:1172; dio_mcm_episode_1wra2fc:field_carried:602; dio_mcm_episode_0e7qvj1:field_carried:218; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_0qrlave:field_strained:1,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,data\kontrolliert_2024_negative_stress_test1_1000_5m_SOLUSDT.csv
