asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0z9t,70,3,field_stabil,33,0.016516516516516516,0.7525969696969697,0.16244569696969696,0.6147310303030303,0.8241667272727273,14,0.007007007007007007,0.7612145714285715,0.17148421428571428,0.8838125,0.9411579285714285,23,0.011511511511511512,0.7590401304347827,0.1696517391304348,0.8958135217391304,0.9514305217391305,-0.005005005005005003,0.2810824914361001,0.12726379446640312,0.0072060421607378355,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0obq,70,3,field_stabil,24,0.012012012012012012,0.7423635833333333,0.17025791666666668,0.5584746666666667,0.790692125,22,0.011011011011011011,0.7479928181818182,0.17813536363636365,0.8588741363636363,0.9349146363636364,24,0.012012012012012012,0.7539459166666665,0.18081641666666667,0.8908090416666666,0.949605375,0.0,0.33233437499999996,0.15891325,0.010558499999999998,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0g2r,67,3,field_stabil,23,0.011511511511511512,0.7447101304347826,0.15900604347826086,0.5324302608695652,0.7826296521739131,29,0.014514514514514515,0.7494725862068965,0.16848158620689654,0.8501787931034482,0.9316490000000001,15,0.0075075075075075074,0.7504722,0.1748992666666667,0.8800061333333333,0.9478216666666667,-0.004004004004004005,0.3475758724637681,0.16519201449275356,0.01589322318840583,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1jc2,66,3,field_stabil,22,0.011011011011011011,0.77103,0.12815327272727273,0.5346734545454546,0.7826557727272726,22,0.011011011011011011,0.7769072272727272,0.13588290909090908,0.837468590909091,0.9284986363636364,22,0.011011011011011011,0.7807922727272728,0.1398186818181818,0.8998566363636363,0.9552443181818181,0.0,0.36518318181818177,0.1725885454545455,0.011665409090909074,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_07o8,63,3,field_stabil,19,0.00950950950950951,0.7388641578947368,0.1677898947368421,0.49130178947368425,0.7593651052631579,12,0.006006006006006006,0.7464185833333333,0.18137899999999998,0.8424748333333333,0.9216618333333333,32,0.016016016016016016,0.75805371875,0.17725703125,0.870526625,0.93947884375,0.006506506506506506,0.37922483552631575,0.1801137384868421,0.009467136513157892,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1q85,60,3,field_stabil,22,0.011011011011011011,0.7466619090909091,0.17222659090909093,0.53689,0.7762897272727273,23,0.011511511511511512,0.7432351304347826,0.18590321739130436,0.8424609130434783,0.9260067391304349,15,0.0075075075075075074,0.7482064,0.18453513333333332,0.8827762,0.946491,-0.0035035035035035035,0.34588620000000003,0.1702012727272727,0.012308542424242397,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0dd2,60,3,field_stabil,21,0.010510510510510511,0.7702923333333332,0.14811909523809524,0.516832238095238,0.7754480952380953,16,0.008008008008008008,0.7691434375,0.1548926875,0.816877875,0.918473625,23,0.011511511511511512,0.7720855217391305,0.15941221739130434,0.8707082173913043,0.9453529130434783,0.001001001001001001,0.3538759792960663,0.16990481780538302,0.0112931221532091,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1uof,53,3,field_stabil,18,0.009009009009009009,0.7421328333333332,0.1542275,0.4757818888888889,0.7513668333333333,24,0.012012012012012012,0.7512360833333332,0.16507458333333333,0.8317798750000001,0.9232254166666666,11,0.0055055055055055055,0.7470648181818181,0.1718649090909091,0.8865069090909091,0.9440981818181818,-0.0035035035035035035,0.41072502020202023,0.19273134848484852,0.017637409090909106,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0kx9,53,3,field_stabil,19,0.00950950950950951,0.7709454210526316,0.12811436842105262,0.5025686842105263,0.7677111052631579,16,0.008008008008008008,0.775401125,0.1365784375,0.8273835,0.919834375,18,0.009009009009009009,0.7807101111111111,0.14063372222222223,0.8881451111111112,0.9484636666666666,-0.0005005005005005014,0.3855764269005849,0.1807525614035087,0.012519353801169614,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_05yg,52,3,field_stabil,19,0.00950950950950951,0.7227854736842105,0.18871673684210524,0.49019089473684213,0.7573419473684211,14,0.007007007007007007,0.7330348571428571,0.19732714285714284,0.8378779285714285,0.9195507857142857,19,0.00950950950950951,0.7298397894736842,0.20226489473684212,0.8913908421052632,0.9454942105263159,0.0,0.4011999473684211,0.1881522631578948,0.013548157894736873,kernfamilie_mit_feldzeitverdichtung
