world,start_tick,end_tick,duration,center_tick,previous_role,next_role,previous_duration,next_duration,avg_raw_field_intake,avg_auditory_loudness,avg_visual_sharpness,avg_rekopplung,avg_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class
SOL_STRESS_CURRENT,2092,2092,1,2092,zentrum_stabil,offene_variante,2,3,0.518564,0.912058,0.551092,0.562721,0.313817,71,0.04664655,0.06938965,0.00280121,0.11428571,4.22395558,0.45319937,bewegungsbruch
BTC_QUIET_CURRENT,1506,1506,1,1506,offene_variante,offene_variante,1,3,0.518906,0.908101,0.448809,0.548963,0.323675,71,-0.00214676,0.01146642,0.00051484,0.14285714,8.94174393,0.65476842,bewegungsbruch
SOL_STRESS_CURRENT,1795,1795,1,1795,zentrum_stabil,offene_variante,3,3,0.527041,0.905726,0.593866,0.574231,0.290877,71,0.01294979,0.05041928,0.00288687,0.13043478,5.30365822,0.49398823,bewegungsbruch
BTC_STRESS_CURRENT,1203,1203,1,1203,rekopplungsnaehe,zentrum_stabil,1,3,0.529655,0.902217,0.631351,0.562246,0.311005,71,0.00362531,0.01351429,0.00090858,0.0,3.43560214,0.57284,bewegungsbruch
SOL_QUIET_CURRENT,2550,2550,1,2550,zentrum_stabil,offene_variante,5,1,0.527885,0.901319,0.720661,0.58053,0.287096,71,-0.00855267,0.01499729,0.00068289,0.02941176,3.98876404,0.50249688,bewegungsbruch
SOL_QUIET_CURRENT,2664,2664,1,2664,rekopplungsnaehe,offene_variante,1,1,0.513078,0.900296,0.495433,0.54099,0.334493,71,-0.01541903,0.02829846,0.00125532,0.01449275,3.52001469,0.54131473,bewegungsbruch
BTC_QUIET_CURRENT,3495,3495,1,3495,offene_variante,offene_variante,1,1,0.514527,0.890464,0.608321,0.561728,0.309088,71,-0.0033395,0.01266843,0.00066612,0.11428571,5.15217367,0.59767506,bewegungsbruch
BTC_QUIET_CURRENT,1601,1601,1,1601,zentrum_stabil,offene_variante,1,3,0.50508,0.890215,0.593552,0.54479,0.332793,71,-0.00569958,0.01353449,0.00058032,0.2173913,4.84269341,0.59585449,bewegungsbruch
BTC_QUIET_CURRENT,1500,1500,1,1500,offene_variante,offene_variante,1,3,0.516866,0.883294,0.642743,0.582542,0.28191,71,-0.00327968,0.01146018,0.00047053,0.11428571,9.22417501,0.61766271,bewegungsbruch
BTC_QUIET_CURRENT,539,539,1,539,rekopplungsnaehe,offene_variante,1,7,0.504134,0.880486,0.70078,0.550809,0.326879,71,-0.02440704,0.03567202,0.00139944,0.14285714,4.11972116,0.53759309,bewegungsbruch
SOL_QUIET_CURRENT,1694,1694,1,1694,zentrum_stabil,offene_variante,2,1,0.500993,0.877548,0.280832,0.528262,0.350361,71,-0.02029531,0.03870816,0.00169521,0.02857143,3.602537,0.54069767,bewegungsbruch
BTC_QUIET_CURRENT,3129,3129,1,3129,zentrum_stabil,rekopplungsnaehe,3,1,0.510944,0.876179,0.620861,0.566805,0.305173,71,0.0011608,0.0036214,0.00035893,0.05882353,4.34770262,0.73350083,bewegungsbruch
BTC_STRESS_CURRENT,1782,1782,1,1782,zentrum_stabil,offene_variante,1,3,0.508309,0.875362,0.647504,0.598895,0.267684,71,-0.02526232,0.04792095,0.00183167,0.02857143,3.03331921,0.533792,bewegungsbruch
SOL_STRESS_CURRENT,2834,2834,1,2834,zentrum_stabil,offene_variante,2,1,0.497842,0.875121,0.677352,0.579937,0.295218,71,0.09699671,0.12087446,0.00536147,0.17142857,2.90975576,0.49496343,bewegungsbruch
BTC_QUIET_CURRENT,1276,1276,1,1276,offene_variante,offene_variante,1,1,0.505413,0.872675,0.700672,0.564106,0.30897,71,-0.00498018,0.00791249,0.00036779,0.17142857,5.3897484,0.61900673,bewegungsbruch
BTC_QUIET_CURRENT,3405,3405,1,3405,zentrum_stabil,offene_variante,1,3,0.495591,0.872674,0.646311,0.565068,0.315147,71,0.00759171,0.01611573,0.00081436,0.15942029,3.91154565,0.64818302,bewegungsbruch
SOL_STRESS_CURRENT,1759,1759,1,1759,zentrum_stabil,offene_variante,6,2,0.49147,0.871756,0.590033,0.549238,0.325785,71,0.01568038,0.05692192,0.00287408,0.22857143,5.74134589,0.52617004,bewegungsbruch
BTC_STRESS_CURRENT,251,251,1,251,zentrum_stabil,offene_variante,1,4,0.504857,0.86964,0.689861,0.570411,0.300119,71,-0.00939269,0.0162227,0.00066617,0.02857143,4.42496635,0.58386583,bewegungsbruch
SOL_QUIET_CURRENT,1951,1951,1,1951,zentrum_stabil,offene_variante,4,4,0.497792,0.867149,0.688366,0.552606,0.32465,71,-0.00023952,0.0160479,0.00103399,0.10144928,3.78426396,0.51861252,bewegungsbruch
SOL_QUIET_CURRENT,2788,2788,1,2788,zentrum_stabil,offene_variante,3,1,0.493568,0.863367,0.63211,0.549476,0.327681,71,0.00894937,0.02108618,0.00144696,0.10447761,3.16737219,0.54575057,bewegungsbruch
BTC_QUIET_CURRENT,349,349,1,349,offene_variante,offene_variante,1,9,0.493107,0.863188,0.687858,0.554697,0.321488,71,-0.00778504,0.01626483,0.00099298,0.05714286,4.14743984,0.520283,bewegungsbruch
SOL_QUIET_CURRENT,3856,3856,1,3856,zentrum_stabil,offene_variante,1,2,0.487765,0.859443,0.508772,0.568176,0.306769,71,-0.00693473,0.02902098,0.00122378,0.01449275,4.38505528,0.56843309,bewegungsbruch
BTC_QUIET_CURRENT,41,41,1,41,offene_variante,offene_variante,3,13,0.485268,0.859406,0.637472,0.555228,0.319508,71,-0.00118225,0.01571132,0.00098872,0.25714286,3.99474943,0.52993847,bewegungsbruch
SOL_QUIET_CURRENT,1247,1247,1,1247,offene_variante,offene_variante,1,2,0.479789,0.857269,0.507521,0.545775,0.32814,71,0.0126166,0.02858168,0.00183004,0.02857143,2.93373646,0.54749307,bewegungsbruch
BTC_STRESS_CURRENT,772,772,1,772,zentrum_stabil,offene_variante,2,2,0.492989,0.856273,0.64429,0.559537,0.314184,71,-0.0078941,0.025196,0.00122996,0.02857143,5.15313346,0.57661148,bewegungsbruch
BTC_STRESS_CURRENT,191,191,1,191,rekopplungsnaehe,offene_variante,2,9,0.50214,0.855958,0.722599,0.588176,0.276795,71,-0.00081629,0.02821348,0.00132552,0.01449275,5.2642097,0.56201364,bewegungsbruch
BTC_STRESS_CURRENT,3165,3165,1,3165,zentrum_stabil,offene_variante,5,1,0.495681,0.853775,0.698088,0.566509,0.310342,71,0.00580483,0.02083071,0.00121676,0.17142857,2.42205278,0.45269548,bewegungsbruch
BTC_STRESS_CURRENT,2197,2197,1,2197,zentrum_stabil,zentrum_stabil,4,1,0.502501,0.853089,0.568968,0.582768,0.279586,71,0.00540926,0.01655054,0.00126883,0.05714286,2.83299833,0.52395392,bewegungsbruch
SOL_QUIET_CURRENT,1537,1537,1,1537,rekopplungsnaehe,offene_variante,1,2,0.481282,0.852451,0.531875,0.546798,0.329244,71,-0.00295648,0.02560312,0.00216031,0.11764706,3.08005367,0.58005367,bewegungsbruch
BTC_QUIET_CURRENT,3080,3080,1,3080,offene_variante,rekopplungsnaehe,2,1,0.49798,0.851895,0.701731,0.566301,0.308918,71,-0.00038562,0.00346729,0.00030509,0.04347826,3.06313596,0.64746366,bewegungsbruch
BTC_QUIET_CURRENT,1437,1437,1,1437,rekopplungsnaehe,offene_variante,1,4,0.48029,0.847848,0.677196,0.58593,0.287271,71,-0.00377829,0.01058112,0.00057337,0.08571429,6.29931249,0.58829145,bewegungsbruch
SOL_STRESS_CURRENT,87,87,1,87,rekopplungsnaehe,offene_variante,1,10,0.490277,0.839263,0.443015,0.572048,0.292565,71,0.01869705,0.03418054,0.00208888,0.10144928,2.44827586,0.55281307,bewegungsbruch
BTC_STRESS_CURRENT,3911,3911,1,3911,offene_variante,offene_variante,1,2,0.477813,0.838168,0.575962,0.575997,0.295546,71,0.00711387,0.02591936,0.00172418,0.05714286,2.95812844,0.56126348,bewegungsbruch
BTC_STRESS_CURRENT,456,456,1,456,offene_variante,rekopplungsnaehe,1,2,0.488424,0.836318,0.592473,0.57513,0.291316,71,0.00814819,0.01754763,0.00084166,0.02941176,7.02207936,0.63811378,bewegungsbruch
SOL_STRESS_CURRENT,3370,3370,1,3370,zentrum_stabil,offene_variante,6,4,0.463659,0.831685,0.54476,0.584972,0.290158,71,-0.03295697,0.06357441,0.00357306,0.17142857,4.23665517,0.50619038,bewegungsbruch
SOL_QUIET_CURRENT,2038,2038,1,2038,zentrum_stabil,offene_variante,1,3,0.471542,0.82733,0.697693,0.572406,0.306512,71,-0.0043807,0.03132501,0.00162449,0.02941176,3.73976532,0.5011734,bewegungsbruch
BTC_QUIET_CURRENT,2047,2047,1,2047,zentrum_stabil,offene_variante,4,3,0.458182,0.824411,0.551128,0.5879,0.28643,71,0.00553896,0.01941018,0.00121329,0.11428571,4.04649237,0.6049356,bewegungsbruch
SOL_STRESS_CURRENT,1260,1260,1,1260,rekopplungsnaehe,offene_variante,1,3,0.471035,0.82394,0.599307,0.576889,0.29449,71,-0.0149857,0.04042197,0.00219814,0.17142857,3.16336634,0.46097845,bewegungsbruch
BTC_STRESS_CURRENT,2658,2658,1,2658,offene_variante,offene_variante,1,3,0.449415,0.818711,0.45271,0.581263,0.286675,71,0.07782193,0.11095984,0.00633179,0.0,3.52145867,0.53900919,bewegungsbruch
SOL_STRESS_CURRENT,1510,1510,1,1510,rekopplungsnaehe,offene_variante,3,10,0.461543,0.817066,0.579083,0.554744,0.317733,71,-0.04527041,0.08061576,0.00282575,0.17142857,3.57376643,0.49119762,bewegungsbruch
BTC_QUIET_CURRENT,1845,1845,1,1845,zentrum_stabil,offene_variante,1,3,0.451318,0.816756,0.495667,0.580755,0.288422,71,-0.02715311,0.0309737,0.00111597,0.28571429,4.95461885,0.60441488,bewegungsbruch
BTC_QUIET_CURRENT,2850,2850,1,2850,zentrum_stabil,offene_variante,1,4,0.45084,0.811403,0.517844,0.556017,0.315292,71,-0.018539,0.03483895,0.00120918,0.08571429,4.34816574,0.52701668,bewegungsbruch
BTC_QUIET_CURRENT,1236,1236,1,1236,rekopplungsnaehe,offene_variante,1,3,0.469786,0.809511,0.675327,0.57622,0.295997,71,0.00053242,0.00443335,0.00032875,0.08571429,3.58794218,0.68163794,bewegungsbruch
SOL_QUIET_CURRENT,2766,2766,1,2766,zentrum_stabil,offene_variante,1,3,0.462175,0.808953,0.698738,0.573802,0.303065,71,0.00411649,0.02113541,0.0012513,0.09090909,3.52427536,0.52391304,bewegungsbruch
SOL_STRESS_CURRENT,3939,3939,1,3939,rekopplungsnaehe,offene_variante,1,5,0.455278,0.808636,0.635493,0.576179,0.299633,71,0.02514227,0.0683911,0.00307921,0.0,3.69385621,0.5524183,bewegungsbruch
BTC_QUIET_CURRENT,3274,3274,1,3274,zentrum_stabil,zentrum_stabil,3,6,0.471337,0.808403,0.666801,0.57693,0.293219,71,-0.00023106,0.00394024,0.00034121,0.01449275,3.01817584,0.64358518,bewegungsbruch
SOL_QUIET_CURRENT,3850,3850,1,3850,zentrum_stabil,offene_variante,2,2,0.462988,0.807971,0.607284,0.564277,0.306988,71,-0.01366452,0.03010827,0.00131051,0.04347826,4.21318681,0.58864469,bewegungsbruch
BTC_STRESS_CURRENT,3772,3772,1,3772,zentrum_stabil,offene_variante,12,1,0.461574,0.807778,0.539682,0.593967,0.279142,71,-0.01356125,0.01699424,0.0013166,0.08571429,3.46415787,0.5432732,bewegungsbruch
SOL_STRESS_CURRENT,2803,2803,1,2803,zentrum_stabil,offene_variante,5,3,0.461534,0.805565,0.670357,0.60284,0.26987,71,0.01021385,0.06798596,0.00377775,0.0,4.09217931,0.48922958,bewegungsbruch
SOL_STRESS_CURRENT,299,299,1,299,zentrum_stabil,offene_variante,3,9,0.459669,0.803903,0.621852,0.57858,0.291831,71,0.02708699,0.05574559,0.00269659,0.11428571,3.09884467,0.53170732,bewegungsbruch
BTC_QUIET_CURRENT,2838,2838,1,2838,zentrum_stabil,offene_variante,1,3,0.45443,0.803227,0.68912,0.576008,0.301984,71,-0.00727399,0.02640632,0.00110116,0.02857143,4.88914684,0.53792361,bewegungsbruch
BTC_STRESS_CURRENT,1978,1978,1,1978,zentrum_stabil,offene_variante,2,1,0.464186,0.799085,0.708291,0.613543,0.255274,71,0.00917383,0.01336221,0.00079316,0.30434783,3.25133224,0.47376151,bewegungsbruch
BTC_QUIET_CURRENT,3843,3843,1,3843,zentrum_stabil,rekopplungsnaehe,2,1,0.454051,0.794898,0.504894,0.595616,0.270404,71,0.00436185,0.01009738,0.00066612,0.02857143,3.91174467,0.5836383,bewegungsbruch
BTC_QUIET_CURRENT,2965,2965,1,2965,rekopplungsnaehe,offene_variante,1,1,0.456187,0.793708,0.574347,0.573703,0.292722,71,-0.00336416,0.00809671,0.00059928,0.02857143,3.43608919,0.59323202,bewegungsbruch
SOL_STRESS_CURRENT,865,865,1,865,offene_variante,offene_variante,1,4,0.444654,0.790471,0.518338,0.585949,0.280859,71,0.01001001,0.03563564,0.00279998,0.02857143,3.21797223,0.5203039,bewegungsbruch
SOL_STRESS_CURRENT,2741,2741,1,2741,offene_variante,offene_variante,1,5,0.452959,0.790267,0.7275,0.596104,0.280347,71,-0.04692806,0.06781929,0.00264528,0.08571429,4.28964904,0.40537539,bewegungsbruch
BTC_QUIET_CURRENT,1675,1675,1,1675,zentrum_stabil,offene_variante,3,1,0.451861,0.789993,0.672932,0.563336,0.309395,71,0.00474348,0.01370113,0.00069475,0.17142857,2.92900695,0.58117446,bewegungsbruch
BTC_QUIET_CURRENT,267,267,1,267,zentrum_stabil,offene_variante,1,12,0.441501,0.789575,0.435587,0.59131,0.27114,71,-0.00069044,0.01753084,0.00107377,0.05714286,3.76931311,0.47860687,bewegungsbruch
BTC_QUIET_CURRENT,624,624,1,624,offene_variante,offene_variante,1,3,0.440032,0.78944,0.674512,0.572504,0.296729,71,-0.00185071,0.03027965,0.00184993,0.02857143,3.89488874,0.54969276,bewegungsbruch
BTC_QUIET_CURRENT,2550,2550,1,2550,rekopplungsnaehe,offene_variante,2,2,0.459682,0.789122,0.610034,0.589829,0.27253,71,0.01146746,0.02021855,0.00102691,0.14285714,3.593611,0.55994432,bewegungsbruch
SOL_QUIET_CURRENT,801,801,1,801,offene_variante,offene_variante,1,1,0.447173,0.788047,0.699859,0.566973,0.304385,71,0.00604887,0.01705783,0.00131883,0.0,2.62422998,0.52977413,bewegungsbruch
SOL_STRESS_CURRENT,3963,3963,1,3963,zentrum_stabil,offene_variante,5,1,0.451897,0.787879,0.578918,0.59812,0.268355,71,-0.0233522,0.07955924,0.0031609,0.08571429,3.26531084,0.51305755,bewegungsbruch
BTC_QUIET_CURRENT,2799,2799,1,2799,offene_variante,offene_variante,1,1,0.443812,0.78708,0.477997,0.552656,0.321329,71,0.00141647,0.0085647,0.00061266,0.07246377,3.67852613,0.6001321,bewegungsbruch
SOL_STRESS_CURRENT,193,193,1,193,zentrum_stabil,offene_variante,2,4,0.440278,0.784954,0.552827,0.585288,0.283911,71,0.02752643,0.04124202,0.00212495,0.01492537,3.76894753,0.48603866,bewegungsbruch
SOL_QUIET_CURRENT,323,323,1,323,offene_variante,offene_variante,5,4,0.440901,0.778818,0.569503,0.55928,0.312704,71,-0.00992321,0.02404017,0.00127617,0.04347826,2.86151515,0.46484848,bewegungsbruch
BTC_STRESS_CURRENT,130,130,1,130,rekopplungsnaehe,offene_variante,1,1,0.446419,0.77402,0.468267,0.57672,0.286121,71,0.00221065,0.03683848,0.00231053,0.2,5.55019643,0.55489253,bewegungsbruch
SOL_STRESS_CURRENT,2734,2734,1,2734,rekopplungsnaehe,offene_variante,1,1,0.454261,0.773746,0.747166,0.580658,0.290686,71,-0.04126363,0.06781231,0.0025711,0.02857143,4.48178232,0.41169645,bewegungsbruch
BTC_QUIET_CURRENT,3566,3566,1,3566,zentrum_stabil,offene_variante,5,1,0.438171,0.767874,0.704519,0.581234,0.292964,71,0.00721334,0.0174113,0.0007714,0.08571429,4.00399608,0.61598665,bewegungsbruch
BTC_STRESS_CURRENT,295,295,1,295,zentrum_stabil,zentrum_stabil,1,3,0.446734,0.767855,0.680163,0.592616,0.268015,71,0.00495093,0.00912763,0.000557,0.24637681,2.94103196,0.56943104,bewegungsbruch
SOL_QUIET_CURRENT,502,502,1,502,zentrum_stabil,offene_variante,2,2,0.435519,0.767787,0.524435,0.561996,0.307596,71,-0.01018888,0.0179944,0.00110692,0.04347826,2.36761752,0.5299317,bewegungsbruch
