role_family,symbol_family,follow_status,seed_ratio,seed_real_events,seed_null_events,follow_events,follow_field,follow_reifung,carry,strain,rekopplung,follow_labels,boundary
rf_05,dio_0u24,folge_stabil_feldgleich,2.039093,111,49,85,tragende_rekopplung,weltuebergreifend_feldstabil,0.513000,0.120000,0.708000,paxg2025:1;doge2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;sol2026_stable:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_0qup,folge_stabil_feldgleich,1.988682,95,43,74,tragende_rekopplung,weltuebergreifend_feldstabil,0.513000,0.124000,0.709000,xrp2025_clean:1;doge2025:1;doge2025_clean:1;btc2025_current:1;paxg2025:1;sol2026_stable:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_0s8r,folge_stabil_feldgleich,2.286070,160,63,147,tragende_rekopplung,weltuebergreifend_feldstabil,0.481000,0.176000,0.683000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_1xme,folge_stabil_feldgleich,1.814345,129,64,126,tragende_rekopplung,weltuebergreifend_feldstabil,0.463000,0.181000,0.671000,paxg2025:1;doge2025:1;xrp2025_clean:1;sol2026_stable:1;btc2025_current:1;doge2025_clean:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_0f8s,folge_stabil_feldgleich,3.325941,218,59,111,tragende_rekopplung,weltuebergreifend_feldstabil,0.468000,0.177000,0.677000,paxg2025:1;doge2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_0nx9,folge_stabil_feldgleich,1.637960,111,61,105,tragende_rekopplung,weltuebergreifend_feldstabil,0.466000,0.177000,0.674000,doge2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;paxg2025:1;paxg2025_follow:1;sol2026_stable:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_0gh3,folge_stabil_feldgleich,3.141665,178,51,92,tragende_rekopplung,weltuebergreifend_feldstabil,0.471000,0.175000,0.674000,doge2025:1;paxg2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_1ejq,folge_stabil_feldgleich,2.087559,109,47,82,tragende_rekopplung,weltuebergreifend_feldstabil,0.482000,0.175000,0.679000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_0lr0,folge_stabil_feldgleich,1.820738,89,44,72,tragende_rekopplung,weltuebergreifend_feldstabil,0.468000,0.176000,0.665000,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;doge2025_follow:1;btc2025_follow:1;sol2026_stable:1,passive_role_family_trace_no_action_no_direction
rf_06,dio_1yhs,folge_stabil_feldgleich,2.004857,98,44,65,tragende_rekopplung,weltuebergreifend_feldstabil,0.475000,0.173000,0.679000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1,passive_role_family_trace_no_action_no_direction
rf_07,dio_1ewh,folge_stabil_feldgleich,1.612591,1684,940,1433,tragende_rekopplung,weltuebergreifend_feldstabil,0.530000,0.154000,0.702000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_07,dio_0g2r,folge_stabil_feldgleich,1.603571,1019,572,909,tragende_rekopplung,weltuebergreifend_feldstabil,0.533000,0.155000,0.701000,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_08,dio_0h6t,folge_stabil_feldgleich,1.819033,194,96,155,tragende_rekopplung,weltuebergreifend_feldstabil,0.506000,0.142000,0.696000,doge2025:1;xrp2025_clean:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;btc2025_follow:1;paxg2025_follow:1;sol2026_stable:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_08,dio_1w94,folge_stabil_feldgleich,1.625834,233,129,152,tragende_rekopplung,weltuebergreifend_feldstabil,0.503000,0.142000,0.695000,doge2025:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_09,dio_0if9,folge_stabil_feldgleich,3.032051,128,38,112,tragende_rekopplung,weltuebergreifend_feldstabil,0.481000,0.162000,0.679000,doge2025:1;doge2025_clean:1;paxg2025:1;xrp2025_clean:1;btc2025_current:1;doge2025_follow:1;sol2026_stable:1;btc2025_follow:1;xrp2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_10,dio_0jsd,folge_stabil_feldgleich,2.170926,328,136,242,tragende_rekopplung,weltuebergreifend_feldstabil,0.471000,0.202000,0.661000,btc2025_current:2;doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;sol2026_stable:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_10,dio_0ioc,folge_stabil_feldgleich,3.778053,298,71,193,tragende_rekopplung,weltuebergreifend_feldstabil,0.466000,0.195000,0.661000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;doge2025_follow:1;sol2026_stable:1,passive_role_family_trace_no_action_no_direction
rf_11,dio_0trm,folge_stabil_feldgleich,1.721068,239,125,196,tragende_rekopplung,weltuebergreifend_feldstabil,0.443000,0.218000,0.645000,doge2025:2;paxg2025:2;doge2025_clean:2;xrp2025_clean:2;btc2025_current:2;paxg2025_follow:2;sol2026_stable:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_12,dio_13it,folge_stabil_feldgleich,1.678039,151,81,121,tragende_rekopplung,weltuebergreifend_feldstabil,0.455000,0.205000,0.642000,btc2025_current:2;paxg2025:2;xrp2025_follow:2;xrp2025_clean:1;doge2025:1;doge2025_clean:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_13,dio_1sub,folge_stabil_feldgleich,3.196651,277,78,262,tragende_rekopplung,weltuebergreifend_feldstabil,0.457000,0.207000,0.655000,paxg2025:2;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;paxg2025_follow:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_13,dio_1t9l,folge_stabil_feldgleich,4.163148,148,32,93,tragende_rekopplung,weltuebergreifend_feldstabil,0.454000,0.203000,0.652000,doge2025:1;paxg2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_13,dio_14l0,folge_stabil_feldgleich,1.620252,117,65,79,tragende_rekopplung,weltuebergreifend_feldstabil,0.452000,0.196000,0.650000,sol2026_stable:2;xrp2025_follow:2;doge2025_clean:1;doge2025:1;btc2025_current:1;paxg2025:1;xrp2025_clean:1;btc2025_follow:1;doge2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_14,dio_17j2,folge_stabil_feldgleich,1.592556,46,26,18,tragende_rekopplung,weltuebergreifend_feldstabil,0.480000,0.139000,0.695000,doge2025_clean:1;doge2025:1;paxg2025:1;xrp2025_clean:1,passive_role_family_trace_no_action_no_direction
rf_15,dio_18po,folge_stabil_feldgleich,1.860290,310,150,189,tragende_rekopplung,weltuebergreifend_feldstabil,0.478000,0.182000,0.674000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1,passive_role_family_trace_no_action_no_direction
rf_16,dio_18v0,folge_stabil_feldgleich,2.436159,590,218,501,tragende_rekopplung,weltuebergreifend_feldstabil,0.481000,0.191000,0.669000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_17,dio_1udx,folge_stabil_feldgleich,3.066579,201,59,166,tragende_rekopplung,weltuebergreifend_feldstabil,0.444000,0.201000,0.654000,paxg2025:2;doge2025:2;xrp2025_clean:2;btc2025_current:2;doge2025_clean:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_17,dio_1cmd,folge_stabil_feldgleich,1.559398,123,71,141,tragende_rekopplung,weltuebergreifend_feldstabil,0.444000,0.200000,0.656000,paxg2025:2;btc2025_current:2;doge2025:2;xrp2025_clean:1;doge2025_clean:1;sol2026_stable:1,passive_role_family_trace_no_action_no_direction
rf_18,dio_1i76,folge_stabil_feldgleich,2.179287,230,95,211,tragende_rekopplung,weltuebergreifend_feldstabil,0.506000,0.173000,0.688000,doge2025:1;paxg2025:1;btc2025_current:1;xrp2025_clean:1;doge2025_clean:1;sol2026_stable:1,passive_role_family_trace_no_action_no_direction
rf_19,dio_1kue,folge_stabil_feldgleich,1.650257,110,60,93,tragende_rekopplung,weltuebergreifend_feldstabil,0.492000,0.163000,0.677000,doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025:1;sol2026_stable:1;doge2025_follow:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_20,dio_1l7p,folge_stabil_feldgleich,6.429572,150,21,108,tragende_rekopplung,weltuebergreifend_feldstabil,0.436000,0.212000,0.640000,doge2025:2;paxg2025:2;doge2025_follow:2;sol2026_stable:2;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_21,dio_1pij,folge_stabil_feldgleich,5.674616,1368,217,1033,tragende_rekopplung,weltuebergreifend_feldstabil,0.502000,0.184000,0.682000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_21,dio_1v2w,folge_stabil_feldgleich,1.662717,556,301,413,tragende_rekopplung,weltuebergreifend_feldstabil,0.504000,0.183000,0.673000,doge2025:1;xrp2025_clean:1;doge2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_22,dio_1xkg,folge_stabil_feldgleich,1.562008,118,68,112,tragende_rekopplung,weltuebergreifend_feldstabil,0.439000,0.208000,0.649000,doge2025:2;doge2025_clean:2;btc2025_current:2;paxg2025:2;xrp2025_clean:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
