family,late_role_reading,repro_reading,world,episode_path,matched_rows,tick_min,tick_max,source_observations_total,source_neighbor_count_total,source_avg_rekopplung,source_avg_strain,source_avg_center_share,source_avg_open_share,source_avg_rand_share,avg_sehen_form_flow,std_sehen_form_flow,min_sehen_form_flow,max_sehen_form_flow,avg_sehen_form_stability,std_sehen_form_stability,min_sehen_form_stability,max_sehen_form_stability,avg_sehen_form_change,std_sehen_form_change,min_sehen_form_change,max_sehen_form_change,avg_hoeren_energy_tone,std_hoeren_energy_tone,min_hoeren_energy_tone,max_hoeren_energy_tone,avg_hoeren_energy_shift,std_hoeren_energy_shift,min_hoeren_energy_shift,max_hoeren_energy_shift,avg_fuehlen_mcm_coherence,std_fuehlen_mcm_coherence,min_fuehlen_mcm_coherence,max_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,std_fuehlen_mcm_tension,min_fuehlen_mcm_tension,max_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry,std_fuehlen_mcm_asymmetry,min_fuehlen_mcm_asymmetry,max_fuehlen_mcm_asymmetry,avg_mcm_carry_quality,std_mcm_carry_quality,min_mcm_carry_quality,max_mcm_carry_quality,avg_mcm_strain_quality,std_mcm_strain_quality,min_mcm_strain_quality,max_mcm_strain_quality,avg_mcm_rekopplung_quality,std_mcm_rekopplung_quality,min_mcm_rekopplung_quality,max_mcm_rekopplung_quality,avg_mcm_sensory_coupling,std_mcm_sensory_coupling,min_mcm_sensory_coupling,max_mcm_sensory_coupling,avg_mcm_visual_field_gap,std_mcm_visual_field_gap,min_mcm_visual_field_gap,max_mcm_visual_field_gap,avg_mcm_hearing_field_gap,std_mcm_hearing_field_gap,min_mcm_hearing_field_gap,max_mcm_hearing_field_gap,avg_mini_afterimage,std_mini_afterimage,min_mini_afterimage,max_mini_afterimage,avg_mini_recurrence_strength,std_mini_recurrence_strength,min_mini_recurrence_strength,max_mini_recurrence_strength,visual_reading,hearing_reading,field_reading,raw_backread_status
dio_10bh,spaeter_zentrumskandidat,spaet_reproduziert,SOL2025_15M,debug\research_chain_sol_2025_15m_2k\dio_mini_lauf_2\episodes.csv,1,998,998,5,8,0.66098,0.205273,0.875,0.125,0.0,0.278496,,0.278496,0.278496,1.000000,,1.000000,1.000000,0.197001,,0.197001,0.197001,-0.206698,,-0.206698,-0.206698,-0.040431,,-0.040431,-0.040431,0.942125,,0.942125,0.942125,0.235302,,0.235302,0.235302,0.195152,,0.195152,0.195152,0.488436,,0.488436,0.488436,0.187809,,0.187809,0.187809,0.678940,,0.678940,0.678940,0.927476,,0.927476,0.927476,0.054821,,0.054821,0.054821,0.028604,,0.028604,0.028604,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,sichtbar_stabile_form,gedaempfte_energie,rekoppelnd_entlastet,ruecklesbar
dio_10bh,spaeter_zentrumskandidat,spaet_reproduziert,STABLE10K_REPRO,debug\world_relative_topology_stable_10k_repro\dio_mini_lauf_1\episodes.csv,5,1182,9354,5,8,0.66098,0.205273,0.875,0.125,0.0,-0.424044,0.154535,-0.580890,-0.139203,0.324302,0.273196,0.004557,0.727578,0.235885,0.046728,0.200751,0.326612,-0.037822,0.242871,-0.336014,0.246982,-0.303213,0.179165,-0.461530,0.014199,0.574860,0.149497,0.383323,0.786755,0.307190,0.054273,0.252572,0.402643,-0.213014,0.062528,-0.312356,-0.116222,0.423424,0.019523,0.387523,0.447103,0.215085,0.022106,0.184477,0.252322,0.645994,0.007898,0.634075,0.657893,0.874189,0.017215,0.849758,0.898559,0.051850,0.035311,0.004515,0.101416,0.108887,0.043731,0.066957,0.174026,0.000058,0.000116,0.000000,0.000291,0.033333,0.066667,0.000000,0.166667,offene_formaufnahme,gedaempfte_energie,gekoppelte_feldlage,ruecklesbar
dio_1db3,spaeter_spannungsrand,spaet_reproduziert,SOL2025_15M,debug\research_chain_sol_2025_15m_2k\dio_mini_lauf_2\episodes.csv,1,1384,1384,4,8,0.584807,0.308914,0.0,0.0,1.0,-0.639885,,-0.639885,-0.639885,0.000000,,0.000000,0.000000,0.784772,,0.784772,0.784772,-0.178155,,-0.178155,-0.178155,-0.708885,,-0.708885,-0.708885,0.350117,,0.350117,0.350117,0.469140,,0.469140,0.469140,-0.311767,,-0.311767,-0.311767,0.350461,,0.350461,0.350461,0.306077,,0.306077,0.306077,0.582411,,0.582411,0.582411,0.758939,,0.758939,0.758939,0.170512,,0.170512,0.170512,0.290986,,0.290986,0.290986,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,offene_formaufnahme+gerichteter_formfluss+starker_formwechsel,starker_energie_shift,angespannte_feldwirkung,ruecklesbar
dio_1db3,spaeter_spannungsrand,spaet_reproduziert,STABLE10K_REPRO,debug\world_relative_topology_stable_10k_repro\dio_mini_lauf_1\episodes.csv,3,4307,5214,4,8,0.584807,0.308914,0.0,0.0,1.0,-0.640950,0.121167,-0.808556,-0.526268,0.186643,0.112664,0.027429,0.271529,0.711937,0.123726,0.566554,0.868950,-0.104765,0.064029,-0.178982,-0.022729,-0.723137,0.056335,-0.784025,-0.648196,0.476528,0.070532,0.386338,0.558522,0.482707,0.079712,0.394053,0.587336,-0.288156,0.027290,-0.326724,-0.267640,0.366853,0.010799,0.352366,0.378284,0.311751,0.025290,0.283900,0.345109,0.587204,0.007912,0.579630,0.598124,0.764044,0.005451,0.759656,0.771727,0.120717,0.011039,0.105295,0.130531,0.377942,0.022619,0.354148,0.408354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,offene_formaufnahme+gerichteter_formfluss+starker_formwechsel,starker_energie_shift,angespannte_feldwirkung,ruecklesbar
dio_0izw,spaete_offene_varianz,spaet_reproduziert,SOL2024_15M,debug\research_chain_sol_2024_15m_2k\dio_mini_lauf_2\episodes.csv,1,1426,1426,3,6,0.607203,0.21501,0.0,1.0,0.0,-0.127541,,-0.127541,-0.127541,-1.000000,,-1.000000,-1.000000,-0.486605,,-0.486605,-0.486605,0.039213,,0.039213,0.039213,0.264317,,0.264317,0.264317,-0.210980,,-0.210980,-0.210980,0.147894,,0.147894,0.147894,-0.135345,,-0.135345,-0.135345,0.284355,,0.284355,0.284355,0.182354,,0.182354,0.182354,0.601566,,0.601566,0.601566,0.785162,,0.785162,0.785162,0.117869,,0.117869,0.117869,0.108680,,0.108680,0.108680,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,instabile_formaufnahme+starker_formwechsel,gedaempfte_energie,offene_feldlage,ruecklesbar
dio_0izw,spaete_offene_varianz,spaet_reproduziert,SOL2025_15M,debug\research_chain_sol_2025_15m_2k\dio_mini_lauf_2\episodes.csv,1,1048,1048,3,6,0.607203,0.21501,0.0,1.0,0.0,-0.171809,,-0.171809,-0.171809,-1.000000,,-1.000000,-1.000000,-0.521899,,-0.521899,-0.521899,0.048577,,0.048577,0.048577,0.208768,,0.208768,0.208768,-0.213602,,-0.213602,-0.213602,0.176066,,0.176066,0.176066,-0.179715,,-0.179715,-0.179715,0.282108,,0.282108,0.282108,0.192612,,0.192612,0.192612,0.597382,,0.597382,0.597382,0.780449,,0.780449,0.780449,0.114625,,0.114625,0.114625,0.127489,,0.127489,0.127489,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,instabile_formaufnahme+starker_formwechsel,gedaempfte_energie,offene_feldlage,ruecklesbar
dio_0izw,spaete_offene_varianz,spaet_reproduziert,STRESS10K_REPRO,debug\world_relative_topology_stress_10k_repro\dio_mini_lauf_1\episodes.csv,1,2498,2498,3,6,0.607203,0.21501,0.0,1.0,0.0,-0.480118,,-0.480118,-0.480118,-0.110258,,-0.110258,-0.110258,0.664546,,0.664546,0.664546,-0.134390,,-0.134390,-0.134390,0.130491,,0.130491,0.130491,0.303977,,0.303977,0.303977,0.357501,,0.357501,0.357501,-0.067831,,-0.067831,-0.067831,0.365088,,0.365088,0.365088,0.242537,,0.242537,0.242537,0.614932,,0.614932,0.614932,0.832743,,0.832743,0.832743,0.011655,,0.011655,0.011655,0.223111,,0.223111,0.223111,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,offene_formaufnahme+gerichteter_formfluss+starker_formwechsel,gedaempfte_energie,angespannte_feldwirkung,ruecklesbar
dio_1w5g,spaeter_spannungsrand,spaet_reproduziert,SOL2024_15M,debug\research_chain_sol_2024_15m_2k\dio_mini_lauf_2\episodes.csv,1,282,282,3,5,0.583946,0.343934,0.0,0.0,1.0,-0.740889,,-0.740889,-0.740889,0.000000,,0.000000,0.000000,-0.566782,,-0.566782,-0.566782,0.036501,,0.036501,0.036501,-0.143603,,-0.143603,-0.143603,0.389780,,0.389780,0.389780,0.417189,,0.417189,0.417189,-0.579646,,-0.579646,-0.579646,0.354695,,0.354695,0.354695,0.288626,,0.288626,0.288626,0.585912,,0.585912,0.585912,0.761633,,0.761633,0.761633,0.100305,,0.100305,0.100305,0.380688,,0.380688,0.380688,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,offene_formaufnahme+gerichteter_formfluss+starker_formwechsel,gedaempfte_energie,angespannte_feldwirkung,ruecklesbar
dio_1w5g,spaeter_spannungsrand,spaet_reproduziert,STRESS10K_REPRO,debug\world_relative_topology_stress_10k_repro\dio_mini_lauf_1\episodes.csv,2,1502,5000,3,5,0.583946,0.343934,0.0,0.0,1.0,-0.747417,0.016456,-0.763873,-0.730961,0.674482,0.172034,0.502448,0.846517,-0.755231,0.029219,-0.784450,-0.726012,0.778494,0.042297,0.736197,0.820791,0.737490,0.044619,0.692871,0.782109,0.563843,0.079845,0.483998,0.643687,0.758355,0.031174,0.727181,0.789529,-0.359936,0.003825,-0.363761,-0.356111,0.398377,0.012073,0.386304,0.410449,0.399241,0.012934,0.386307,0.412175,0.581980,0.000016,0.581964,0.581996,0.774336,0.002680,0.771656,0.777017,0.390215,0.017097,0.373118,0.407313,0.020139,0.011123,0.009016,0.031262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,sichtbar_stabile_form+gerichteter_formfluss+starker_formwechsel,starker_energie_shift,angespannte_feldwirkung,ruecklesbar
dio_05wo,spaeter_zentrumskandidat,spaet_reproduziert,SOL2024_15M,debug\research_chain_sol_2024_15m_2k\dio_mini_lauf_2\episodes.csv,1,1377,1377,2,4,0.635736,0.200689,1.0,0.0,0.0,-0.215219,,-0.215219,-0.215219,0.000000,,0.000000,0.000000,0.205572,,0.205572,0.205572,-0.207382,,-0.207382,-0.207382,-0.525362,,-0.525362,-0.525362,0.341933,,0.341933,0.341933,0.210384,,0.210384,0.210384,-0.176258,,-0.176258,-0.176258,0.387573,,0.387573,0.387573,0.187561,,0.187561,0.187561,0.641461,,0.641461,0.641461,0.864470,,0.864470,0.864470,0.108316,,0.108316,0.108316,0.003002,,0.003002,0.003002,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,offene_formaufnahme,starker_energie_shift,gekoppelte_feldlage,ruecklesbar
dio_05wo,spaeter_zentrumskandidat,spaet_reproduziert,STRESS10K_REPRO,debug\world_relative_topology_stress_10k_repro\dio_mini_lauf_1\episodes.csv,2,8094,9988,2,4,0.635736,0.200689,1.0,0.0,0.0,-0.258582,0.006423,-0.265005,-0.252158,-0.024651,0.024079,-0.048731,-0.000572,0.243351,0.027251,0.216100,0.270603,-0.219201,0.016697,-0.235898,-0.202505,-0.500737,0.015561,-0.516298,-0.485176,0.373125,0.013568,0.359557,0.386694,0.271205,0.003825,0.267380,0.275030,-0.178555,0.001863,-0.180418,-0.176692,0.405450,0.028153,0.377297,0.433603,0.196460,0.017357,0.179102,0.213817,0.646956,0.016945,0.630011,0.663901,0.858802,0.008654,0.850148,0.867456,0.095650,0.003500,0.092151,0.099150,0.052004,0.020522,0.031482,0.072525,0.000295,0.000295,0.000000,0.000589,0.083334,0.083334,0.000000,0.166667,offene_formaufnahme,starker_energie_shift,gekoppelte_feldlage,ruecklesbar
dio_0ubq,spaeter_zentrumskandidat,spaet_reproduziert,SOL2025_15M,debug\research_chain_sol_2025_15m_2k\dio_mini_lauf_2\episodes.csv,1,1054,1054,2,4,0.637374,0.177463,1.0,0.0,0.0,-0.237818,,-0.237818,-0.237818,0.000000,,0.000000,0.000000,0.024773,,0.024773,0.024773,-0.301561,,-0.301561,-0.301561,-0.585242,,-0.585242,-0.585242,0.315563,,0.315563,0.315563,0.230503,,0.230503,0.230503,-0.244281,,-0.244281,-0.244281,0.381379,,0.381379,0.381379,0.199336,,0.199336,0.199336,0.633924,,0.633924,0.633924,0.846330,,0.846330,0.846330,0.098370,,0.098370,0.098370,0.071058,,0.071058,0.071058,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,offene_formaufnahme,starker_energie_shift,gekoppelte_feldlage,ruecklesbar
dio_0ubq,spaeter_zentrumskandidat,spaet_reproduziert,STRESS10K_REPRO,debug\world_relative_topology_stress_10k_repro\dio_mini_lauf_1\episodes.csv,1,5750,5750,2,4,0.637374,0.177463,1.0,0.0,0.0,0.000000,,0.000000,0.000000,-0.348283,,-0.348283,-0.348283,0.466770,,0.466770,0.466770,-0.017862,,-0.017862,-0.017862,0.066878,,0.066878,0.066878,0.162939,,0.162939,0.162939,0.107453,,0.107453,0.107453,0.122634,,0.122634,0.122634,0.357672,,0.357672,0.357672,0.155590,,0.155590,0.155590,0.640823,,0.640823,0.640823,0.851546,,0.851546,0.851546,0.040736,,0.040736,0.040736,0.089590,,0.089590,0.089590,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,instabile_formaufnahme+starker_formwechsel,gedaempfte_energie,gekoppelte_feldlage,ruecklesbar
dio_1kdn,spaeter_spannungsrand,spaet_reproduziert,SOL2025_30M,debug\research_chain_sol_2025_30m_2k\dio_mini_lauf_2\episodes.csv,1,1024,1024,2,4,0.565115,0.391529,0.0,0.0,1.0,-0.748034,,-0.748034,-0.748034,0.000000,,0.000000,0.000000,-1.000000,,-1.000000,-1.000000,0.414878,,0.414878,0.414878,1.000000,,1.000000,1.000000,0.283834,,0.283834,0.283834,0.648423,,0.648423,0.648423,-0.458899,,-0.458899,-0.458899,0.326913,,0.326913,0.326913,0.385430,,0.385430,0.385430,0.550770,,0.550770,0.550770,0.695905,,0.695905,0.695905,0.377323,,0.377323,0.377323,0.233545,,0.233545,0.233545,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,offene_formaufnahme+gerichteter_formfluss+starker_formwechsel,starker_energie_shift,angespannte_feldwirkung,ruecklesbar
dio_1kdn,spaeter_spannungsrand,spaet_reproduziert,STRESS10K_REPRO,debug\world_relative_topology_stress_10k_repro\dio_mini_lauf_1\episodes.csv,1,5740,5740,2,4,0.565115,0.391529,0.0,0.0,1.0,-0.774523,,-0.774523,-0.774523,0.645365,,0.645365,0.645365,-0.622466,,-0.622466,-0.622466,0.808761,,0.808761,0.808761,0.697937,,0.697937,0.697937,0.551710,,0.551710,0.551710,0.746562,,0.746562,0.746562,-0.346324,,-0.346324,-0.346324,0.394543,,0.394543,0.394543,0.397629,,0.397629,0.397629,0.579460,,0.579460,0.579460,0.766721,,0.766721,0.766721,0.374979,,0.374979,0.374979,0.062198,,0.062198,0.062198,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,sichtbar_stabile_form+gerichteter_formfluss+starker_formwechsel,starker_energie_shift,angespannte_feldwirkung,ruecklesbar
