type;group;world;worlds;raw_runs;avg_total_ticks;avg_max_duration;avg_long_segments;avg_strained_segments;avg_carried_tick_share;avg_carry;avg_rekopplung;avg_strain;avg_afterimage;avg_temporal_trust;dominant_pattern;source
detail;kurz_normal;kontrolliert_kas_2024_5m_test1_2000_kasusdt;1;1;1994.0;1994.0;1.0;0.0;1.0;0.5098698219658977;0.6939933796389167;0.1561801900702106;0.13095517853560681;0.5892169769307924;lang_getragen;debug\block_k_multiworld\kontrolliert_kas_2024_5m_test1_2000_kasusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_normal;kontrolliert_sol_2025_5m_test1_2000_solusdt;1;1;1994.0;1093.0;1.0;1.0;0.9994984954864594;0.508059962888666;0.692735110330993;0.15716579087261787;0.1224256594784353;0.5855164874623872;kurz_getragen -> spannungsbruch -> lang_getragen;debug\block_k_multiworld\kontrolliert_sol_2025_5m_test1_2000_solusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_stress;kontrolliert_2023_extreme_expansion_test1_1000_5m_solusdt;1;1;994.0;373.0;0.0;5.0;0.9949698189134809;0.4969939295774648;0.690338523138833;0.15744606438631792;0.12720146076458752;0.5197432665995976;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_stress_multiworld\kontrolliert_2023_extreme_expansion_test1_1000_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_stress;kontrolliert_2023_negative_stress_test1_1000_5m_solusdt;1;1;994.0;994.0;0.0;0.0;1.0;0.5009333460764588;0.6915870754527162;0.15651040945674044;0.13006163179074445;0.5396891177062374;kurz_getragen;debug\block_k_stress_multiworld\kontrolliert_2023_negative_stress_test1_1000_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_stress;kontrolliert_2024_positive_stress_test1_2000_5m_solusdt;1;1;1994.0;1994.0;1.0;0.0;1.0;0.5113805366098294;0.6948346850551655;0.15617558976930793;0.14484868706118356;0.5957561569709128;lang_getragen;debug\block_k_stress_multiworld\kontrolliert_2024_positive_stress_test1_2000_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_stress;kontrolliert_2025_late_negative_test1_2000_5m_solusdt;1;1;1994.0;1994.0;1.0;0.0;1.0;0.5111752056168506;0.6948541930792377;0.1551865040120361;0.13101394483450352;0.5926349147442327;lang_getragen;debug\block_k_stress_multiworld\kontrolliert_2025_late_negative_test1_2000_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_2023_negative_stress_10k_5m_solusdt;1;1;9994.0;5176.0;3.0;2.0;0.9997998799279568;0.5374608957374425;0.7059521623974384;0.15288528467080248;0.1767536405843506;0.7068354972983791;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_10k_multiworld\kontrolliert_2023_negative_stress_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_2023_positive_expansion_10k_5m_solusdt;1;1;9994.0;4514.0;4.0;4.0;0.9995997598559135;0.5362232078246948;0.7053783463077846;0.15301433980388232;0.1707276330798479;0.7020176854112468;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_10k_multiworld\kontrolliert_2023_positive_expansion_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_2026_sideways_10k_5m_solusdt;1;1;9994.0;5929.0;2.0;3.0;0.9996998198919351;0.5376194085451271;0.7057799244546729;0.15264242675605363;0.1726665869521713;0.7066567067240344;kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_10k_multiworld\kontrolliert_2026_sideways_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;lang_10k;kontrolliert_btc_2025_5m_10k_btcusdt;1;1;9994.0;2614.0;4.0;5.0;0.999499699819892;0.5369385926555933;0.7058336518911347;0.1520249319591755;0.17200128947368423;0.7023250513307986;lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_10k_multiworld\kontrolliert_btc_2025_5m_10k_btcusdt\dio_mini_lauf_1\episodes.csv
