name,group,run,window,tick_start,tick_end,local_role,hearing_load,visual_load,field_pressure,relief,sensory_conflict,kipp_pressure,fit,rekopplung,field_strain,field_carry,afterimage
PREVIEW_REAL2_2023,preview,1,3,81,160,lokale_multisensorische_kippnaehe,0.21031998400000002,0.36094862125000005,0.21986586375,0.68885166225,0.16543252600000002,0.24272538037000005,0.934231561125,0.6078712375,0.2328756125,0.3351137375,0.0
PREVIEW_REAL2_2023,preview,1,4,121,200,lokale_multisensorische_kippnaehe,0.21008993500000003,0.31550336474999996,0.21099091025000002,0.696090492,0.11789000224999992,0.22096151998999997,0.948194260375,0.616017525,0.2197109375,0.3473330125,8.04625e-05
PREVIEW_REAL2_2023,preview,1,5,161,240,lokal_offen,0.198530449,0.27907180574999996,0.20405993,0.6989430725,0.08883416924999996,0.20229958301999995,0.965258802625,0.6212641,0.202839225,0.3470101125,8.04625e-05
PREVIEW_REAL2_2023,preview,1,6,201,280,lokal_offen,0.19140302850000002,0.25739586299999995,0.19887574375,0.704290038,0.06901318137499993,0.19034911072999997,0.974476298,0.626361925,0.1948988625,0.3533150375,0.0
PREVIEW_REAL2_2023,preview,1,7,241,320,lokal_offen,0.20519736350000004,0.2529745205,0.19800261775000003,0.7055497655,0.04910707824999999,0.18909932707000002,0.96891667575,0.627701725,0.1942901375,0.355038075,0.0
PREVIEW_REAL2_2023,preview,1,8,281,360,lokal_offen,0.2064224775,0.25902312774999997,0.19923456675,0.703330914,0.05390654837499996,0.19205643703,0.9665117641250001,0.6264576749999999,0.1937263125,0.3494126875,0.0001
PREVIEW_REAL2_2023,preview,1,9,321,400,lokal_offen,0.21347048900000004,0.281748709,0.204229496,0.7000660995,0.07717781874999995,0.20472367708,0.9566198969999999,0.6222682749999999,0.20318755,0.345549425,0.0001
PREVIEW_REAL2_2023,preview,1,10,361,440,lokal_offen,0.21436262250000004,0.28205057874999995,0.20289561700000003,0.702200301,0.07831150624999991,0.20471143141999998,0.954689016375,0.6243860999999999,0.20531665000000002,0.3532969,0.0009860375
PREVIEW_REAL2_2023,preview,1,11,401,480,lokal_offen,0.207578477,0.27784398125,0.20063712800000003,0.70543830875,0.07434946174999997,0.20062666994,0.957925898875,0.6272636875,0.2048457,0.360335625,0.0013782875
PREVIEW_REAL2_2023,preview,1,12,441,520,lokal_rekoppelnd,0.21800108650000002,0.25891998149999995,0.19865083325000002,0.70729295675,0.04170347249999993,0.19264791189,0.96019029925,0.6283736375,0.2015313125,0.36330070000000003,0.0004718
