world,feature,fixed_state,relative_state,state_change,fixed_p95_abs,relative_p95_abs,fixed_saturation_ratio,relative_saturation_ratio,fixed_flat_ratio,relative_flat_ratio,fixed_mean_abs,relative_mean_abs
SOL_2024_5M_REAL1,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.5120096228809374,0.513856086579498,0.001,0.002,0.075,0.065,0.1905700355183496,0.19798176027583722
SOL_2024_1H_2K,sehen.form_flow,uebersteuert,grenznah,uebersteuert->grenznah,1.0,0.9995567403935575,0.319,0.0535,0.0185,0.0425,0.6137900807249138,0.3272359564957718
SOL_2024_1H_2K,sehen.form_stability,uebersteuert,uebersteuert,uebersteuert->uebersteuert,1.0,1.0,0.5005,0.1095,0.487,0.0225,0.5066666666666667,0.5186217700197732
SOL_2024_1H_2K,sehen.form_change,uebersteuert,grenznah,uebersteuert->grenznah,1.0,0.9990897483708535,0.4185,0.053,0.019,0.0525,0.6760743764786331,0.3256601970489346
SOL_2024_1H_2K,hoeren.energy_tone,tragbar,grenznah,tragbar->grenznah,0.5211844107936539,0.9412259881706799,0.0055,0.045,0.0575,0.0265,0.20534275769027147,0.35771834499482713
SOL_2024_1H_2K,hoeren.energy_shift,grenznah,grenznah,grenznah->grenznah,1.0,0.9993727374733168,0.074,0.053,0.0385,0.042,0.3780843288038126,0.3514799449768112
SOL_2024_1H_2K,fuehlen.mcm_coherence,grenznah,grenznah,grenznah->grenznah,0.9472256280315703,0.9086097973115058,0.02,0.0055,0.0015,0.0455,0.360853697836478,0.3652462713599658
SOL_2024_1H_2K,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.7645189311299778,0.7179497555596226,0.0045,0.001,0.0005,0.0005,0.4522076923709591,0.3401940953138079
SOL_2024_1H_2K,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.8458035427259054,0.5444516710319177,0.012,0.0005,0.0315,0.084,0.36875735529628967,0.19436945679222045
BTC_2024_5M_2K,sehen.form_flow,tragbar,grenznah,tragbar->grenznah,0.3513692770151185,0.9994201880377027,0.003,0.0515,0.1265,0.047,0.11708396504206504,0.3105390554909507
BTC_2024_5M_2K,sehen.form_stability,uebersteuert,uebersteuert,uebersteuert->uebersteuert,1.0,1.0,0.5,0.1215,0.4975,0.0195,0.5011666666666666,0.5255569518345503
BTC_2024_5M_2K,sehen.form_change,tragbar,grenznah,tragbar->grenznah,0.44325473210758176,0.9999594626590039,0.007,0.053,0.111,0.0505,0.1470752321622371,0.310044113892577
BTC_2024_5M_2K,hoeren.energy_tone,tragbar,grenznah,tragbar->grenznah,0.5518985171813524,0.9201540205751121,0.0085,0.0405,0.0595,0.0365,0.20803039066769372,0.33404074443942
BTC_2024_5M_2K,hoeren.energy_shift,uebersteuert,grenznah,uebersteuert->grenznah,1.0,0.9996238172383117,0.11,0.0535,0.026,0.0375,0.44840151726142063,0.357112983336849
BTC_2024_5M_2K,fuehlen.mcm_coherence,grenznah,grenznah,grenznah->grenznah,0.948589848246964,0.9192419534681463,0.02,0.008,0.0005,0.035,0.36327802597660813,0.373199299468893
BTC_2024_5M_2K,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.37431466844247524,0.6818729295829439,0.0005,0.0065,0.0045,0.0005,0.16008006654405663,0.3240195127552633
BTC_2024_5M_2K,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.2992532230403815,0.5217455406486664,0.0,0.003,0.1235,0.083,0.11441666298435711,0.18449735129377243
BTC_2024_1H_2K,sehen.form_flow,uebersteuert,grenznah,uebersteuert->grenznah,1.0,0.9999474899974502,0.109,0.0535,0.038,0.062,0.37543661008627227,0.2821439484801619
BTC_2024_1H_2K,sehen.form_stability,uebersteuert,uebersteuert,uebersteuert->uebersteuert,1.0,1.0,0.5035,0.1035,0.496,0.014,0.5036666666666667,0.5366008565502264
BTC_2024_1H_2K,sehen.form_change,uebersteuert,grenznah,uebersteuert->grenznah,1.0,0.9992982923312034,0.1415,0.0545,0.0305,0.0485,0.44985577285318484,0.30409097281145087
BTC_2024_1H_2K,hoeren.energy_tone,tragbar,grenznah,tragbar->grenznah,0.5953755494076838,0.9706107237864721,0.011,0.0495,0.055,0.038,0.21763118543511395,0.33934445320546536
BTC_2024_1H_2K,hoeren.energy_shift,grenznah,grenznah,grenznah->grenznah,1.0,0.9995952529201163,0.09,0.0555,0.0345,0.039,0.40025795137811915,0.35355128393287333
BTC_2024_1H_2K,fuehlen.mcm_coherence,grenznah,grenznah,grenznah->grenznah,0.9386414165921274,0.9046627414496095,0.018,0.0065,0.0005,0.0515,0.3575940893400581,0.3668349413634885
BTC_2024_1H_2K,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.7022979258795788,0.706689197420103,0.007,0.0035,0.001,0.0005,0.32106539777549176,0.3145504052073483
BTC_2024_1H_2K,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.7010196936715082,0.5352288776683081,0.009,0.002,0.0685,0.1025,0.23507687633622856,0.16870804588681076
SOL_2023_NEG_STRESS,sehen.form_flow,tragbar,grenznah,tragbar->grenznah,0.48185311021497407,0.9966439273967643,0.014,0.054,0.064,0.064,0.164118811822082,0.31354370964322376
SOL_2023_NEG_STRESS,sehen.form_stability,uebersteuert,uebersteuert,uebersteuert->uebersteuert,1.0,1.0,0.363,0.222,0.333,0.04,0.515,0.5615453173896069
SOL_2023_NEG_STRESS,sehen.form_change,tragbar,grenznah,tragbar->grenznah,0.5812583976200585,0.9995394222863178,0.009,0.055,0.088,0.033,0.2030582875027603,0.33650196344268873
SOL_2023_NEG_STRESS,hoeren.energy_tone,tragbar,tragbar,tragbar->tragbar,0.5872862711719494,0.8759980574693116,0.014,0.04,0.058,0.035,0.22128415215358574,0.32307764590359034
SOL_2023_NEG_STRESS,hoeren.energy_shift,grenznah,grenznah,grenznah->grenznah,1.0,0.9995583449558407,0.061,0.054,0.126,0.126,0.36588843866749277,0.3532415274104515
SOL_2023_NEG_STRESS,fuehlen.mcm_coherence,tragbar,grenznah,tragbar->grenznah,0.8903740791886631,0.9386096304498914,0.014,0.009,0.038,0.035,0.3048156746575512,0.3745566968995798
SOL_2023_NEG_STRESS,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.4612965076238301,0.6715138958768485,0.001,0.004,0.006,0.001,0.19435857087022207,0.3261406368637087
SOL_2023_NEG_STRESS,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.3603202391877358,0.507321934904327,0.0,0.002,0.134,0.092,0.12259153043407761,0.18598198535579652
