family,transition,count_2024,count_2025,world_2023,base_total_2023,follow_total_2023,follow_range_2024,follow_range_2025,follow_range_2023,follow_hearing_2024,follow_hearing_2025,follow_hearing_2023,follow_tension_2024,follow_tension_2025,follow_tension_2023,candidate_range_delta_2425,candidate_hearing_delta_2425,candidate_tension_delta_2425,delta_2023_to_2425_range_mid,delta_2023_to_2425_hearing_mid,delta_2023_to_2425_tension_mid
dio_0p8i,offen_und_gereift->nur_gereift,3,1,ALTSEQ_2023,3,5,0.504126,0.735352,0.458987,0.027717,0.041450,0.030974,0.053790,0.062005,0.054077,0.231226,0.013733,0.008215,0.160752,0.003610,0.003820
dio_0qup,offen_und_gereift->nur_gereift,2,1,ALTSEQ_2023,4,3,0.515219,1.429556,0.590454,0.065390,0.052369,0.064356,0.082832,0.075767,0.083586,0.914338,0.013021,0.007065,0.381933,0.005476,0.004286
dio_0u24,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,4,8,1.145337,0.996106,0.383114,0.004600,0.008037,0.010164,0.038621,0.041189,0.041213,0.149231,0.003437,0.002568,0.687608,0.003845,0.001308
dio_0u24,offen_und_gereift->nur_gereift,2,2,NEG_STRESS_2023,5,4,0.393245,0.489675,0.698545,0.007262,0.009810,0.008789,0.040884,0.035371,0.039509,0.096430,0.002547,0.005513,0.257085,0.000253,0.001382
dio_0u24,offen_und_gereift->nur_gereift,2,2,ALTSEQ_2023,7,2,0.393245,0.489675,0.497080,0.007262,0.009810,0.011246,0.040884,0.035371,0.042847,0.096430,0.002547,0.005513,0.055620,0.002710,0.004720
dio_0u2x,offen_und_gereift->nur_gereift,1,1,EXPANSION_2023,14,9,0.400666,0.071366,0.399973,0.209590,0.192496,0.201357,0.175853,0.163932,0.170843,0.329300,0.017094,0.011921,0.163957,0.000314,0.000950
dio_0u2x,offen_und_gereift->nur_gereift,1,1,MOD_NEG_2023,6,2,0.400666,0.071366,0.269643,0.209590,0.192496,0.183399,0.175853,0.163932,0.163219,0.329300,0.017094,0.011921,0.033627,0.017644,0.006673
dio_0z35,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,3,7,1.078843,1.036980,0.349526,0.020088,0.020713,0.027508,0.055578,0.053925,0.054124,0.041863,0.000625,0.001653,0.708385,0.007107,0.000628
dio_0z3k,offen_und_gereift->nur_gereift,1,2,MOD_NEG_2023,16,5,0.126045,0.641166,0.293421,0.124530,0.128145,0.125782,0.116175,0.119173,0.116334,0.515121,0.003615,0.002998,0.090185,0.000555,0.001340
dio_10dv,nur_gereift->offen_und_gereift,2,2,NEG_STRESS_2023,15,32,0.080746,0.165301,0.173940,0.116908,0.119230,0.123073,0.113272,0.115662,0.120053,0.084555,0.002322,0.002390,0.050917,0.005004,0.005586
dio_10dv,nur_gereift->offen_und_gereift,2,2,MOD_NEG_2023,20,21,0.080746,0.165301,0.136833,0.116908,0.119230,0.124760,0.113272,0.115662,0.122902,0.084555,0.002322,0.002390,0.013810,0.006691,0.008435
dio_10dv,nur_gereift->offen_und_gereift,2,2,ALTSEQ_2023,21,24,0.080746,0.165301,0.124893,0.116908,0.119230,0.117070,0.113272,0.115662,0.114397,0.084555,0.002322,0.002390,0.001869,0.000999,0.000070
dio_1350,nur_gereift->offen_und_gereift,1,1,EXPANSION_2023,29,19,0.135672,0.342142,0.292604,0.043235,0.041842,0.042754,0.052290,0.051683,0.052844,0.206470,0.001393,0.000607,0.053697,0.000216,0.000857
dio_13o0,nur_gereift->offen_und_gereift,1,1,NEG_STRESS_2023,13,14,0.503198,0.406887,0.308705,0.015763,0.011596,0.013245,0.034352,0.029907,0.031556,0.096311,0.004167,0.004445,0.146338,0.000435,0.000573
dio_13o0,nur_gereift->offen_und_gereift,1,1,EXPANSION_2023,19,15,0.503198,0.406887,0.361834,0.015763,0.011596,0.011520,0.034352,0.029907,0.029460,0.096311,0.004167,0.004445,0.093209,0.002159,0.002669
dio_13o0,offen_und_gereift->nur_gereift,2,1,ALTSEQ_2023,12,16,0.176827,0.402862,0.257526,0.012822,0.012126,0.011308,0.030148,0.030037,0.026501,0.226035,0.000696,0.000110,0.032319,0.001166,0.003592
dio_14d9,offen_und_gereift->nur_gereift,1,2,ALTSEQ_2023,20,17,0.326985,0.542058,0.414094,0.127886,0.115016,0.129878,0.120804,0.113874,0.123473,0.215073,0.012870,0.006930,0.020427,0.008427,0.006134
dio_14fv,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,1,4,0.418592,0.127500,0.371450,0.310427,0.310625,0.317838,0.277925,0.277799,0.281018,0.291092,0.000198,0.000126,0.098404,0.007312,0.003156
dio_14l0,offen_und_gereift->nur_gereift,2,1,NEG_STRESS_2023,7,3,0.297418,0.238151,0.664037,0.104009,0.112768,0.100823,0.117917,0.130872,0.116590,0.059267,0.008759,0.012955,0.396253,0.007566,0.007804
dio_17dc,offen_und_gereift->nur_gereift,1,2,EXPANSION_2023,17,19,0.222454,0.566095,0.526555,0.145728,0.142607,0.137532,0.131479,0.130875,0.126643,0.343641,0.003121,0.000604,0.132280,0.006636,0.004534
dio_18im,nur_gereift->offen_und_gereift,2,1,ALTSEQ_2023,6,11,0.139634,0.049677,0.173992,0.180456,0.179016,0.182707,0.163318,0.161450,0.164456,0.089957,0.001440,0.001868,0.079337,0.002971,0.002072
dio_19g0,offen_und_gereift->nur_gereift,2,1,EXPANSION_2023,8,4,0.130772,0.575301,0.520187,0.117722,0.145282,0.109218,0.116937,0.132116,0.107404,0.444529,0.027560,0.015179,0.167150,0.022284,0.017123
dio_19g0,offen_und_gereift->nur_gereift,2,1,MOD_NEG_2023,5,2,0.130772,0.575301,0.235848,0.117722,0.145282,0.113153,0.116937,0.132116,0.116779,0.444529,0.027560,0.015179,0.117188,0.018349,0.007748
dio_1cks,offen_und_gereift->nur_gereift,1,1,NEG_STRESS_2023,2,1,0.438179,1.743873,0.798935,0.011313,0.037320,0.041001,0.066343,0.092794,0.091245,1.305694,0.026007,0.026451,0.292091,0.016685,0.011677
dio_1cmd,nur_gereift->offen_und_gereift,1,1,ALTSEQ_2023,5,5,0.000000,0.189223,0.120446,0.258196,0.257989,0.265460,0.241458,0.236206,0.235024,0.189223,0.000207,0.005252,0.025834,0.007367,0.003808
dio_1fe0,offen_und_gereift->nur_gereift,1,1,EXPANSION_2023,9,3,0.234423,0.871119,0.721698,0.067956,0.068494,0.074671,0.082626,0.083109,0.089155,0.636696,0.000538,0.000483,0.168927,0.006446,0.006287
dio_1fll,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,13,18,0.100336,0.193803,0.146599,0.014399,0.014195,0.013614,0.024787,0.025468,0.023719,0.093467,0.000204,0.000681,0.000470,0.000683,0.001409
dio_1j1f,nur_gereift->offen_und_gereift,1,1,NEG_STRESS_2023,6,3,1.227270,0.301149,0.763777,0.041362,0.034752,0.036748,0.085696,0.082197,0.086386,0.926121,0.006610,0.003499,0.000432,0.001309,0.002439
dio_1o0u,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,21,16,0.114527,0.671114,0.261913,0.190675,0.179406,0.182277,0.168761,0.161810,0.165293,0.556587,0.011269,0.006951,0.130908,0.002764,0.000007
dio_1q2r,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,5,10,1.034885,1.119449,0.455527,0.140131,0.127180,0.129347,0.130587,0.124500,0.124035,0.084564,0.012951,0.006087,0.621640,0.004308,0.003508
dio_1q2r,offen_und_gereift->nur_gereift,1,1,EXPANSION_2023,10,10,0.446948,1.074899,0.873896,0.131392,0.131364,0.128850,0.125085,0.126108,0.124419,0.627951,0.000028,0.001023,0.112972,0.002528,0.001177
dio_1q2r,offen_und_gereift->nur_gereift,1,1,ALTSEQ_2023,8,6,0.446948,1.074899,0.671125,0.131392,0.131364,0.136660,0.125085,0.126108,0.131216,0.627951,0.000028,0.001023,0.089799,0.005282,0.005619
dio_1qyl,offen_und_gereift->nur_gereift,3,3,NEG_STRESS_2023,9,4,0.321331,0.966089,0.683924,0.028766,0.026844,0.031903,0.054233,0.054657,0.056538,0.644758,0.001923,0.000424,0.040214,0.004098,0.002093
dio_1r55,nur_gereift->offen_und_gereift,1,2,MOD_NEG_2023,13,15,0.059174,0.122458,0.112737,0.133092,0.131762,0.136181,0.128389,0.127700,0.131029,0.063284,0.001330,0.000689,0.021921,0.003754,0.002985
dio_1r55,nur_gereift->offen_und_gereift,1,2,ALTSEQ_2023,16,29,0.059174,0.122458,0.084216,0.133092,0.131762,0.133456,0.128389,0.127700,0.127218,0.063284,0.001330,0.000689,0.006600,0.001029,0.000827
dio_1rrr,offen_und_gereift->nur_gereift,2,1,NEG_STRESS_2023,6,6,0.443599,0.407392,0.683619,0.193209,0.195757,0.188096,0.166083,0.164845,0.166731,0.036207,0.002548,0.001238,0.258123,0.006387,0.001267
dio_1s2n,offen_und_gereift->nur_gereift,2,1,MOD_NEG_2023,3,3,0.185008,0.653481,0.238479,0.033270,0.029081,0.033825,0.056412,0.056319,0.059022,0.468472,0.004189,0.000093,0.180766,0.002649,0.002656
dio_1uyk,offen_und_gereift->nur_gereift,1,1,MOD_NEG_2023,5,5,0.352359,0.897496,0.405037,0.192089,0.184219,0.183733,0.172452,0.168998,0.169648,0.545137,0.007870,0.003454,0.219890,0.004421,0.001077
dio_1wdi,offen_und_gereift->nur_gereift,1,1,EXPANSION_2023,15,3,0.190314,0.681117,0.418175,0.012030,0.007719,0.005916,0.037068,0.039537,0.031470,0.490803,0.004311,0.002469,0.017540,0.003959,0.006833
dio_1ydr,offen_und_gereift->nur_gereift,1,1,EXPANSION_2023,4,2,0.293231,0.714764,0.452498,0.122144,0.116793,0.146794,0.125149,0.120096,0.141770,0.421533,0.005351,0.005053,0.051499,0.027326,0.019148
dio_1yme,nur_gereift->offen_und_gereift,1,1,NEG_STRESS_2023,5,9,0.061296,0.411134,0.253501,0.116328,0.110645,0.113638,0.108097,0.103274,0.105453,0.349838,0.005683,0.004823,0.017286,0.000152,0.000232
dio_1yt8,offen_und_gereift->nur_gereift,1,1,NEG_STRESS_2023,7,4,0.215478,0.470387,0.391376,0.014571,0.005367,0.010059,0.042371,0.032599,0.036163,0.254909,0.009204,0.009772,0.048444,0.000090,0.001322
