world,start,end,class,role_count,durable_role_count,long_role_count,strain_role_count,unique_symbols,episodes,avg_rekopplung,avg_carry,avg_strain,avg_afterimage,top_roles,data_path
STRESS_NEGATIV_2024,8000,8500,einzelrekopplung,1,1,1,0,183,494,0.6818912031052946,0.481361012942519,0.16081549637162817,0.08099997065320715,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_stress-negativ-2024_start8000_size500.csv
STRESS_NEGATIV_2024,8500,9000,uebergang_mit_randkontakt,3,2,1,1,182,494,0.6815773651795805,0.48020482237332873,0.16132005187788376,0.07943613759492033,dio_mcm_episode_1k2bqha:field_carried:454; dio_mcm_episode_0e7qvj1:field_carried:39; dio_mcm_episode_0sjrih9:field_strained:1,data\scan_stress-negativ-2024_start8500_size500.csv
EXPANSION_POSITIV_2023,0,500,einzelrekopplung,1,1,1,0,173,494,0.6845374130762479,0.4840573294624058,0.15870949705188306,0.08795613375784725,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start0_size500.csv
EXPANSION_POSITIV_2023,500,1000,einzelrekopplung,1,1,1,0,176,494,0.6834724698937528,0.48165918752709663,0.1596499918837642,0.08378279824135354,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start500_size500.csv
EXPANSION_POSITIV_2023,1000,1500,uebergang_mit_randkontakt,3,2,2,1,173,494,0.6829039147356123,0.4823120342096292,0.15993393523280508,0.08024455903037739,dio_mcm_episode_0e7qvj1:field_carried:385; dio_mcm_episode_1v1rukl:field_carried:108; dio_mcm_episode_0sjrih9:field_strained:1,data\scan_expansion-positiv-2023_start1000_size500.csv
EXPANSION_POSITIV_2023,1500,2000,einzelrekopplung,1,1,1,0,176,494,0.6822101682995744,0.4804614479463484,0.15965497673337062,0.0697428082856416,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start1500_size500.csv
EXPANSION_POSITIV_2023,2000,2500,uebergang_mit_randkontakt,3,2,1,1,180,494,0.6832012210388849,0.4818292585241916,0.16102615798480854,0.09081391526658592,dio_mcm_episode_1k2bqha:field_carried:464; dio_mcm_episode_0e7qvj1:field_carried:29; dio_mcm_episode_0sjrih9:field_strained:1,data\scan_expansion-positiv-2023_start2000_size500.csv
EXPANSION_POSITIV_2023,2500,3000,einzelrekopplung,1,1,1,0,163,494,0.685739650124691,0.4856195226546911,0.15786366747415115,0.08797783435191696,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start2500_size500.csv
EXPANSION_POSITIV_2023,3000,3500,einzelrekopplung,1,1,1,0,189,494,0.6823205979979182,0.4811000597277723,0.1610495344905265,0.09042833906165346,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start3000_size500.csv
EXPANSION_POSITIV_2023,3500,4000,einzelrekopplung,1,1,1,0,174,494,0.6829373957628617,0.4826748116837359,0.16041803643301059,0.08725431381409415,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start3500_size500.csv
EXPANSION_POSITIV_2023,4000,4500,einzelrekopplung,1,1,1,0,176,494,0.6817927784481507,0.48084385670371416,0.1609014552829533,0.07397601261712274,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start4000_size500.csv
EXPANSION_POSITIV_2023,4500,5000,einzelrekopplung,1,1,1,0,177,494,0.6830444314172058,0.48244661701059277,0.15996347391408872,0.08040778534620857,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start4500_size500.csv
EXPANSION_POSITIV_2023,5000,5500,uebergang_mit_randkontakt,3,2,1,1,172,494,0.6815246298922872,0.48025695509416216,0.16107007692255562,0.07171306362753398,dio_mcm_episode_1k2bqha:field_carried:479; dio_mcm_episode_18d0kqk:field_carried:14; dio_mcm_episode_0ryrezu:field_strained:1,data\scan_expansion-positiv-2023_start5000_size500.csv
EXPANSION_POSITIV_2023,5500,6000,einzelrekopplung,1,1,1,0,182,494,0.6813157452605091,0.4798111672308724,0.16130829723349832,0.06977155386705738,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start5500_size500.csv
EXPANSION_POSITIV_2023,6000,6500,einzelrekopplung,1,1,1,0,183,494,0.6819402216592159,0.48005573431743254,0.16069263308701928,0.07882474823621191,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start6000_size500.csv
EXPANSION_POSITIV_2023,6500,7000,einzelrekopplung,1,1,1,0,182,494,0.6812376436201425,0.47945492786397714,0.16082755874373003,0.06651359362776933,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start6500_size500.csv
EXPANSION_POSITIV_2023,7000,7500,einzelrekopplung,1,1,1,0,170,494,0.6848291576691553,0.48541570537660056,0.15922338840441363,0.09518390194561774,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start7000_size500.csv
EXPANSION_POSITIV_2023,7500,8000,einzelrekopplung,1,1,1,0,184,494,0.6816808631529372,0.4798926617618716,0.16086665754880136,0.07517697677122208,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start7500_size500.csv
EXPANSION_POSITIV_2023,8000,8500,einzelrekopplung,1,1,1,0,185,494,0.6811773581594319,0.48035900673464893,0.162287931925352,0.08628834959741044,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start8000_size500.csv
EXPANSION_POSITIV_2023,8500,9000,einzelrekopplung,1,1,1,0,185,494,0.6804370001186004,0.4768354571115922,0.16063369605067518,0.0589664890092325,dio_mcm_episode_1joiyc3:field_carried:494,data\scan_expansion-positiv-2023_start8500_size500.csv
SYNTH_RAND_KIPP,0,500,einzelrekopplung,1,1,1,0,10,494,0.7540585656424892,0.6085344557715259,0.11936268102060424,0.8136807380138975,dio_mcm_episode_1v8o9kh:field_carried:494,data\scan_synth-rand-kipp_start0_size500.csv
SYNTH_RAND_KIPP,500,1000,einzelrekopplung,1,1,1,0,12,494,0.7496185923860823,0.5954150172799632,0.11679008591957009,0.7080375504783375,dio_mcm_episode_0d9qets:field_carried:494,data\scan_synth-rand-kipp_start500_size500.csv
