family,transition,count_2024,count_2025,base_net_2024,base_net_2025,follow_net_2024,follow_net_2025,base_range_2024,base_range_2025,follow_range_2024,follow_range_2025,base_hearing_gap_2024,base_hearing_gap_2025,follow_hearing_gap_2024,follow_hearing_gap_2025,base_tension_2024,base_tension_2025,follow_tension_2024,follow_tension_2025,range_delta_abs,hearing_delta_abs,tension_delta_abs
dio_0ly7,nur_gereift->offen_und_gereift,1,1,-9.537540,-9.401179,-1.125281,-26.343465,0.153387,0.229535,0.133903,0.283992,0.046898,0.037400,0.044390,0.046445,0.052828,0.045135,0.050395,0.051618,0.150089,0.002055,0.001223
dio_0m49,nur_gereift->offen_und_gereift,3,3,-0.747837,-3.562554,4.549998,-3.423702,0.075232,0.187493,0.188877,0.242739,0.179959,0.187552,0.187676,0.186421,0.174321,0.178530,0.175736,0.175667,0.053862,0.001256,0.000070
dio_0obq,nur_offen->offen_und_gereift,1,1,-1.083744,53.047953,0.697211,-17.687500,0.056725,0.242464,0.053170,0.263362,0.132956,0.135678,0.121245,0.137854,0.141233,0.136833,0.126444,0.140737,0.210192,0.016609,0.014293
dio_0p44,offen_und_gereift->nur_gereift,1,1,-0.788566,-5.385785,0.497760,-1.710480,0.148825,0.356001,0.093626,0.381079,0.270325,0.259306,0.256867,0.234691,0.254998,0.244906,0.242501,0.225536,0.287453,0.022176,0.016965
dio_0p8i,offen_und_gereift->nur_gereift,3,1,-0.987438,-14.834584,6.224872,0.000000,0.181795,0.489451,0.504126,0.735352,0.027700,0.029908,0.027717,0.041450,0.053636,0.055462,0.053790,0.062005,0.231226,0.013733,0.008215
dio_0qu8,nur_gereift->offen_und_gereift,1,1,0.000000,35.784437,5.380990,-18.802476,0.207084,0.726956,0.399796,1.291573,0.074853,0.066156,0.047445,0.041167,0.103377,0.097917,0.084140,0.084197,0.891777,0.006278,0.000057
dio_0qup,offen_und_gereift->nur_gereift,2,1,-4.240517,12.458060,-1.209524,-19.318007,0.406907,0.810495,0.515219,1.429556,0.060497,0.069082,0.065390,0.052369,0.081211,0.086150,0.082832,0.075767,0.914338,0.013021,0.007065
dio_0sa1,offen_und_gereift->nur_gereift,1,1,-2.325581,-19.205850,-5.019890,0.000000,0.327953,0.459722,0.556929,0.570486,0.190956,0.197211,0.177457,0.179419,0.170544,0.169715,0.162177,0.162946,0.013557,0.001962,0.000769
dio_0seb,offen_und_gereift->nur_gereift,1,1,0.000000,1.221924,0.000000,-1.049162,0.000000,0.830144,1.423855,1.024617,0.333900,0.341607,0.310143,0.326266,0.281321,0.285401,0.266482,0.279197,0.399238,0.016123,0.012715
dio_0sxm,nur_gereift->offen_und_gereift,1,1,0.000000,0.000000,4.518901,3.035913,0.000000,0.183688,0.794657,0.166722,0.171287,0.175150,0.191283,0.191525,0.157145,0.148414,0.161305,0.165364,0.627935,0.000242,0.004059
dio_0u24,nur_gereift->offen_und_gereift,1,1,0.000000,-2.132821,-7.214906,-1.408954,0.000000,0.594928,1.145337,0.996106,0.006093,0.010655,0.004600,0.008037,0.035239,0.043948,0.038621,0.041189,0.149231,0.003437,0.002568
dio_0u24,offen_und_gereift->nur_gereift,2,2,-6.275061,14.630885,0.360362,-13.003059,0.305208,0.459002,0.393245,0.489675,0.007920,0.007036,0.007262,0.009810,0.038974,0.036445,0.040884,0.035371,0.096430,0.002547,0.005513
dio_0u2x,offen_und_gereift->nur_gereift,1,1,-0.464707,0.680015,1.738369,5.441670,0.528467,0.050089,0.400666,0.071366,0.191513,0.200445,0.209590,0.192496,0.168323,0.166755,0.175853,0.163932,0.329300,0.017094,0.011921
dio_0v2o,nur_offen->offen_und_gereift,2,1,0.822943,0.000000,5.914759,1.542983,0.068543,0.222140,0.455541,0.117906,0.236159,0.266309,0.243364,0.235438,0.221174,0.243062,0.224156,0.216645,0.337635,0.007926,0.007511
dio_0z35,nur_gereift->offen_und_gereift,1,1,0.000000,9.096488,-1.196206,-32.985915,0.000000,0.650244,1.078843,1.036980,0.021053,0.033231,0.020088,0.020713,0.050786,0.057834,0.055578,0.053925,0.041863,0.000625,0.001653
dio_0z35,offen_und_gereift->nur_gereift,1,1,-1.669535,-16.098254,-5.455558,-14.764475,0.255294,0.581643,0.342807,0.919416,0.024602,0.028944,0.024046,0.025042,0.056138,0.056114,0.055306,0.053934,0.576609,0.000996,0.001372
dio_0z3k,offen_und_gereift->nur_gereift,1,2,-1.277641,13.588979,0.842836,-21.773570,0.127633,0.434013,0.126045,0.641166,0.119062,0.121038,0.124530,0.128145,0.111385,0.113479,0.116175,0.119173,0.515121,0.003615,0.002998
dio_0zac,nur_offen->offen_und_gereift,1,1,0.000000,-5.223347,0.597312,-19.456240,0.343811,0.616226,0.190925,0.597391,0.427685,0.417629,0.401133,0.401281,0.360547,0.353940,0.339192,0.341508,0.406466,0.000148,0.002316
dio_0zad,nur_gereift->offen_und_gereift,1,1,-8.498368,0.783875,-8.208173,5.310063,0.250379,0.111630,0.321820,0.108759,0.006229,0.007761,0.004413,0.009494,0.035472,0.040175,0.035255,0.029784,0.213061,0.005081,0.005471
dio_10dv,nur_gereift->offen_und_gereift,2,2,-10.173264,18.651512,-4.690648,-15.988882,0.077571,0.156787,0.080746,0.165301,0.120607,0.121473,0.116908,0.119230,0.116499,0.117779,0.113272,0.115662,0.084555,0.002322,0.002390
dio_11g7,offen_und_gereift->nur_gereift,1,1,-1.910751,-0.064683,-2.346592,0.000000,0.322937,0.531871,0.362122,0.581556,0.057776,0.048193,0.068380,0.084782,0.083131,0.075639,0.089073,0.102549,0.219434,0.016402,0.013476
dio_1350,nur_gereift->offen_und_gereift,1,1,-13.650521,-12.932979,2.692158,-28.268572,0.143413,0.218472,0.135672,0.342142,0.044832,0.042401,0.043235,0.041842,0.054035,0.052893,0.052290,0.051683,0.206470,0.001393,0.000607
dio_1350,offen_und_gereift->nur_gereift,1,1,0.000000,2.085703,1.281289,4.436229,0.000000,0.066355,0.350714,0.080602,0.041820,0.041530,0.040830,0.044923,0.052127,0.052469,0.051286,0.055546,0.270112,0.004093,0.004260
dio_137l,offen_und_gereift->nur_offen,1,1,-8.330689,0.907372,-6.170768,0.000000,0.310708,0.169367,0.347973,0.248580,0.009591,0.007513,0.007744,0.015778,0.049873,0.047444,0.045021,0.045183,0.099393,0.008034,0.000162
dio_13o0,nur_gereift->offen_und_gereift,1,1,0.000000,-0.916908,4.387027,-23.850727,0.000000,0.377104,0.503198,0.406887,0.017432,0.011232,0.015763,0.011596,0.036658,0.030320,0.034352,0.029907,0.096311,0.004167,0.004445
dio_13o0,offen_und_gereift->nur_gereift,2,1,-9.799216,36.212064,-2.650864,-7.531111,0.170627,0.339832,0.176827,0.402862,0.013254,0.009726,0.012822,0.012126,0.030808,0.027726,0.030148,0.030037,0.226035,0.000696,0.000110
dio_14d9,offen_und_gereift->nur_gereift,1,2,-8.637663,7.828762,2.035225,-13.843576,0.261774,0.388298,0.326985,0.542058,0.116847,0.122315,0.127886,0.115016,0.117995,0.118235,0.120804,0.113874,0.215073,0.012870,0.006930
dio_14fv,nur_gereift->offen_und_gereift,1,1,0.000000,0.000000,1.816786,0.986121,0.295858,0.222469,0.418592,0.127500,0.314145,0.314645,0.310427,0.310625,0.275071,0.274731,0.277925,0.277799,0.291092,0.000198,0.000126
dio_14l0,offen_und_gereift->nur_gereift,2,1,-6.626168,0.564122,0.411685,2.406516,0.302430,0.150106,0.297418,0.238151,0.108061,0.106504,0.104009,0.112768,0.120618,0.117634,0.117917,0.130872,0.059267,0.008759,0.012955
dio_16i6,offen_und_gereift->nur_offen,1,1,0.494560,2.187854,0.751880,4.852557,0.308688,0.262165,0.199454,0.227548,0.347013,0.354459,0.356802,0.338662,0.282903,0.287855,0.294410,0.277971,0.028094,0.018140,0.016439
dio_17dc,nur_gereift->offen_und_gereift,1,1,0.000000,2.736602,-0.111002,4.735479,0.000000,0.103924,0.569612,0.172785,0.122428,0.136123,0.142866,0.134461,0.114903,0.124227,0.126579,0.124591,0.396827,0.008405,0.001988
dio_17dc,offen_und_gereift->nur_gereift,1,2,-9.780794,37.513850,-0.340565,-16.522661,0.298527,0.430149,0.222454,0.566095,0.130818,0.133800,0.145728,0.142607,0.122120,0.122729,0.131479,0.130875,0.343641,0.003121,0.000604
dio_18im,nur_gereift->offen_und_gereift,2,1,-10.042051,1.889645,-2.133084,4.454343,0.129244,0.056109,0.139634,0.049677,0.182097,0.183356,0.180456,0.179016,0.164348,0.163210,0.163318,0.161450,0.089957,0.001440,0.001868
dio_18kx,offen_und_gereift->nur_gereift,1,1,0.000000,2.348485,10.141006,4.120677,0.000000,0.112522,0.726541,0.142819,0.065049,0.066982,0.069966,0.059297,0.081825,0.079598,0.084004,0.077260,0.583722,0.010669,0.006744
dio_1915,nur_gereift->offen_und_gereift,1,1,-10.404807,0.000000,-0.331772,-8.637361,0.380481,1.140542,0.572048,3.786790,0.200705,0.192251,0.204270,0.185132,0.174757,0.175142,0.174945,0.163680,3.214742,0.019138,0.011265
dio_19g0,offen_und_gereift->nur_gereift,2,1,-5.151997,-12.482327,-3.187432,-7.601508,0.172599,0.408110,0.130772,0.575301,0.131529,0.100258,0.117722,0.145282,0.126084,0.101865,0.116937,0.132116,0.444529,0.027560,0.015179
dio_1a09,offen_und_gereift->nur_gereift,2,1,5.003404,8.550377,-3.223969,-1.564025,0.705666,1.042978,0.512810,0.822592,0.191376,0.195617,0.183708,0.187179,0.170590,0.172340,0.168138,0.169996,0.309782,0.003471,0.001858
dio_1aeg,nur_gereift->offen_und_gereift,1,1,-6.360078,1.812005,-7.854545,3.988183,0.191406,0.132798,0.260138,0.130382,0.179323,0.175686,0.180797,0.180129,0.166425,0.165220,0.168832,0.168986,0.129756,0.000668,0.000154
dio_1ba6,offen_und_gereift->nur_gereift,2,3,-6.623977,19.308539,4.638035,-9.779863,0.116260,0.321331,0.550674,0.447095,0.005716,0.008467,0.008123,0.008234,0.039564,0.038741,0.042473,0.035875,0.103578,0.000111,0.006599
dio_1c38,nur_gereift->offen_und_gereift,1,2,-5.757649,0.000000,-1.436961,-2.382277,0.316677,0.684677,0.281296,0.615004,0.164461,0.189811,0.190233,0.186291,0.153273,0.169008,0.171960,0.165754,0.333708,0.003942,0.006206
dio_1cks,offen_und_gereift->nur_gereift,1,1,-7.845321,-18.614091,0.000000,3.304311,0.481156,0.970317,0.438179,1.743873,0.041667,0.066738,0.011313,0.037320,0.089635,0.109357,0.066343,0.092794,1.305694,0.026007,0.026451
dio_1cmd,nur_gereift->offen_und_gereift,1,1,-0.739280,44.622087,0.099059,-8.554179,0.004136,0.157197,0.000000,0.189223,0.256823,0.253488,0.258196,0.257989,0.240098,0.239621,0.241458,0.236206,0.189223,0.000207,0.005252
dio_1dln,nur_gereift->offen_und_gereift,1,1,0.000000,0.000000,0.697559,-4.344008,0.099059,0.258000,0.099429,0.402516,0.317746,0.303801,0.331584,0.318846,0.288040,0.276850,0.297939,0.291851,0.303087,0.012738,0.006088
dio_1fe0,offen_und_gereift->nur_gereift,1,1,-1.476395,-16.008326,-1.044833,-1.612787,0.175607,0.406508,0.234423,0.871119,0.076722,0.063087,0.067956,0.068494,0.088762,0.080131,0.082626,0.083109,0.636696,0.000538,0.000483
dio_1fll,nur_gereift->offen_und_gereift,1,1,-6.360252,18.712904,-9.384942,-13.055677,0.081248,0.193411,0.100336,0.193803,0.015829,0.014435,0.014399,0.014195,0.028298,0.025855,0.024787,0.025468,0.093467,0.000204,0.000681
dio_1gsb,nur_gereift->offen_und_gereift,3,1,-0.099522,-13.033308,1.329671,-15.375830,0.123886,0.363303,0.289765,0.629596,0.065641,0.063141,0.073081,0.072560,0.076607,0.074639,0.080598,0.080407,0.339831,0.000521,0.000191
dio_1hq9,offen_und_gereift->nur_gereift,1,1,0.594943,6.298290,0.000000,-5.379655,0.049646,0.361766,0.049950,0.655161,0.116383,0.136426,0.099002,0.124563,0.120804,0.133360,0.109974,0.125113,0.605211,0.025561,0.015139
dio_1j1f,nur_gereift->offen_und_gereift,1,1,0.000000,0.075188,16.033479,4.425437,0.000000,0.187575,1.227270,0.301149,0.010202,0.054797,0.041362,0.034752,0.067248,0.092641,0.085696,0.082197,0.926121,0.006610,0.003499
dio_1jsj,offen_und_gereift->nur_gereift,1,1,-12.973606,-12.988028,-1.765383,-8.614552,0.221868,0.399807,0.250907,0.575172,0.041309,0.034851,0.032910,0.044865,0.055145,0.052260,0.052402,0.057193,0.324265,0.011955,0.004791
dio_1l99,nur_gereift->offen_und_gereift,1,2,0.000000,2.247403,14.668782,-12.312824,0.000000,0.776976,1.452255,1.609453,0.038480,0.057719,0.052019,0.046464,0.069894,0.095881,0.088846,0.093707,0.157198,0.005555,0.004861
dio_1o0u,nur_gereift->offen_und_gereift,1,1,-0.590842,-13.417221,0.347395,-28.310740,0.182491,0.436284,0.114527,0.671114,0.185116,0.185249,0.190675,0.179406,0.167432,0.166573,0.168761,0.161810,0.556587,0.011269,0.006951
dio_1oo7,offen_und_gereift->nur_gereift,1,1,7.007772,5.838611,0.000000,0.000000,0.449394,0.790195,0.490196,1.218734,0.009282,0.007496,0.030873,0.009869,0.052685,0.049844,0.043917,0.050752,0.728538,0.021004,0.006835
dio_1oye,nur_gereift->offen_und_gereift,1,1,-11.661010,37.182438,-2.024090,-7.931852,0.308674,0.365819,0.165232,0.348550,0.176071,0.178711,0.181139,0.176829,0.165003,0.169880,0.171650,0.169398,0.183318,0.004310,0.002252
dio_1q2r,nur_gereift->offen_und_gereift,1,1,0.000000,17.609288,11.104052,-22.617146,0.000000,0.835551,1.034885,1.119449,0.140648,0.135875,0.140131,0.127180,0.130543,0.129171,0.130587,0.124500,0.084564,0.012951,0.006087
dio_1q2r,offen_und_gereift->nur_gereift,1,1,-1.547576,-16.842411,-4.797775,-22.795124,0.372301,0.665656,0.446948,1.074899,0.129203,0.119644,0.131392,0.131364,0.123134,0.118500,0.125085,0.126108,0.627951,0.000028,0.001023
dio_1qyl,offen_und_gereift->nur_gereift,3,3,-3.526169,18.119747,-1.609622,-17.525540,0.243365,0.627212,0.321331,0.966089,0.029494,0.031070,0.028766,0.026844,0.054781,0.055006,0.054233,0.054657,0.644758,0.001923,0.000424
dio_1r55,nur_gereift->offen_und_gereift,1,2,-9.552005,0.552589,-1.887261,-6.460450,0.084044,0.080881,0.059174,0.122458,0.136531,0.133771,0.133092,0.131762,0.132061,0.129505,0.128389,0.127700,0.063284,0.001330,0.000689
dio_1rrr,offen_und_gereift->nur_gereift,2,1,-6.576674,15.900625,-3.189482,-31.665407,0.128293,0.370238,0.443599,0.407392,0.189055,0.194667,0.193209,0.195757,0.163681,0.164182,0.166083,0.164845,0.036207,0.002548,0.001238
dio_1s2n,offen_und_gereift->nur_gereift,2,1,-3.594780,39.737295,-1.826494,-8.576076,0.146421,0.462173,0.185008,0.653481,0.028258,0.035035,0.033270,0.029081,0.052655,0.057425,0.056412,0.056319,0.468472,0.004189,0.000093
dio_1sa0,nur_gereift->offen_und_gereift,1,1,0.000000,0.867270,13.190964,4.528582,0.000000,0.084271,0.722673,0.108687,0.123596,0.128555,0.122512,0.129987,0.120363,0.125807,0.120385,0.124371,0.613986,0.007475,0.003986
dio_1u4x,nur_gereift->offen_und_gereift,1,2,1.151872,-9.047019,0.226387,-16.979535,0.180436,0.307051,0.181847,0.374899,0.076188,0.081256,0.081077,0.081722,0.081612,0.081938,0.083612,0.082927,0.193052,0.000645,0.000685
dio_1udx,offen_und_gereift->nur_gereift,1,1,-0.310636,45.271093,0.076307,-0.182892,0.070064,0.180279,0.075746,0.182842,0.239296,0.239644,0.259885,0.244790,0.223920,0.220127,0.232396,0.230637,0.107096,0.015095,0.001759
dio_1uyk,offen_und_gereift->nur_gereift,1,1,-11.197206,18.754913,0.612714,-32.784097,0.395106,0.532584,0.352359,0.897496,0.173369,0.180141,0.192089,0.184219,0.160970,0.164472,0.172452,0.168998,0.545137,0.007870,0.003454
dio_1w94,offen_und_gereift->nur_gereift,2,2,-5.080609,15.383841,0.985210,-30.306403,0.217242,0.707128,0.273179,1.224822,0.055077,0.060133,0.057483,0.054480,0.081623,0.082511,0.082736,0.081736,0.951642,0.003003,0.001001
dio_1wdi,offen_und_gereift->nur_gereift,1,1,-0.938478,3.762861,-4.824888,-23.387149,0.219573,0.354085,0.190314,0.681117,0.010144,0.008580,0.012030,0.007719,0.037643,0.045244,0.037068,0.039537,0.490803,0.004311,0.002469
dio_1ydr,offen_und_gereift->nur_gereift,1,1,0.841258,-13.935091,-9.149223,-19.749151,0.353263,0.597596,0.293231,0.714764,0.120624,0.146630,0.122144,0.116793,0.125609,0.143149,0.125149,0.120096,0.421533,0.005351,0.005053
