world,start_tick,end_tick,duration,pressure_threshold_p90,alignment_threshold_p10,avg_pressure,avg_alignment,avg_asymmetry,avg_coherence,avg_strain,avg_rekopplung,pre8_pressure,post8_pressure,pre8_alignment,post8_alignment,pre8_rekopplung,post8_rekopplung,pre8_strain,post8_strain,dominant_effect,dominant_family,dominant_mcm_episode_preview,post_state
SOL_2023_NEG_STRESS_10K_RECEPTOR,1462,1462,1,0.301645,0.761854,0.356826,0.677204,-0.059397,0.498644,0.297250,0.587891,0.193891,0.303760,0.861119,0.796831,0.644950,0.628715,0.184995,0.237380,kippend,dio_1yi6,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1466,1466,1,0.301645,0.761854,0.355942,0.741153,-0.328325,0.619145,0.295113,0.593276,0.234742,0.290425,0.807046,0.768387,0.632031,0.623953,0.217952,0.226902,kippend,dio_1nwo,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1472,1472,1,0.301645,0.761854,0.340382,0.701157,-0.231695,0.313046,0.265035,0.593381,0.294442,0.271292,0.800941,0.717874,0.629906,0.615220,0.231756,0.228431,tragend_unruhig,dio_002w,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1474,1475,2,0.301645,0.761854,0.316900,0.641146,-0.235189,0.267558,0.252790,0.596575,0.296665,0.252849,0.782598,0.757643,0.625028,0.627750,0.230845,0.213361,tragend_unruhig,dio_04rb,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1479,1479,1,0.301645,0.761854,0.322220,0.761489,0.275361,0.337418,0.236765,0.614316,0.262004,0.215999,0.716491,0.803115,0.615474,0.637561,0.226023,0.197612,tragend_unruhig,dio_13dn,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1490,1491,2,0.301645,0.761854,0.380088,0.646387,-0.035625,0.348351,0.280945,0.594216,0.201937,0.230166,0.819778,0.863155,0.641841,0.636931,0.193939,0.199712,kippend,dio_0a1d,dio_mcm_episode_1t5bcxp,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1502,1502,1,0.301645,0.761854,0.529163,0.516727,-0.174738,0.324197,0.383578,0.543249,0.228821,0.411261,0.867711,0.660152,0.637149,0.599049,0.198295,0.285842,gespannt,dio_0bpm,dio_mcm_episode_13liivl,bleibt_kippnah_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1504,1507,4,0.301645,0.761854,0.483531,0.589276,-0.321717,0.356772,0.325929,0.578313,0.273021,0.267333,0.814601,0.770139,0.627051,0.635614,0.224042,0.214579,kippend,dio_1ssy,dio_mcm_episode_06ecttu,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1509,1511,3,0.301645,0.761854,0.377560,0.626769,0.120180,0.313372,0.262312,0.617632,0.407111,0.199157,0.679391,0.857583,0.596931,0.643404,0.290557,0.186192,tragend_unruhig,dio_02hi,dio_mcm_episode_1a2dopw,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1526,1526,1,0.301645,0.761854,0.320925,0.673014,0.044066,0.436036,0.265770,0.604201,0.239967,0.253069,0.808914,0.778335,0.637865,0.627785,0.204022,0.214682,tragend_unruhig,dio_0ifu,dio_mcm_episode_02xikfk,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1535,1535,1,0.301645,0.761854,0.318984,0.586609,0.010835,0.219737,0.236851,0.612346,0.253069,0.218964,0.778335,0.860365,0.627785,0.639715,0.214682,0.197243,tragend_unruhig,dio_1lbu,dio_mcm_episode_02xikfk,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1570,1570,1,0.301645,0.761854,0.420770,0.586180,0.098262,0.250153,0.321488,0.565450,0.181854,0.200360,0.897909,0.818014,0.661400,0.642541,0.167711,0.186548,kippend,dio_1xmo,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1587,1587,1,0.301645,0.761854,0.464988,0.720432,0.362322,0.267572,0.300760,0.587057,0.222845,0.225309,0.827511,0.826638,0.651705,0.644323,0.193925,0.197719,kippend,dio_1i1g,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1654,1654,1,0.301645,0.761854,0.525758,0.485655,0.298790,0.078863,0.359811,0.548877,0.168851,0.240537,0.901828,0.854313,0.664864,0.635167,0.168890,0.214244,gespannt,dio_0hh6,dio_mcm_episode_19a388p,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1680,1680,1,0.301645,0.761854,0.356650,0.626238,-0.020878,0.319930,0.260441,0.605919,0.238780,0.204543,0.797122,0.862392,0.639574,0.657303,0.199546,0.174653,tragend_unruhig,dio_00yd,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1709,1709,1,0.301645,0.761854,0.354231,0.678466,-0.020375,0.502617,0.294143,0.590071,0.205559,0.210479,0.827911,0.861351,0.642796,0.655042,0.193330,0.181036,kippend,dio_0gis,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1754,1755,2,0.301645,0.761854,0.457408,0.678910,0.326506,0.440481,0.300181,0.599023,0.183201,0.195239,0.875717,0.867255,0.654933,0.654172,0.173722,0.174957,kippend,dio_1tyc,dio_mcm_episode_1t5bcxp,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1778,1778,1,0.301645,0.761854,0.552457,0.482977,-0.195495,0.296213,0.394581,0.538234,0.203620,0.280324,0.896136,0.768074,0.652419,0.631171,0.190183,0.222873,gespannt,dio_0c82,dio_mcm_episode_13liivl,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1781,1781,1,0.301645,0.761854,0.346827,0.563444,-0.001773,0.186471,0.253194,0.630041,0.283330,0.275965,0.806876,0.799618,0.638301,0.615399,0.227581,0.231533,tragend_unruhig,dio_1f8m,dio_mcm_episode_0wxdilw,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1789,1789,1,0.301645,0.761854,0.568688,0.587800,-0.213480,0.249559,0.396391,0.528224,0.248233,0.349917,0.796573,0.736162,0.628126,0.617051,0.213633,0.245072,gespannt,dio_0lwz,dio_mcm_episode_1927mcg,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1791,1791,1,0.301645,0.761854,0.431481,0.489183,-0.032117,0.053332,0.275422,0.592919,0.291560,0.302055,0.794458,0.797575,0.615303,0.625263,0.235747,0.227823,tragend_unruhig,dio_0uae,dio_mcm_episode_1aylh55,offen_getragen_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1793,1794,2,0.301645,0.761854,0.399169,0.647178,0.048941,0.350291,0.262187,0.613596,0.323240,0.198027,0.744081,0.887683,0.608858,0.647466,0.247971,0.186631,tragend_unruhig,dio_1hkn,dio_mcm_episode_0pclaui,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1808,1808,1,0.301645,0.761854,0.486173,0.651462,0.345740,0.199855,0.322228,0.571919,0.187353,0.216498,0.909184,0.877892,0.651386,0.648902,0.180707,0.192834,gespannt,dio_099h,dio_mcm_episode_0u1du0f,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1846,1846,1,0.301645,0.761854,0.427376,0.636594,0.481953,0.404357,0.284621,0.610651,0.162395,0.180717,0.888504,0.894064,0.655365,0.654693,0.168735,0.174058,kippend,dio_17ll,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1892,1892,1,0.301645,0.761854,0.424055,0.597671,0.389551,0.288535,0.300481,0.588656,0.165996,0.195382,0.926127,0.863753,0.666063,0.653797,0.158572,0.179726,kippend,dio_08ky,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1919,1919,1,0.301645,0.761854,0.362048,0.710944,0.140364,0.301625,0.270185,0.595371,0.147561,0.140447,0.904183,0.917916,0.670697,0.665625,0.151778,0.157440,tragend_unruhig,dio_12tf,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1929,1929,1,0.301645,0.761854,0.344991,0.716525,0.052161,0.401478,0.242026,0.627453,0.137460,0.163279,0.922636,0.906933,0.668113,0.655729,0.154807,0.167424,tragend_unruhig,dio_1pj6,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,1951,1951,1,0.301645,0.761854,0.313900,0.740261,0.260265,0.421737,0.249707,0.612028,0.141762,0.179862,0.906102,0.894636,0.665703,0.668811,0.152323,0.164047,tragend_unruhig,dio_0gz8,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2018,2018,1,0.301645,0.761854,0.360142,0.755267,0.046814,0.380045,0.274107,0.594383,0.216131,0.221245,0.869305,0.854523,0.650082,0.648284,0.186451,0.190046,tragend_unruhig,dio_0xt5,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2030,2030,1,0.301645,0.761854,0.408039,0.564356,0.199492,0.311926,0.311091,0.581237,0.222331,0.184484,0.841912,0.902570,0.654354,0.650305,0.191984,0.188345,kippend,dio_0x1b,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2071,2071,1,0.301645,0.761854,0.316771,0.681784,0.020240,0.437463,0.238495,0.624349,0.232595,0.195137,0.859746,0.873222,0.655029,0.657357,0.186552,0.175727,tragend_unruhig,dio_03xs,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2165,2166,2,0.301645,0.761854,0.332759,0.670765,0.077745,0.435028,0.263246,0.611179,0.205311,0.210835,0.869713,0.853429,0.652441,0.652293,0.182189,0.190610,kippend,dio_1ukz,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2179,2179,1,0.301645,0.761854,0.416041,0.716497,0.412798,0.387517,0.292970,0.591600,0.210816,0.214190,0.880847,0.883365,0.641656,0.640848,0.192645,0.194413,kippend,dio_1oz3,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2186,2186,1,0.301645,0.761854,0.338462,0.749213,0.089390,0.385386,0.269988,0.594760,0.227790,0.213855,0.886733,0.874339,0.637257,0.650276,0.200725,0.183713,tragend_unruhig,dio_124a,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2200,2200,1,0.301645,0.761854,0.393867,0.684369,0.441201,0.458306,0.271115,0.616955,0.172306,0.195267,0.894300,0.883155,0.662088,0.658531,0.170418,0.176779,tragend_unruhig,dio_0u18,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2247,2247,1,0.301645,0.761854,0.354975,0.753870,0.083754,0.373189,0.276206,0.591157,0.164222,0.176774,0.918477,0.915382,0.660398,0.663096,0.168357,0.172815,tragend_unruhig,dio_1r6j,dio_mcm_episode_183drjy,rekoppelt_nach_kontaktinsel
SOL_2023_NEG_STRESS_10K_RECEPTOR,2280,2281,2,0.301645,0.761854,0.428241,0.547262,-0.012268,0.124822,0.284030,0.586786,0.288212,0.258130,0.837904,0.849500,0.636067,0.632173,0.217444,0.212116,kippend,dio_1q91,dio_mcm_episode_183drjy,offen_getragen_nach_kontaktinsel
