world,mcm_preview,symbol_family,count,share_of_open,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,longest_streak,streak_count
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_00uc,1,0.007937,0.610926,0.352841,0.223540,0.792052,0.166614,0.209215,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1iaq,1,0.007937,0.637077,0.442918,0.227618,0.830410,0.044033,0.273279,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_00nw,1,0.007937,0.650021,0.467195,0.238378,0.893889,0.071762,0.070184,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_06ki,1,0.007937,0.622387,0.445881,0.266864,0.803314,0.158822,0.247852,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0csi,1,0.007937,0.618772,0.435895,0.269470,0.790959,0.187711,0.149934,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1fvl,1,0.007937,0.605343,0.414364,0.268447,0.743179,0.156204,0.326785,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1g9p,1,0.007937,0.625117,0.397550,0.239110,0.840208,0.147056,0.038808,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_12p0,1,0.007937,0.607796,0.351914,0.225670,0.783302,0.184730,0.209939,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_16w6,1,0.007937,0.599039,0.348441,0.268014,0.786401,0.316717,0.046913,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0qkd,1,0.007937,0.641563,0.428199,0.227803,0.857862,0.087625,0.132450,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_19ie,1,0.007937,0.631937,0.404410,0.221445,0.830172,0.201584,0.068446,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_0uzg,1,0.007937,0.618615,0.377974,0.236888,0.815271,0.283151,0.000055,1,1
NEG_STRESS_2023,dio_mcm_episode_1t5bcxp,dio_1q9b,1,0.007937,0.644424,0.369371,0.253012,0.841897,0.094256,0.231589,1,1
