pair,movement_class,count,worlds,dominant_world,dominant_role_shift,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
dio_mcm_episode_0magw2b->dio_mcm_episode_1yv9fvu,rekopplungsbogen,4,4,SIDEWAYS_2024 (1/4),spannungsrand_kippnaehe->offene_variante (1/4),-0.046627,-0.112560,0.033386,0.029557,-0.224170
dio_mcm_episode_177kjvc->dio_mcm_episode_03xfov3,gemischte_feldbewegung,4,3,NEG_STRESS_2023 (2/4),zentrum_stabil->zentrum_stabil (3/4),-0.008391,0.059291,-0.042347,-0.007457,-0.072560
dio_mcm_episode_03724m4->dio_mcm_episode_0y0oxs9,druck_rueckfuehrung,4,4,SIDEWAYS_2026 (1/4),zentrum_stabil->offene_variante (3/4),0.049623,-0.061697,0.042586,-0.026746,0.230276
dio_mcm_episode_0y0oxs9->dio_mcm_episode_009px6q,gemischte_feldbewegung,4,4,SIDEWAYS_2026 (1/4),zentrum_stabil->zentrum_stabil (3/4),0.013859,-0.015159,-0.002644,-0.008596,0.054923
dio_mcm_episode_009px6q->dio_mcm_episode_0y50lf3,rekopplungsbogen,4,4,SIDEWAYS_2026 (1/4),zentrum_stabil->zentrum_stabil (3/4),-0.014404,0.021463,-0.001824,0.015808,-0.053922
dio_mcm_episode_0wxdilw->dio_mcm_episode_0magw2b,gemischte_feldbewegung,4,3,NEG_STRESS_2024 (2/4),zentrum_stabil->zentrum_stabil (3/4),-0.013692,-0.066784,-0.001950,0.005432,-0.052322
dio_mcm_episode_0wxdilw->dio_mcm_episode_04e9yp5,rekopplungsbogen,3,3,SIDEWAYS_2024 (1/3),zentrum_stabil->zentrum_stabil (2/3),-0.031767,0.139886,0.004502,0.025137,-0.011720
dio_mcm_episode_12zl3pt->dio_mcm_episode_177kjvc,gemischte_feldbewegung,3,3,SIDEWAYS_2024 (1/3),zentrum_stabil->zentrum_stabil (3/3),0.023366,0.011810,0.034986,-0.020984,0.053089
dio_mcm_episode_0u1i1ff->dio_mcm_episode_03724m4,rekopplungsbogen,3,3,SIDEWAYS_2026 (1/3),zentrum_stabil->zentrum_stabil (3/3),-0.015245,0.066675,0.005543,0.009200,-0.036498
dio_mcm_episode_1ur03vd->dio_mcm_episode_02xikfk,gemischte_feldbewegung,3,3,SIDEWAYS_2026 (1/3),zentrum_stabil->zentrum_stabil (2/3),-0.025414,-0.083100,-0.074199,-0.011106,-0.092231
dio_mcm_episode_0ifxej6->dio_mcm_episode_0x7d4av,gemischte_feldbewegung,3,3,NEG_STRESS_2023 (1/3),zentrum_stabil->zentrum_stabil (2/3),0.019141,-0.135482,0.030971,-0.016408,0.023079
dio_mcm_episode_1t5bcxp->dio_mcm_episode_0l5wut9,druck_rueckfuehrung,3,3,NEG_STRESS_2023 (1/3),zentrum_stabil->spannungsrand_kippnaehe (3/3),0.179706,0.002872,0.077518,-0.091035,0.573791
dio_mcm_episode_0y50lf3->dio_mcm_episode_19cadje,druck_rueckfuehrung,2,2,SIDEWAYS_2024 (1/2),zentrum_stabil->spannungsrand_kippnaehe (2/2),0.246373,0.004877,0.091569,-0.113526,0.775071
dio_mcm_episode_0ixmssr->dio_mcm_episode_04e9yp5,schaerfungsuebergang,2,2,SIDEWAYS_2024 (1/2),zentrum_stabil->zentrum_stabil (2/2),-0.014511,0.094840,-0.036591,0.003688,-0.051627
dio_mcm_episode_0vq085e->dio_mcm_episode_085wm7v,rekopplungsbogen,2,2,SIDEWAYS_2024 (1/2),offene_variante->zentrum_stabil (1/2),-0.039862,0.086789,0.024440,0.023271,0.024507
dio_mcm_episode_085wm7v->dio_mcm_episode_1yv9fvu,offener_uebergang,2,2,SIDEWAYS_2024 (1/2),zentrum_stabil->offene_variante (1/2),0.034735,-0.225357,-0.008891,-0.019591,-0.035814
dio_mcm_episode_14wxqua->dio_mcm_episode_0magw2b,druck_rueckfuehrung,2,2,SIDEWAYS_2024 (1/2),zentrum_stabil->spannungsrand_kippnaehe (1/2),0.089624,-0.222020,-0.021693,-0.059773,0.174579
dio_mcm_episode_1t5bcxp->dio_mcm_episode_19a388p,druck_rueckfuehrung,2,2,SIDEWAYS_2024 (1/2),zentrum_stabil->spannungsrand_kippnaehe (2/2),0.201434,-0.146954,0.071801,-0.105343,0.586925
