world,feature,mean,mean_abs,p50_abs,p95_abs,p99_abs,saturation_ratio,flat_ratio,feature_state
SOL_2024_5M_REAL1,mcm_feldwirkung.mcm_coherence,0.3978301854781029,0.40485171203614767,0.4029949174785652,0.7904482596396389,0.8953112099986341,0.0,0.007,tragbar
SOL_2024_5M_REAL1,mcm_feldwirkung.mcm_tension,0.307748837709856,0.307748837709856,0.29642959151692144,0.5386376451521748,0.6217671038841864,0.0,0.001,tragbar
SOL_2024_5M_REAL1,mcm_feldwirkung.mcm_asymmetry,-2.8093991162400046e-05,0.1670229149616729,0.1327308071530767,0.45132434284208994,0.7108498445771324,0.001,0.077,tragbar
SOL_2024_1H_2K,sehen.form_flow,0.04258088842494023,0.6137900807249138,0.6282432334783328,1.0,1.0,0.319,0.0185,uebersteuert
SOL_2024_1H_2K,sehen.form_stability,-0.3171666666666667,0.5066666666666667,1.0,1.0,1.0,0.5005,0.487,uebersteuert
SOL_2024_1H_2K,sehen.form_change,-0.006308304569102525,0.6760743764786331,0.7976125263499252,1.0,1.0,0.4185,0.019,uebersteuert
SOL_2024_1H_2K,hoeren.energy_tone,0.005310142286673718,0.20534275769027147,0.17240801078679086,0.5211844107936539,0.8948102328129425,0.0055,0.0575,tragbar
SOL_2024_1H_2K,hoeren.energy_shift,0.003257899873110183,0.3780843288038126,0.30839209710515303,1.0,1.0,0.074,0.0385,nahe_saettigung
SOL_2024_1H_2K,mcm_feldwirkung.mcm_coherence,0.18977417612494865,0.2685897947530708,0.23732784047973912,0.6146585312381952,0.7809035265684057,0.0,0.048,tragbar
SOL_2024_1H_2K,mcm_feldwirkung.mcm_tension,0.42838416143166735,0.42838416143166735,0.4220679894621332,0.6350232320412641,0.7012975229567844,0.0,0.0005,tragbar
SOL_2024_1H_2K,mcm_feldwirkung.mcm_asymmetry,0.017210889102725575,0.2841691685869031,0.23870747338325848,0.7192021593395822,0.9199479369924062,0.003,0.04,tragbar
BTC_2024_5M_2K,sehen.form_flow,0.00724573469639937,0.11708396504206504,0.08000765866331531,0.3513692770151185,0.6014454279809855,0.003,0.1265,tragbar
BTC_2024_5M_2K,sehen.form_stability,-0.3056666666666667,0.5011666666666666,0.75,1.0,1.0,0.5,0.4975,uebersteuert
BTC_2024_5M_2K,sehen.form_change,-0.00013517277251942606,0.1470752321622371,0.10101064771157175,0.44325473210758176,0.7365775246794736,0.007,0.111,tragbar
BTC_2024_5M_2K,hoeren.energy_tone,0.0005468568893076562,0.20803039066769372,0.16901911958326288,0.5518985171813524,0.9364382471045151,0.0085,0.0595,tragbar
BTC_2024_5M_2K,hoeren.energy_shift,-0.007346925534522181,0.44840151726142063,0.38862220140698633,1.0,1.0,0.11,0.026,uebersteuert
BTC_2024_5M_2K,mcm_feldwirkung.mcm_coherence,0.4128893281255606,0.41569230070062035,0.3622375440923543,0.7655823853171629,0.9343511558893652,0.0,0.0115,tragbar
BTC_2024_5M_2K,mcm_feldwirkung.mcm_tension,0.2677097502934807,0.2677097502934807,0.2621937019655711,0.46206058781550313,0.5975739233104088,0.0,0.0005,tragbar
BTC_2024_5M_2K,mcm_feldwirkung.mcm_asymmetry,0.0013397293532998197,0.1339962296735008,0.11167923744543706,0.33365675663319355,0.5125915353713649,0.0,0.091,tragbar
BTC_2024_1H_2K,sehen.form_flow,0.04404419542463248,0.37543661008627227,0.27391961841882173,1.0,1.0,0.109,0.038,uebersteuert
BTC_2024_1H_2K,sehen.form_stability,-0.3226666666666667,0.5036666666666667,1.0,1.0,1.0,0.5035,0.496,uebersteuert
BTC_2024_1H_2K,sehen.form_change,-0.0039723869939235976,0.44985577285318484,0.3767664821598681,1.0,1.0,0.1415,0.0305,uebersteuert
BTC_2024_1H_2K,hoeren.energy_tone,0.005109444880571987,0.21763118543511395,0.17068554461282104,0.5953755494076838,0.9865804503160281,0.011,0.055,tragbar
BTC_2024_1H_2K,hoeren.energy_shift,0.0015719961369030104,0.40025795137811915,0.3335963791475975,1.0,1.0,0.09,0.0345,nahe_saettigung
BTC_2024_1H_2K,mcm_feldwirkung.mcm_coherence,0.3173751918601521,0.34320096503078895,0.3071842267725248,0.6833194945862836,0.8648575779126572,0.0,0.032,tragbar
BTC_2024_1H_2K,mcm_feldwirkung.mcm_tension,0.3547086378108802,0.3547086378108802,0.3375522821185829,0.608768286962533,0.6924,0.0,0.0005,tragbar
BTC_2024_1H_2K,mcm_feldwirkung.mcm_asymmetry,0.017907103362199982,0.19521374458600943,0.14226555197900548,0.5948555997263759,0.9134076999964792,0.004,0.0795,tragbar
SOL_2023_NEG_STRESS,sehen.form_flow,-0.006560861324078856,0.164118811822082,0.1183298413554438,0.48185311021497407,1.0,0.014,0.064,tragbar
SOL_2023_NEG_STRESS,sehen.form_stability,-0.311,0.515,0.5,1.0,1.0,0.363,0.333,uebersteuert
SOL_2023_NEG_STRESS,sehen.form_change,-0.001856830830432558,0.2030582875027603,0.15235955144550406,0.5812583976200585,0.8651825800838179,0.009,0.088,tragbar
SOL_2023_NEG_STRESS,hoeren.energy_tone,-0.00035818186713859195,0.22128415215358574,0.17959057277035945,0.5872862711719494,1.0,0.014,0.058,tragbar
SOL_2023_NEG_STRESS,hoeren.energy_shift,-0.00042132025988207136,0.36588843866749277,0.29411764705880766,1.0,1.0,0.061,0.126,nahe_saettigung
SOL_2023_NEG_STRESS,mcm_feldwirkung.mcm_coherence,0.4260105479172836,0.4286720838994805,0.4301585440097284,0.7671672290784027,0.887866575368421,0.0,0.005,tragbar
SOL_2023_NEG_STRESS,mcm_feldwirkung.mcm_tension,0.2720787949958273,0.2720787949958273,0.26162158147010034,0.47229875394955323,0.5945572733883581,0.0,0.001,tragbar
SOL_2023_NEG_STRESS,mcm_feldwirkung.mcm_asymmetry,-0.003182846868242936,0.12597745687236986,0.09651990650863894,0.3351448444281429,0.5505335440398873,0.0,0.119,tragbar
