intake_key;axis;inner_effect_state;mcm_preview_symbol;base_quality;probe_quality;comparison_state;base_events;probe_events;base_balance;probe_balance;balance_delta;base_strain;probe_strain;base_fieldinput;probe_fieldinput;fieldinput_delta
feldinput|inner_effect_tipping|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_tipping;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;38;52;0.174182;0.177763;0.003581000000000001;0.301444;0.298587;0.423189;0.44015;0.016961000000000004
feldinput|inner_effect_stable|dio_mcm_episode_1rxdw4p;feldinput;inner_effect_stable;dio_mcm_episode_1rxdw4p;contact_loaded_intake;contact_loaded_intake;quality_reproduced;2;45;0.419084;0.472027;0.05294299999999996;0.19012;0.17264;0.2015;0.200911;-0.0005890000000000062
hoeren_leise|inner_effect_stable|dio_mcm_episode_1rxdw4p;hoeren_leise;inner_effect_stable;dio_mcm_episode_1rxdw4p;young_intake_trace;young_intake_trace;quality_reproduced;5;35;0.501362;0.487943;-0.013418999999999959;0.156949;0.166901;0.160101;0.186614;0.02651300000000001
sehen_abstand|inner_effect_stable|dio_mcm_episode_1rxdw4p;sehen_abstand;inner_effect_stable;dio_mcm_episode_1rxdw4p;young_intake_trace;young_intake_trace;quality_reproduced;4;32;0.516373;0.521286;0.004913000000000056;0.152632;0.156009;0.108508;0.116862;0.008354
feldinput|inner_effect_stable|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_stable;dio_mcm_episode_1hdpu9s;contact_loaded_intake;contact_loaded_intake;quality_reproduced;28;30;0.436183;0.444685;0.00850200000000001;0.18331;0.180373;0.221191;0.212891;-0.008300000000000002
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0db07p4;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0db07p4;young_intake_trace;young_intake_trace;quality_reproduced;5;30;0.4284;0.403597;-0.02480300000000002;0.191401;0.204552;0.118016;0.141125;0.023109000000000005
hoeren_leise|inner_effect_stable|dio_mcm_episode_1hdpu9s;hoeren_leise;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;23;27;0.48638;0.485283;-0.0010969999999999591;0.167038;0.168665;0.164556;0.172521;0.007965
ausgeglichen|inner_effect_stable|dio_mcm_episode_1hdpu9s;ausgeglichen;inner_effect_stable;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;29;26;0.528269;0.530534;0.0022649999999999615;0.15266;0.152539;0.121089;0.115364;-0.005725000000000008
feldinput|inner_effect_carried_unrest|dio_mcm_episode_1rxdw4p;feldinput;inner_effect_carried_unrest;dio_mcm_episode_1rxdw4p;contact_loaded_intake;contact_loaded_intake;quality_reproduced;3;19;0.285342;0.331866;0.04652400000000001;0.248206;0.230594;0.324574;0.311309;-0.013264999999999971
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_1hdpu9s;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;young_intake_trace;young_intake_trace;quality_reproduced;18;19;0.465176;0.462318;-0.0028579999999999717;0.180889;0.182578;0.119155;0.144544;0.02538900000000001
fuehlen_abstand|inner_effect_carried_unrest|dio_mcm_episode_1joiyc3;fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1joiyc3;young_intake_trace;young_intake_trace;quality_reproduced;12;18;0.374902;0.376084;0.0011819999999999609;0.219009;0.216004;0.165682;0.193772;0.028090000000000004
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_1rxdw4p;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1rxdw4p;young_intake_trace;young_intake_trace;quality_reproduced;2;16;0.48055;0.461655;-0.018894999999999995;0.164675;0.184357;0.117738;0.133775;0.01603700000000001
feldinput|inner_effect_stable|dio_mcm_episode_1joiyc3;feldinput;inner_effect_stable;dio_mcm_episode_1joiyc3;contact_loaded_intake;contact_loaded_intake;quality_reproduced;25;14;0.429026;0.424412;-0.004614000000000007;0.184554;0.186926;0.209961;0.214678;0.004716999999999999
feldinput|inner_effect_carried_unrest|dio_mcm_episode_1joiyc3;feldinput;inner_effect_carried_unrest;dio_mcm_episode_1joiyc3;contact_loaded_intake;contact_loaded_intake;quality_reproduced;16;13;0.342773;0.321617;-0.021156000000000008;0.22537;0.236232;0.273862;0.275261;0.0013989999999999836
feldinput|inner_effect_carried_unrest|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;contact_loaded_intake;contact_loaded_intake;quality_reproduced;13;12;0.33263;0.348067;0.015437000000000034;0.228555;0.226061;0.290957;0.282945;-0.008012000000000019
fuehlen_abstand|inner_effect_tipping|dio_mcm_episode_0e7qvj1;fuehlen_abstand;inner_effect_tipping;dio_mcm_episode_0e7qvj1;contact_loaded_intake;contact_loaded_intake;quality_reproduced;22;12;0.181203;0.185485;0.004282000000000008;0.300619;0.299672;0.378471;0.39729;0.018818999999999975
hoeren_leise|inner_effect_stable|dio_mcm_episode_1joiyc3;hoeren_leise;inner_effect_stable;dio_mcm_episode_1joiyc3;young_intake_trace;young_intake_trace;quality_reproduced;25;10;0.44165;0.461458;0.019807999999999992;0.181223;0.173941;0.193715;0.183508;-0.010206999999999994
sehen_fokus|inner_effect_stable|dio_mcm_episode_1q3us3f;sehen_fokus;inner_effect_stable;dio_mcm_episode_1q3us3f;young_intake_trace;young_intake_trace;quality_reproduced;32;7;0.561821;0.579037;0.01721600000000001;0.134967;0.120743;0.100047;0.067715;-0.032332
hoeren_hin|inner_effect_stable|dio_mcm_episode_0aztxel;hoeren_hin;inner_effect_stable;dio_mcm_episode_0aztxel;young_intake_trace;young_intake_trace;quality_reproduced;1;6;0.529329;0.572932;0.04360299999999995;0.150277;0.135924;0.094162;0.073725;-0.020436999999999997
hoeren_hin|inner_effect_stable|dio_mcm_episode_1q3us3f;hoeren_hin;inner_effect_stable;dio_mcm_episode_1q3us3f;young_intake_trace;young_intake_trace;quality_reproduced;50;6;0.581305;0.560632;-0.02067299999999994;0.132104;0.132038;0.05791;0.051061;-0.006849000000000001
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_0db07p4;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0db07p4;contact_loaded_intake;contact_loaded_intake;quality_reproduced;5;6;0.383308;0.379872;-0.0034359999999999946;0.207707;0.209342;0.209055;0.217522;0.008467000000000002
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_1hdpu9s;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;contact_loaded_intake;contact_loaded_intake;quality_reproduced;4;6;0.36079;0.38821;0.02742;0.221878;0.208719;0.240492;0.201601;-0.03889100000000001
ausgeglichen|inner_effect_stable|dio_mcm_episode_0db07p4;ausgeglichen;inner_effect_stable;dio_mcm_episode_0db07p4;young_intake_trace;young_intake_trace;quality_reproduced;5;5;0.476327;0.468233;-0.00809399999999999;0.167199;0.170135;0.111764;0.106367;-0.005396999999999999
hoeren_leise|inner_effect_stable|dio_mcm_episode_1q3us3f;hoeren_leise;inner_effect_stable;dio_mcm_episode_1q3us3f;young_intake_trace;young_intake_trace;quality_reproduced;20;5;0.480392;0.484126;0.003734000000000015;0.168849;0.164038;0.181191;0.17909;-0.0021009999999999918
feldinput|inner_effect_tipping|dio_mcm_episode_1hdpu9s;feldinput;inner_effect_tipping;dio_mcm_episode_1hdpu9s;contact_loaded_intake;contact_loaded_intake;quality_reproduced;3;4;0.197532;0.186679;-0.010853000000000002;0.28744;0.295962;0.413185;0.392742;-0.020443000000000044
fuehlen_abstand|inner_effect_carried_unrest|dio_mcm_episode_1hdpu9s;fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1hdpu9s;contact_loaded_intake;contact_loaded_intake;quality_reproduced;4;4;0.346285;0.35066;0.004375000000000018;0.226214;0.227087;0.234414;0.258193;0.023778999999999995
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0l3i7ey;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0l3i7ey;young_intake_trace;young_intake_trace;quality_reproduced;2;4;0.456811;0.478122;0.02131099999999997;0.18417;0.176373;0.136405;0.117666;-0.018738999999999992
sehen_abstand|inner_effect_stable|dio_mcm_episode_0qzjuvj;sehen_abstand;inner_effect_stable;dio_mcm_episode_0qzjuvj;young_intake_trace;young_intake_trace;quality_reproduced;2;4;0.530272;0.487606;-0.04266599999999998;0.144856;0.167873;0.10861;0.160948;0.05233800000000001
sehen_fokus|inner_effect_stable|dio_mcm_episode_0jbl5pq;sehen_fokus;inner_effect_stable;dio_mcm_episode_0jbl5pq;young_intake_trace;young_intake_trace;quality_reproduced;2;4;0.578829;0.525708;-0.053121000000000085;0.119815;0.151954;0.07755;0.119824;0.042274000000000006
ausgeglichen|inner_effect_carried_unrest|dio_mcm_episode_1joiyc3;ausgeglichen;inner_effect_carried_unrest;dio_mcm_episode_1joiyc3;young_intake_trace;young_intake_trace;quality_reproduced;2;3;0.480074;0.490863;0.010788999999999993;0.175362;0.173447;0.126384;0.114639;-0.011744999999999992
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0db07p4;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0db07p4;contact_loaded_intake;contact_loaded_intake;quality_reproduced;8;3;0.303097;0.278027;-0.02506999999999998;0.243172;0.252726;0.290507;0.321721;0.031213999999999964
feldinput|inner_effect_stable|dio_mcm_episode_0lne9ax;feldinput;inner_effect_stable;dio_mcm_episode_0lne9ax;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;3;0.438732;0.451045;0.012312999999999963;0.190921;0.178206;0.231841;0.221503;-0.010337999999999986
feldinput|inner_effect_strained|dio_mcm_episode_0kvu3mb;feldinput;inner_effect_strained;dio_mcm_episode_0kvu3mb;contact_loaded_intake;contact_loaded_intake;quality_reproduced;2;3;0.083667;0.088195;0.00452799999999999;0.344875;0.341762;0.503016;0.499082;-0.003933999999999993
hoeren_leise|inner_effect_stable|dio_mcm_episode_0db07p4;hoeren_leise;inner_effect_stable;dio_mcm_episode_0db07p4;young_intake_trace;young_intake_trace;quality_reproduced;7;3;0.42375;0.428353;0.004602999999999968;0.186502;0.185216;0.195235;0.187346;-0.00788899999999998
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0lne9ax;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0lne9ax;young_intake_trace;young_intake_trace;quality_reproduced;2;3;0.440822;0.407103;-0.033719;0.188307;0.205872;0.123325;0.150795;0.02747000000000001
sehen_fokus|inner_effect_stable|dio_mcm_episode_0aztxel;sehen_fokus;inner_effect_stable;dio_mcm_episode_0aztxel;young_intake_trace;young_intake_trace;quality_reproduced;1;3;0.545326;0.522006;-0.023320000000000007;0.147215;0.147606;0.092207;0.138465;0.04625800000000001
sehen_fokus|inner_effect_stable|dio_mcm_episode_0hjnwsk;sehen_fokus;inner_effect_stable;dio_mcm_episode_0hjnwsk;young_intake_trace;young_intake_trace;quality_reproduced;1;3;0.514122;0.535189;0.021067000000000058;0.146835;0.147379;0.141144;0.129312;-0.011831999999999981
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0z748ck;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0z748ck;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;2;0.368589;0.333379;-0.03521000000000002;0.216241;0.224611;0.203203;0.31156;0.10835700000000001
fuehlen_abstand|inner_effect_strained|dio_mcm_episode_0l5wut9;fuehlen_abstand;inner_effect_strained;dio_mcm_episode_0l5wut9;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;2;0.108378;0.104956;-0.0034220000000000084;0.333671;0.336039;0.440104;0.444808;0.004703999999999986
hoeren_hin|inner_effect_stable|dio_mcm_episode_0lne9ax;hoeren_hin;inner_effect_stable;dio_mcm_episode_0lne9ax;young_intake_trace;young_intake_trace;quality_reproduced;2;2;0.54438;0.553874;0.009494000000000002;0.140551;0.141588;0.08555;0.087118;0.001568
hoeren_hin|inner_effect_stable|dio_mcm_episode_0n5sqpn;hoeren_hin;inner_effect_stable;dio_mcm_episode_0n5sqpn;young_intake_trace;young_intake_trace;quality_reproduced;1;2;0.57221;0.536533;-0.03567699999999996;0.13302;0.150768;0.047363;0.076746;0.029382999999999992
hoeren_hin|inner_effect_stable|dio_mcm_episode_18n06fj;hoeren_hin;inner_effect_stable;dio_mcm_episode_18n06fj;young_intake_trace;young_intake_trace;quality_reproduced;1;2;0.548248;0.602117;0.053869000000000056;0.134015;0.111297;0.075972;0.046359;-0.029613
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_0qzjuvj;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0qzjuvj;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;2;0.383552;0.368806;-0.014745999999999981;0.213008;0.216104;0.236002;0.28678;0.05077799999999999
sehen_abstand|inner_effect_stable|dio_mcm_episode_0aztxel;sehen_abstand;inner_effect_stable;dio_mcm_episode_0aztxel;young_intake_trace;young_intake_trace;quality_reproduced;1;2;0.520597;0.54052;0.019923000000000024;0.158481;0.145367;0.129896;0.098764;-0.031132000000000007
sehen_fokus|inner_effect_stable|dio_mcm_episode_0lne9ax;sehen_fokus;inner_effect_stable;dio_mcm_episode_0lne9ax;young_intake_trace;young_intake_trace;quality_reproduced;2;2;0.52999;0.564531;0.034541000000000044;0.141383;0.128314;0.103062;0.09196;-0.011102
ausgeglichen|inner_effect_stable|dio_mcm_episode_0qzjuvj;ausgeglichen;inner_effect_stable;dio_mcm_episode_0qzjuvj;young_intake_trace;young_intake_trace;quality_reproduced;2;1;0.541255;0.525557;-0.01569799999999999;0.152276;0.159854;0.104679;0.11952;0.014841000000000007
ausgeglichen|inner_effect_stable|dio_mcm_episode_1q3us3f;ausgeglichen;inner_effect_stable;dio_mcm_episode_1q3us3f;young_intake_trace;young_intake_trace;quality_reproduced;19;1;0.539997;0.520539;-0.019457999999999975;0.149699;0.162796;0.118267;0.106864;-0.011402999999999996
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0mji3u6;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0mji3u6;contact_loaded_intake;contact_loaded_intake;quality_reproduced;6;1;0.410825;0.444011;0.03318599999999999;0.202595;0.188178;0.211497;0.204898;-0.006598999999999994
feldinput|inner_effect_stable|dio_mcm_episode_0mji3u6;feldinput;inner_effect_stable;dio_mcm_episode_0mji3u6;contact_loaded_intake;contact_loaded_intake;quality_reproduced;2;1;0.452684;0.443855;-0.008828999999999976;0.174194;0.188068;0.208931;0.211345;0.0024139999999999995
feldinput|inner_effect_stable|dio_mcm_episode_1q3us3f;feldinput;inner_effect_stable;dio_mcm_episode_1q3us3f;contact_loaded_intake;contact_loaded_intake;quality_reproduced;4;1;0.467954;0.402705;-0.065249;0.172836;0.193004;0.202854;0.260112;0.057258
feldinput|inner_effect_strained|dio_mcm_episode_0kvx94a;feldinput;inner_effect_strained;dio_mcm_episode_0kvx94a;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.096324;0.095076;-0.001248000000000013;0.338621;0.339352;0.467682;0.471967;0.004285000000000039
feldinput|inner_effect_strained|dio_mcm_episode_0tre8bg;feldinput;inner_effect_strained;dio_mcm_episode_0tre8bg;contact_loaded_intake;contact_loaded_intake;quality_reproduced;2;1;0.09872;0.09017;-0.008550000000000002;0.333002;0.335993;0.514548;0.526901;0.012352999999999947
feldinput|inner_effect_tipping|dio_mcm_episode_1joiyc3;feldinput;inner_effect_tipping;dio_mcm_episode_1joiyc3;contact_loaded_intake;contact_loaded_intake;quality_reproduced;5;1;0.163518;0.161846;-0.0016720000000000068;0.305667;0.305342;0.435111;0.443998;0.008886999999999978
fuehlen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0q7skyc;fuehlen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0q7skyc;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.30809;0.326105;0.018015000000000003;0.244126;0.235127;0.249109;0.233161;-0.01594799999999999
fuehlen_abstand|inner_effect_strained|dio_mcm_episode_0f1kb3e;fuehlen_abstand;inner_effect_strained;dio_mcm_episode_0f1kb3e;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.099598;0.101506;0.001907999999999993;0.339497;0.34064;0.432002;0.417327;-0.014674999999999994
fuehlen_abstand|inner_effect_strained|dio_mcm_episode_0feihom;fuehlen_abstand;inner_effect_strained;dio_mcm_episode_0feihom;contact_loaded_intake;contact_loaded_intake;quality_reproduced;2;1;0.088325;0.081391;-0.006933999999999996;0.342657;0.345808;0.463824;0.472892;0.009067999999999965
fuehlen_abstand|inner_effect_strained|dio_mcm_episode_19a388p;fuehlen_abstand;inner_effect_strained;dio_mcm_episode_19a388p;contact_loaded_intake;contact_loaded_intake;quality_reproduced;3;1;0.026999;0.011943;-0.015055999999999998;0.370009;0.377479;0.533649;0.54533;0.011680999999999941
hoeren_hin|inner_effect_carried_unrest|dio_mcm_episode_1joiyc3;hoeren_hin;inner_effect_carried_unrest;dio_mcm_episode_1joiyc3;young_intake_trace;young_intake_trace;quality_reproduced;3;1;0.466297;0.50846;0.042163000000000006;0.175474;0.156071;0.060688;0.077417;0.016729
hoeren_hin|inner_effect_stable|dio_mcm_episode_0t1ymth;hoeren_hin;inner_effect_stable;dio_mcm_episode_0t1ymth;young_intake_trace;young_intake_trace;quality_reproduced;2;1;0.535436;0.495438;-0.039998000000000034;0.140779;0.155229;0.031617;0.089771;0.058154000000000004
hoeren_hin|inner_effect_stable|dio_mcm_episode_17qt878;hoeren_hin;inner_effect_stable;dio_mcm_episode_17qt878;young_intake_trace;young_intake_trace;quality_reproduced;1;1;0.566658;0.597109;0.030451000000000006;0.132791;0.109175;0.074859;0.070422;-0.0044369999999999965
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_0mji3u6;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0mji3u6;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.374327;0.395954;0.021626999999999952;0.214332;0.211416;0.215837;0.235082;0.019245000000000012
hoeren_leise|inner_effect_stable|dio_mcm_episode_0lne9ax;hoeren_leise;inner_effect_stable;dio_mcm_episode_0lne9ax;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.457148;0.462847;0.00569900000000001;0.179958;0.169034;0.213432;0.215251;0.0018189999999999873
hoeren_leise|inner_effect_stable|dio_mcm_episode_0q7j4gf;hoeren_leise;inner_effect_stable;dio_mcm_episode_0q7j4gf;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.384279;0.37176;-0.012519000000000002;0.207552;0.214067;0.200593;0.207179;0.0065860000000000085
sehen_abstand|inner_effect_stable|dio_mcm_episode_0z748ck;sehen_abstand;inner_effect_stable;dio_mcm_episode_0z748ck;young_intake_trace;young_intake_trace;quality_reproduced;2;1;0.553257;0.42769;-0.12556699999999998;0.138182;0.188507;0.073347;0.131333;0.05798600000000001
sehen_abstand|inner_effect_stable|dio_mcm_episode_102i30n;sehen_abstand;inner_effect_stable;dio_mcm_episode_102i30n;young_intake_trace;young_intake_trace;quality_reproduced;1;1;0.42489;0.44553;0.02063999999999999;0.191048;0.180205;0.124049;0.117241;-0.0068080000000000085
sehen_abstand|inner_effect_stable|dio_mcm_episode_1q3us3f;sehen_abstand;inner_effect_stable;dio_mcm_episode_1q3us3f;young_intake_trace;young_intake_trace;quality_reproduced;12;1;0.518128;0.507298;-0.010830000000000006;0.155773;0.157078;0.110769;0.143194;0.03242499999999998
sehen_abstand|inner_effect_tipping|dio_mcm_episode_0r698in;sehen_abstand;inner_effect_tipping;dio_mcm_episode_0r698in;contact_loaded_intake;contact_loaded_intake;quality_reproduced;1;1;0.167084;0.17395;0.006865999999999983;0.315688;0.314417;0.300772;0.300366;-0.00040599999999996195
sehen_fokus|inner_effect_stable|dio_mcm_episode_0l3i7ey;sehen_fokus;inner_effect_stable;dio_mcm_episode_0l3i7ey;young_intake_trace;young_intake_trace;quality_reproduced;1;1;0.550795;0.524519;-0.026276000000000077;0.147968;0.151404;0.087329;0.102895;0.015565999999999997
sehen_fokus|inner_effect_stable|dio_mcm_episode_0tf9fq3;sehen_fokus;inner_effect_stable;dio_mcm_episode_0tf9fq3;young_intake_trace;young_intake_trace;quality_reproduced;1;1;0.507112;0.520858;0.013746000000000036;0.169208;0.165419;0.121564;0.105536;-0.016028
hoeren_hin|inner_effect_stable|dio_mcm_episode_0e7qvj1;hoeren_hin;inner_effect_stable;dio_mcm_episode_0e7qvj1;reproduced_quiet_intake;young_intake_trace;quality_shift_open;1411;1987;0.568908;0.579056;0.010148000000000046;0.133611;0.13242;0.062167;0.061224;-0.0009429999999999994
sehen_fokus|inner_effect_stable|dio_mcm_episode_0e7qvj1;sehen_fokus;inner_effect_stable;dio_mcm_episode_0e7qvj1;reproduced_quiet_intake;young_intake_trace;quality_shift_open;1294;1852;0.54317;0.557687;0.014517000000000002;0.140786;0.137766;0.105322;0.101943;-0.003378999999999993
sehen_abstand|inner_effect_stable|dio_mcm_episode_0e7qvj1;sehen_abstand;inner_effect_stable;dio_mcm_episode_0e7qvj1;recurrently_carried_intake;young_intake_trace;quality_shift_open;624;906;0.512911;0.52524;0.012329000000000034;0.157053;0.155393;0.112975;0.112905;-7.000000000000062e-05
hoeren_leise|inner_effect_stable|dio_mcm_episode_0e7qvj1;hoeren_leise;inner_effect_stable;dio_mcm_episode_0e7qvj1;open_recurrent_intake;young_intake_trace;quality_shift_open;390;646;0.471249;0.479295;0.008046000000000053;0.170994;0.169962;0.183422;0.187115;0.003693000000000002
ausgeglichen|inner_effect_stable|dio_mcm_episode_0e7qvj1;ausgeglichen;inner_effect_stable;dio_mcm_episode_0e7qvj1;reproduced_quiet_intake;young_intake_trace;quality_shift_open;390;584;0.52846;0.534983;0.0065229999999999455;0.154473;0.153616;0.116715;0.11616;-0.0005549999999999999
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;open_recurrent_intake;young_intake_trace;quality_shift_open;507;530;0.445387;0.468819;0.02343200000000001;0.188428;0.181628;0.130953;0.127794;-0.003159000000000023
sehen_fokus|inner_effect_stable|dio_mcm_episode_1joiyc3;sehen_fokus;inner_effect_stable;dio_mcm_episode_1joiyc3;recurrently_carried_intake;young_intake_trace;quality_shift_open;94;110;0.523401;0.529133;0.005731999999999959;0.146005;0.141927;0.109215;0.105616;-0.003599000000000005
sehen_abstand|inner_effect_stable|dio_mcm_episode_1joiyc3;sehen_abstand;inner_effect_stable;dio_mcm_episode_1joiyc3;recurrently_carried_intake;young_intake_trace;quality_shift_open;72;86;0.498675;0.510264;0.011589000000000071;0.15919;0.155354;0.11455;0.106133;-0.008416999999999994
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_1joiyc3;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_1joiyc3;drifting_intake;young_intake_trace;quality_shift_open;43;73;0.438589;0.443248;0.004658999999999969;0.189942;0.189047;0.137477;0.119865;-0.01761199999999999
hoeren_hin|inner_effect_stable|dio_mcm_episode_0db07p4;hoeren_hin;inner_effect_stable;dio_mcm_episode_0db07p4;recurrently_carried_intake;young_intake_trace;quality_shift_open;13;35;0.527816;0.546357;0.01854100000000003;0.144527;0.134485;0.055111;0.058711;0.003599999999999999
ausgeglichen|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;ausgeglichen;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;recurrently_carried_intake;young_intake_trace;quality_shift_open;21;31;0.490185;0.493937;0.003752000000000033;0.171835;0.174237;0.124705;0.126675;0.0019700000000000134
hoeren_hin|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;hoeren_hin;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;recurrently_carried_intake;young_intake_trace;quality_shift_open;22;29;0.511784;0.518994;0.007209999999999939;0.160816;0.158671;0.073714;0.074204;0.0004900000000000043
sehen_fokus|inner_effect_stable|dio_mcm_episode_0db07p4;sehen_fokus;inner_effect_stable;dio_mcm_episode_0db07p4;recurrently_carried_intake;young_intake_trace;quality_shift_open;29;28;0.504514;0.487792;-0.016722000000000015;0.151855;0.159414;0.110785;0.121234;0.010449
